country,preference_category,snapshot_date,priority_year,pending_at_snapshot,depletion_per_day,months_to_clear,projected_clear_date,actual_clear_date,error_months,abs_error_months
India,EB2,2024-03-03,2005,20.0,0.0,,,2024-04-01,,
India,EB2,2024-03-03,2006,20.0,0.0,,,2024-04-01,,
India,EB2,2024-03-03,2007,30.0,-0.5,2.0,2024-05-02,2024-04-01,1.0,1.0
India,EB2,2024-03-03,2008,30.0,0.0,,,2024-04-01,,
India,EB2,2024-03-03,2009,50.0,0.0,,,2024-04-01,,
India,EB2,2024-03-03,2010,203.0,-1.3,5.1,2024-08-06,2024-04-01,4.2,4.2
India,EB2,2024-03-03,2011,584.0,-2.6,7.4,2024-10-13,2024-04-01,6.4,6.4
India,EB2,2024-03-03,2012,254.0,-5.5,1.5,2024-04-18,2024-04-01,0.6,0.6
India,EB2,2024-04-03,2005,20.0,0.0,,,2024-05-01,,
India,EB2,2024-04-03,2006,20.0,0.0,,,2024-05-01,,
India,EB2,2024-04-03,2007,35.0,0.0,,,2024-05-01,,
India,EB2,2024-04-03,2008,30.0,0.0,,,2024-05-01,,
India,EB2,2024-04-03,2009,50.0,0.0,,,2024-05-01,,
India,EB2,2024-04-03,2010,206.0,-0.24,27.7,2026-07-26,2024-05-01,26.8,26.8
India,EB2,2024-04-03,2011,532.0,-1.9,9.2,2025-01-07,2024-05-01,8.2,8.2
India,EB2,2024-04-03,2012,653.0,8.39,,,2024-05-01,,
India,EB2,2024-05-03,2005,25.0,0.08,,,2024-06-01,,
India,EB2,2024-05-03,2006,20.0,0.0,,,2024-06-01,,
India,EB2,2024-05-03,2007,35.0,0.08,,,2024-06-01,,
India,EB2,2024-05-03,2008,25.0,-0.08,10.0,2025-03-04,2024-06-01,9.1,9.1
India,EB2,2024-05-03,2009,50.0,0.0,,,2024-06-01,,
India,EB2,2024-05-03,2010,155.0,-0.79,6.5,2024-11-15,2024-06-01,5.5,5.5
India,EB2,2024-05-03,2011,386.0,-3.25,3.9,2024-08-29,2024-06-01,2.9,2.9
India,EB2,2024-05-03,2012,481.0,3.72,,,2024-06-01,,
India,EB2,2024-06-03,2005,20.0,0.0,,,2024-07-01,,
India,EB2,2024-06-03,2006,20.0,0.0,,,2024-07-01,,
India,EB2,2024-06-03,2007,40.0,0.08,,,2024-07-01,,
India,EB2,2024-06-03,2008,30.0,0.0,,,2024-07-01,,
India,EB2,2024-06-03,2009,50.0,0.0,,,2024-07-01,,
India,EB2,2024-06-03,2010,163.0,-0.7,7.6,2025-01-20,2024-07-01,6.7,6.7
India,EB2,2024-06-03,2011,420.0,-1.84,7.5,2025-01-17,2024-07-01,6.6,6.6
India,EB2,2024-06-03,2012,460.0,-3.16,4.8,2024-10-26,2024-07-01,3.8,3.8
India,EB2,2024-07-03,2005,25.0,0.0,,,2024-08-01,,
India,EB2,2024-07-03,2006,20.0,0.0,,,2024-08-01,,
India,EB2,2024-07-03,2007,35.0,0.0,,,2024-08-01,,
India,EB2,2024-07-03,2008,30.0,0.08,,,2024-08-01,,
India,EB2,2024-07-03,2009,50.0,0.0,,,2024-08-01,,
India,EB2,2024-07-03,2010,179.0,0.39,,,2024-08-01,,
India,EB2,2024-07-03,2011,434.0,0.79,,,2024-08-01,,
India,EB2,2024-07-03,2012,855.0,6.13,,,2024-08-01,,
India,EB2,2024-08-03,2005,25.0,0.08,,,2024-09-01,,
India,EB2,2024-08-03,2006,20.0,0.0,,,2024-09-01,,
India,EB2,2024-08-03,2007,30.0,-0.16,6.0,2025-02-02,2024-09-01,5.1,5.1
India,EB2,2024-08-03,2008,30.0,0.0,,,2024-09-01,,
India,EB2,2024-08-03,2009,50.0,0.0,,,2024-09-01,,
India,EB2,2024-08-03,2010,153.0,-0.16,30.7,2027-02-22,2024-09-01,29.7,29.7
India,EB2,2024-08-03,2011,372.0,-0.79,15.5,2025-11-18,2024-09-01,14.6,14.6
India,EB2,2024-08-03,2012,1043.0,9.56,,,2024-09-01,,
India,EB2,2024-09-03,2005,25.0,0.0,,,2024-10-01,,
India,EB2,2024-09-03,2006,20.0,0.0,,,2024-10-01,,
India,EB2,2024-09-03,2007,30.0,-0.08,12.2,2025-09-10,2024-10-01,11.3,11.3
India,EB2,2024-09-03,2008,30.0,0.0,,,2024-10-01,,
India,EB2,2024-09-03,2009,45.0,-0.08,18.3,2026-03-15,2024-10-01,17.4,17.4
India,EB2,2024-09-03,2010,131.0,-0.77,5.6,2025-02-19,2024-10-01,4.6,4.6
India,EB2,2024-09-03,2011,313.0,-1.95,5.3,2025-02-10,2024-10-01,4.3,4.3
India,EB2,2024-09-03,2012,670.0,-2.98,7.4,2025-04-15,2024-10-01,6.4,6.4
India,EB2,2024-10-03,2005,25.0,0.0,,,2024-11-01,,
India,EB2,2024-10-03,2006,20.0,0.0,,,2024-11-01,,
India,EB2,2024-10-03,2007,25.0,-0.08,10.0,2025-08-04,2024-11-01,9.1,9.1
India,EB2,2024-10-03,2008,35.0,0.08,,,2024-11-01,,
India,EB2,2024-10-03,2009,50.0,0.0,,,2024-11-01,,
India,EB2,2024-10-03,2010,119.0,-0.56,7.0,2025-05-04,2024-11-01,6.0,6.0
India,EB2,2024-10-03,2011,320.0,-0.85,12.3,2025-10-13,2024-11-01,11.4,11.4
India,EB2,2024-10-03,2012,483.0,-9.18,1.7,2024-11-24,2024-11-01,0.8,0.8
India,EB2,2024-11-03,2005,25.0,0.0,,,2024-12-01,,
India,EB2,2024-11-03,2006,20.0,0.0,,,2024-12-01,,
India,EB2,2024-11-03,2007,35.0,0.08,,,2024-12-01,,
India,EB2,2024-11-03,2008,35.0,0.08,,,2024-12-01,,
India,EB2,2024-11-03,2009,50.0,0.08,,,2024-12-01,,
India,EB2,2024-11-03,2010,104.0,-0.44,7.7,2025-06-25,2024-12-01,6.8,6.8
India,EB2,2024-11-03,2011,310.0,-0.05,207.1,2042-02-05,2024-12-01,206.1,206.1
India,EB2,2024-11-03,2012,403.0,-4.38,3.0,2025-02-03,2024-12-01,2.1,2.1
India,EB2,2024-12-03,2005,25.0,0.0,,,2025-01-01,,
India,EB2,2024-12-03,2006,20.0,0.0,,,2025-01-01,,
India,EB2,2024-12-03,2007,30.0,0.08,,,2025-01-01,,
India,EB2,2024-12-03,2008,30.0,-0.08,12.0,2025-12-04,2025-01-01,11.1,11.1
India,EB2,2024-12-03,2009,45.0,-0.08,18.0,2026-06-05,2025-01-01,17.1,17.1
India,EB2,2024-12-03,2010,109.0,-0.16,21.8,2026-09-28,2025-01-01,20.9,20.9
India,EB2,2024-12-03,2011,290.0,-0.49,19.4,2026-07-15,2025-01-01,18.4,18.4
India,EB2,2024-12-03,2012,580.0,1.59,,,2025-01-01,,
India,EB2,2025-01-03,2005,25.0,0.0,,,2025-02-01,,
India,EB2,2025-01-03,2006,20.0,0.0,,,2025-02-01,,
India,EB2,2025-01-03,2007,30.0,-0.08,12.0,2026-01-04,2025-02-01,11.1,11.1
India,EB2,2025-01-03,2008,25.0,-0.16,5.0,2025-06-04,2025-02-01,4.0,4.0
India,EB2,2025-01-03,2009,45.0,-0.08,18.0,2026-07-06,2025-02-01,17.1,17.1
India,EB2,2025-01-03,2010,96.0,-0.13,24.0,2027-01-05,2025-02-01,23.1,23.1
India,EB2,2025-01-03,2011,282.0,-0.46,20.2,2026-09-09,2025-02-01,19.2,19.2
India,EB2,2025-01-03,2012,1482.0,17.69,,,2025-02-01,,
India,EB2,2025-02-03,2005,20.0,-0.08,8.1,2025-10-09,2025-03-01,7.3,7.3
India,EB2,2025-02-03,2006,25.0,0.08,,,2025-03-01,,
India,EB2,2025-02-03,2007,30.0,0.0,,,2025-03-01,,
India,EB2,2025-02-03,2008,30.0,0.0,,,2025-03-01,,
India,EB2,2025-02-03,2009,45.0,0.0,,,2025-03-01,,
India,EB2,2025-02-03,2010,103.0,-0.1,35.0,2028-01-03,2025-03-01,34.1,34.1
India,EB2,2025-02-03,2011,255.0,-0.56,14.8,2026-04-30,2025-03-01,14.0,14.0
India,EB2,2025-02-03,2012,1608.0,16.58,,,2025-03-01,,
India,EB2,2025-03-03,2005,20.0,-0.08,7.8,2025-10-25,2025-04-01,6.8,6.8
India,EB2,2025-03-03,2006,25.0,0.08,,,2025-04-01,,
India,EB2,2025-03-03,2007,25.0,-0.08,9.7,2025-12-23,2025-04-01,8.7,8.7
India,EB2,2025-03-03,2008,35.0,0.17,,,2025-04-01,,
India,EB2,2025-03-03,2009,35.0,-0.17,6.8,2025-09-25,2025-04-01,5.8,5.8
India,EB2,2025-03-03,2010,90.0,-0.1,29.1,2027-08-04,2025-04-01,28.1,28.1
India,EB2,2025-03-03,2011,218.0,-1.08,6.6,2025-09-19,2025-04-01,5.6,5.6
India,EB2,2025-03-03,2012,2255.0,13.1,,,2025-04-01,,
India,EB2,2025-04-07,2005,20.0,0.0,,,2025-05-01,,
India,EB2,2025-04-07,2006,25.0,0.0,,,2025-05-01,,
India,EB2,2025-04-07,2007,25.0,-0.08,10.3,2026-02-16,2025-05-01,9.6,9.6
India,EB2,2025-04-07,2008,40.0,0.16,,,2025-05-01,,
India,EB2,2025-04-07,2009,40.0,-0.08,16.6,2026-08-24,2025-05-01,15.8,15.8
