priority_year,snapshot_date,pending,projected_clear_date,months_to_clear,regime,note,actual_clear_date,error_months,abs_error_months,depletion_per_day,spread_days
2005,2024-02-22,55.0,,,eb3_ahead,insufficient data,2024-03-01,,,,
2006,2024-02-22,65.0,,,eb3_ahead,insufficient data,2024-03-01,,,,
2007,2024-02-22,70.0,,,eb3_ahead,insufficient data,2024-03-01,,,,
2008,2024-02-22,80.0,,,eb3_ahead,insufficient data,2024-03-01,,,,
2009,2024-02-22,100.0,,,eb3_ahead,insufficient data,2024-03-01,,,,
2010,2024-02-22,271.0,,,eb3_ahead,insufficient data,2024-03-01,,,,
2011,2024-02-22,930.0,,,eb3_ahead,insufficient data,2024-03-01,,,,
2012,2024-02-22,1352.0,,,eb3_ahead,insufficient data,2024-03-01,,,,
2005,2024-03-03,55.0,,,eb3_ahead,insufficient data,2024-04-01,,,,
2006,2024-03-03,65.0,,,eb3_ahead,insufficient data,2024-04-01,,,,
2007,2024-03-03,65.0,,,eb3_ahead,insufficient data,2024-04-01,,,,
2008,2024-03-03,75.0,,,eb3_ahead,insufficient data,2024-04-01,,,,
2009,2024-03-03,100.0,,,eb3_ahead,insufficient data,2024-04-01,,,,
2010,2024-03-03,258.0,,,eb3_ahead,insufficient data,2024-04-01,,,,
2011,2024-03-03,842.0,,,eb3_ahead,insufficient data,2024-04-01,,,,
2012,2024-03-03,1262.0,,,eb3_ahead,insufficient data,2024-04-01,,,,
2005,2024-04-03,55.0,,,eb3_ahead,insufficient data,2024-05-01,,,,
2006,2024-04-03,65.0,,,eb3_ahead,insufficient data,2024-05-01,,,,
2007,2024-04-03,70.0,,,eb3_ahead,insufficient data,2024-05-01,,,,
2008,2024-04-03,75.0,,,eb3_ahead,insufficient data,2024-05-01,,,,
2009,2024-04-03,100.0,,,eb3_ahead,insufficient data,2024-05-01,,,,
2010,2024-04-03,261.0,,,eb3_ahead,insufficient data,2024-05-01,,,,
2011,2024-04-03,759.0,,,eb3_ahead,insufficient data,2024-05-01,,,,
2012,2024-04-03,2204.0,,,eb3_ahead,insufficient data,2024-05-01,,,,
2005,2024-05-03,51.86666666666667,,,eb3_ahead,queue not shrinking,2024-06-01,,,,
2006,2024-05-03,52.0,2026-05-09 12:09:36.000000000,24.2,eb3_ahead,eb3_ahead: pending adjusted 60->52,2024-06-01,23.2,23.2,-0.07,-122.0
2007,2024-05-03,60.51111111111111,,,eb3_ahead,queue not shrinking,2024-06-01,,,,
2008,2024-05-03,56.0,2025-01-23 23:03:28.000000000,8.7,eb3_ahead,eb3_ahead: pending adjusted 65->56,2024-06-01,7.8,7.8,-0.21,-122.0
2009,2024-05-03,82.0,2027-07-13 03:15:11.999999968,38.3,eb3_ahead,eb3_ahead: pending adjusted 95->82,2024-06-01,37.4,37.4,-0.07,-122.0
2010,2024-05-03,186.0,2024-12-24 15:19:08.571428572,7.7,eb3_ahead,eb3_ahead: pending adjusted 215->186,2024-06-01,6.8,6.8,-0.79,-122.0
2011,2024-05-03,451.0,2024-07-20 12:35:26.117647058,2.6,eb3_ahead,eb3_ahead: pending adjusted 522->451,2024-06-01,1.6,1.6,-5.75,-122.0
2012,2024-05-03,1473.8777777777777,,,eb3_ahead,queue not shrinking,2024-06-01,,,,
2005,2024-06-03,47.11666666666667,,,eb3_ahead,queue not shrinking,2024-07-01,,,,
2006,2024-06-03,51.0,2027-01-04 18:14:24.000000000,31.1,eb3_ahead,eb3_ahead: pending adjusted 60->51,2024-07-01,30.1,30.1,-0.05,-129.0
2007,2024-06-03,64.25,,,eb3_ahead,queue not shrinking,2024-07-01,,,,
2008,2024-06-03,68.53333333333333,,,eb3_ahead,queue not shrinking,2024-07-01,,,,
2009,2024-06-03,85.66666666666667,,,eb3_ahead,queue not shrinking,2024-07-01,,,,
2010,2024-06-03,187.0,2025-08-06 12:47:02.400000000,14.1,eb3_ahead,eb3_ahead: pending adjusted 218->187,2024-07-01,13.2,13.2,-0.43,-129.0
2011,2024-06-03,498.0,2024-11-25 10:37:29.931034484,5.8,eb3_ahead,eb3_ahead: pending adjusted 581->498,2024-07-01,4.8,4.8,-2.84,-129.0
2012,2024-06-03,1536.8600000000001,,,eb3_ahead,queue not shrinking,2024-07-01,,,,
2005,2024-07-03,53.4,,,eb3_ahead,queue not shrinking,2024-08-01,,,,
2006,2024-07-03,53.0,2027-03-01 21:07:12.000000000,31.9,eb3_ahead,eb3_ahead: pending adjusted 60->53,2024-08-01,30.9,30.9,-0.05,-99.0
