country,preference_category,snapshot_date,priority_year,pending,spread_days,regime,depletion_per_day,months_to_clear,projected_clear_date,actual_clear_date,error_months,abs_error_months,note
China,CRW,2026-03-03,2017,0,123,n/a,,,,2026-04-01,,,zero pending
China,CRW,2026-04-03,2017,0,78,n/a,,,,2026-05-01,,,zero pending
China,CRW,2026-03-03,2018,0,123,n/a,,,,2026-04-01,,,zero pending
China,CRW,2026-04-03,2018,0,78,n/a,,,,2026-05-01,,,zero pending
China,CRW,2024-03-03,2019,5,-244,n/a,,,,2024-04-01,,,insufficient history
China,CRW,2024-05-03,2019,5,-213,n/a,,,,2024-06-01,,,insufficient history
China,CRW,2024-06-03,2019,5,-213,n/a,,,,2024-07-01,,,insufficient history
China,CRW,2024-07-03,2019,5,-184,n/a,0.0,,,2024-08-01,,,queue not shrinking
China,CRW,2024-08-03,2019,5,-184,n/a,0.0,,,2024-09-01,,,queue not shrinking
China,CRW,2024-09-03,2019,5,-184,n/a,0.0,,,2024-10-01,,,queue not shrinking
China,CRW,2024-11-03,2019,5,-10,n/a,0.0,,,2024-12-01,,,queue not shrinking
China,CRW,2024-12-03,2019,5,-10,n/a,0.0,,,2025-01-01,,,queue not shrinking
China,CRW,2025-02-03,2019,5,-70,n/a,0.0,,,2025-03-01,,,queue not shrinking
China,CRW,2025-12-03,2019,5,61,n/a,0.0,,,2026-01-01,,,queue not shrinking
China,CRW,2026-01-02,2019,5,123,n/a,0.0,,,2026-02-01,,,queue not shrinking
China,CRW,2026-03-03,2019,5,123,n/a,0.0,,,2026-04-01,,,queue not shrinking
China,CRW,2026-04-03,2019,0,78,n/a,-0.04,,,2026-05-01,,,zero pending
China,CRW,2024-05-03,2020,15,-213,n/a,,,,2024-06-01,,,insufficient history
China,CRW,2024-06-03,2020,15,-213,n/a,,,,2024-07-01,,,insufficient history
China,CRW,2024-07-03,2020,15,-184,n/a,,,,2024-08-01,,,insufficient history
China,CRW,2024-08-03,2020,15,-184,n/a,0.0,,,2024-09-01,,,queue not shrinking
China,CRW,2024-09-03,2020,15,-184,n/a,0.0,,,2024-10-01,,,queue not shrinking
China,CRW,2024-11-03,2020,5,-10,n/a,-0.08,2.0,2025-01-03,2024-12-01,1.1,1.1,
China,CRW,2024-12-03,2020,5,-10,n/a,-0.08,2.0,2025-02-02,2025-01-01,1.1,1.1,
China,CRW,2025-02-03,2020,5,-70,n/a,-0.07,2.5,2025-04-20,2025-10-01,-5.4,5.4,
