country,preference_category,priority_year,report_date,total_pending,prev_pending,prev_date,delta,days_elapsed,depletion_per_day
India,EB2,2005,2024-03-03,20.0,20.0,2024-02-22,0.0,10.0,0.0
India,EB2,2005,2024-04-03,20.0,20.0,2024-03-03,0.0,31.0,0.0
India,EB2,2005,2024-05-03,25.0,20.0,2024-04-03,5.0,30.0,0.16666666666666666
India,EB2,2005,2024-06-03,20.0,25.0,2024-05-03,-5.0,31.0,-0.16129032258064516
India,EB2,2005,2024-07-03,25.0,20.0,2024-06-03,5.0,30.0,0.16666666666666666
India,EB2,2005,2024-08-03,25.0,25.0,2024-07-03,0.0,31.0,0.0
India,EB2,2005,2024-09-03,25.0,25.0,2024-08-03,0.0,31.0,0.0
India,EB2,2005,2024-10-03,25.0,25.0,2024-09-03,0.0,30.0,0.0
India,EB2,2005,2024-11-03,25.0,25.0,2024-10-03,0.0,31.0,0.0
India,EB2,2005,2024-12-03,25.0,25.0,2024-11-03,0.0,30.0,0.0
India,EB2,2005,2025-01-03,25.0,25.0,2024-12-03,0.0,31.0,0.0
India,EB2,2005,2025-02-03,20.0,25.0,2025-01-03,-5.0,31.0,-0.16129032258064516
India,EB2,2005,2025-03-03,20.0,20.0,2025-02-03,0.0,28.0,0.0
India,EB2,2005,2025-04-07,20.0,20.0,2025-03-03,0.0,35.0,0.0
India,EB2,2005,2025-05-05,15.0,20.0,2025-04-07,-5.0,28.0,-0.17857142857142858
India,EB2,2005,2025-08-05,25.0,15.0,2025-05-05,10.0,92.0,0.10869565217391304
India,EB2,2005,2025-09-03,25.0,25.0,2025-08-05,0.0,29.0,0.0
India,EB2,2005,2025-10-02,25.0,25.0,2025-09-03,0.0,29.0,0.0
India,EB2,2005,2025-11-03,25.0,25.0,2025-10-02,0.0,32.0,0.0
India,EB2,2005,2025-12-03,25.0,25.0,2025-11-03,0.0,30.0,0.0
India,EB2,2005,2026-01-02,25.0,25.0,2025-12-03,0.0,30.0,0.0
India,EB2,2005,2026-02-03,25.0,25.0,2026-01-02,0.0,32.0,0.0
India,EB2,2005,2026-03-03,25.0,25.0,2026-02-03,0.0,28.0,0.0
India,EB2,2006,2024-03-03,20.0,20.0,2024-02-22,0.0,10.0,0.0
India,EB2,2006,2024-04-03,20.0,20.0,2024-03-03,0.0,31.0,0.0
India,EB2,2006,2024-05-03,20.0,20.0,2024-04-03,0.0,30.0,0.0
India,EB2,2006,2024-06-03,20.0,20.0,2024-05-03,0.0,31.0,0.0
India,EB2,2006,2024-07-03,20.0,20.0,2024-06-03,0.0,30.0,0.0
India,EB2,2006,2024-08-03,20.0,20.0,2024-07-03,0.0,31.0,0.0
India,EB2,2006,2024-09-03,20.0,20.0,2024-08-03,0.0,31.0,0.0
India,EB2,2006,2024-10-03,20.0,20.0,2024-09-03,0.0,30.0,0.0
India,EB2,2006,2024-11-03,20.0,20.0,2024-10-03,0.0,31.0,0.0
India,EB2,2006,2024-12-03,20.0,20.0,2024-11-03,0.0,30.0,0.0
India,EB2,2006,2025-01-03,20.0,20.0,2024-12-03,0.0,31.0,0.0
India,EB2,2006,2025-02-03,25.0,20.0,2025-01-03,5.0,31.0,0.16129032258064516
India,EB2,2006,2025-03-03,25.0,25.0,2025-02-03,0.0,28.0,0.0
India,EB2,2006,2025-04-07,25.0,25.0,2025-03-03,0.0,35.0,0.0
India,EB2,2006,2025-05-05,20.0,25.0,2025-04-07,-5.0,28.0,-0.17857142857142858
India,EB2,2006,2025-08-05,40.0,20.0,2025-05-05,20.0,92.0,0.21739130434782608
India,EB2,2006,2025-09-03,35.0,40.0,2025-08-05,-5.0,29.0,-0.1724137931034483
India,EB2,2006,2025-10-02,35.0,35.0,2025-09-03,0.0,29.0,0.0
India,EB2,2006,2025-11-03,35.0,35.0,2025-10-02,0.0,32.0,0.0
India,EB2,2006,2025-12-03,40.0,35.0,2025-11-03,5.0,30.0,0.16666666666666666
India,EB2,2006,2026-01-02,40.0,40.0,2025-12-03,0.0,30.0,0.0
India,EB2,2006,2026-02-03,40.0,40.0,2026-01-02,0.0,32.0,0.0
India,EB2,2006,2026-03-03,40.0,40.0,2026-02-03,0.0,28.0,0.0
India,EB2,2006,2026-04-03,35.0,40.0,2026-03-03,-5.0,31.0,-0.16129032258064516
India,EB2,2007,2024-03-03,30.0,35.0,2024-02-22,-5.0,10.0,-0.5
India,EB2,2007,2024-04-03,35.0,30.0,2024-03-03,5.0,31.0,0.16129032258064516
India,EB2,2007,2024-05-03,35.0,35.0,2024-04-03,0.0,30.0,0.0
India,EB2,2007,2024-06-03,40.0,35.0,2024-05-03,5.0,31.0,0.16129032258064516
India,EB2,2007,2024-07-03,35.0,40.0,2024-06-03,-5.0,30.0,-0.16666666666666666
India,EB2,2007,2024-08-03,30.0,35.0,2024-07-03,-5.0,31.0,-0.16129032258064516
India,EB2,2007,2024-09-03,30.0,30.0,2024-08-03,0.0,31.0,0.0
India,EB2,2007,2024-10-03,25.0,30.0,2024-09-03,-5.0,30.0,-0.16666666666666666
India,EB2,2007,2024-11-03,35.0,25.0,2024-10-03,10.0,31.0,0.3225806451612903
India,EB2,2007,2024-12-03,30.0,35.0,2024-11-03,-5.0,30.0,-0.16666666666666666
India,EB2,2007,2025-01-03,30.0,30.0,2024-12-03,0.0,31.0,0.0
India,EB2,2007,2025-02-03,30.0,30.0,2025-01-03,0.0,31.0,0.0
India,EB2,2007,2025-03-03,25.0,30.0,2025-02-03,-5.0,28.0,-0.17857142857142858
India,EB2,2007,2025-04-07,25.0,25.0,2025-03-03,0.0,35.0,0.0
India,EB2,2007,2025-05-05,30.0,25.0,2025-04-07,5.0,28.0,0.17857142857142858
India,EB2,2007,2025-08-05,40.0,30.0,2025-05-05,10.0,92.0,0.10869565217391304
India,EB2,2007,2025-09-03,35.0,40.0,2025-08-05,-5.0,29.0,-0.1724137931034483
India,EB2,2007,2025-10-02,35.0,35.0,2025-09-03,0.0,29.0,0.0
India,EB2,2007,2025-11-03,35.0,35.0,2025-10-02,0.0,32.0,0.0
India,EB2,2007,2025-12-03,35.0,35.0,2025-11-03,0.0,30.0,0.0
India,EB2,2007,2026-01-02,40.0,35.0,2025-12-03,5.0,30.0,0.16666666666666666
India,EB2,2007,2026-02-03,40.0,40.0,2026-01-02,0.0,32.0,0.0
India,EB2,2007,2026-03-03,40.0,40.0,2026-02-03,0.0,28.0,0.0
India,EB2,2007,2026-04-03,40.0,40.0,2026-03-03,0.0,31.0,0.0
India,EB2,2008,2024-03-03,30.0,30.0,2024-02-22,0.0,10.0,0.0
India,EB2,2008,2024-04-03,30.0,30.0,2024-03-03,0.0,31.0,0.0
India,EB2,2008,2024-05-03,25.0,30.0,2024-04-03,-5.0,30.0,-0.16666666666666666
India,EB2,2008,2024-06-03,30.0,25.0,2024-05-03,5.0,31.0,0.16129032258064516
India,EB2,2008,2024-07-03,30.0,30.0,2024-06-03,0.0,30.0,0.0
India,EB2,2008,2024-08-03,30.0,30.0,2024-07-03,0.0,31.0,0.0
India,EB2,2008,2024-09-03,30.0,30.0,2024-08-03,0.0,31.0,0.0
India,EB2,2008,2024-10-03,35.0,30.0,2024-09-03,5.0,30.0,0.16666666666666666
India,EB2,2008,2024-11-03,35.0,35.0,2024-10-03,0.0,31.0,0.0
India,EB2,2008,2024-12-03,30.0,35.0,2024-11-03,-5.0,30.0,-0.16666666666666666
India,EB2,2008,2025-01-03,25.0,30.0,2024-12-03,-5.0,31.0,-0.16129032258064516
India,EB2,2008,2025-02-03,30.0,25.0,2025-01-03,5.0,31.0,0.16129032258064516
India,EB2,2008,2025-03-03,35.0,30.0,2025-02-03,5.0,28.0,0.17857142857142858
India,EB2,2008,2025-04-07,40.0,35.0,2025-03-03,5.0,35.0,0.14285714285714285
India,EB2,2008,2025-05-05,30.0,40.0,2025-04-07,-10.0,28.0,-0.35714285714285715
India,EB2,2008,2025-08-05,25.0,30.0,2025-05-05,-5.0,92.0,-0.05434782608695652
India,EB2,2008,2025-09-03,30.0,25.0,2025-08-05,5.0,29.0,0.1724137931034483
India,EB2,2008,2025-10-02,30.0,30.0,2025-09-03,0.0,29.0,0.0
India,EB2,2008,2025-11-03,30.0,30.0,2025-10-02,0.0,32.0,0.0
India,EB2,2008,2025-12-03,30.0,30.0,2025-11-03,0.0,30.0,0.0
India,EB2,2008,2026-01-02,30.0,30.0,2025-12-03,0.0,30.0,0.0
India,EB2,2008,2026-02-03,30.0,30.0,2026-01-02,0.0,32.0,0.0
India,EB2,2008,2026-03-03,30.0,30.0,2026-02-03,0.0,28.0,0.0
India,EB2,2008,2026-04-03,30.0,30.0,2026-03-03,0.0,31.0,0.0
India,EB2,2009,2024-03-03,50.0,50.0,2024-02-22,0.0,10.0,0.0
India,EB2,2009,2024-04-03,50.0,50.0,2024-03-03,0.0,31.0,0.0
India,EB2,2009,2024-05-03,50.0,50.0,2024-04-03,0.0,30.0,0.0
India,EB2,2009,2024-06-03,50.0,50.0,2024-05-03,0.0,31.0,0.0
India,EB2,2009,2024-07-03,50.0,50.0,2024-06-03,0.0,30.0,0.0
India,EB2,2009,2024-08-03,50.0,50.0,2024-07-03,0.0,31.0,0.0
India,EB2,2009,2024-09-03,45.0,50.0,2024-08-03,-5.0,31.0,-0.16129032258064516
India,EB2,2009,2024-10-03,50.0,45.0,2024-09-03,5.0,30.0,0.16666666666666666
India,EB2,2009,2024-11-03,50.0,50.0,2024-10-03,0.0,31.0,0.0
India,EB2,2009,2024-12-03,45.0,50.0,2024-11-03,-5.0,30.0,-0.16666666666666666
India,EB2,2009,2025-01-03,45.0,45.0,2024-12-03,0.0,31.0,0.0
India,EB2,2009,2025-02-03,45.0,45.0,2025-01-03,0.0,31.0,0.0
India,EB2,2009,2025-03-03,35.0,45.0,2025-02-03,-10.0,28.0,-0.35714285714285715
