U.S. Citizenship and Immigration Services,,,,,,,,,,,,,
Form I-914 - Application for T Nonimmigrant Status and Form I-918 - Petition for U Nonimmigrant Status Visa ,,,,,,,,,,,,,
"Service-wide Receipts, Approvals, and Denials",,,,,,,,,,,,,
Fiscal Years: 2005 Through 2013 (October 2012),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Form I-914 Data,Form I-914 Data,Form I-914 Data,Form I-914 Data,Form I-914 Data,Form I-914 Data,Form I-918 Data,Form I-918 Data,Form I-918 Data,Form I-918 Data,Form I-918 Data,Form I-918 Data
,,Victim Receipts,Victim Approvals,Victim Denials,Family of Victim Receipts,Family of Victim Approvals,Family of Victim Denials,U Visa Receipts,U Visa Approvals,U Visa Denials,Victims Receipts,Victims Approvals,Victims Denials
,,,,,,,,,,,,,
FY,Month,I-914 T Receipts,I-914 T Approvals,I-914 T Denials,I-914  Receipts,I-914 Approvals,I-914 Denials,I-918U Receipts,I-918U Approvals,I-918U Denials,I-918 Receipts,I-918 Approvals,I-918 Denials
2005,,379,113,321,34,73,21, -   , -   , -   , -   , -   , -   
2006,,384,212,127,19,95,45, -   , -   , -   , -   , -   , -   
2007,,269,287,106,24,257,64, -   , -   , -   , -   , -   , -   
2008,,408,243,78,118,228,40, -   , -   , -   , -   , -   , -   
2009,,475,313,77,235,273,54,"6,835","5,825",688,"4,102","2,838",158
2010,,574,447,138,463,349,105,"10,742","10,073","4,347","6,418","9,315","2,576"
2011,,967,557,223,795,722,137,"16,768","10,088","2,929","10,033","7,602","1,645"
2012,,885,674,194,795,758,117,"24,768","10,122","2,866","15,126","7,421","1,465"
2013,October,44,127,9,74,125,8,2199,1999,177,1538,2161,159
,,,,,,,,,,,,,
* I-918 DATA COLLECTION DID NOT START UNTIL FY 2009 IN PAS,,,,,,,,,,,,,
Data: Based on October 2012 Final Data,,,,,,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,,,,,,
"Report Date: December 14, 2012",,,,,,,,,,,,,
Report Frequency: Monthly,,,,,,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - DMD",,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,
Date(s): Fiscal Years 2005 through 2013,,,,,,,,,,,,,
Form Type(s):  I-914 and Form I-918,,,,,,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials",,,,,,,,,,,,,
USCIS Domestic Field Offices & Service Centers: Agency-wide,,,,,,,,,,,,,
