"U.S. Citizenship and Immigration Services
Form I-526, Immigrant Petition by Alien Entreprneur and Form I-829, Petition by Entrepreneur to Remove Conditions 
Service-wide Receipts, Approvals, Denials
Fiscal Year(s): 2005 - 2012",,,,,,,,
,,,,,,,,
 ,I-526,I-526,I-526,I-526,I-829,I-829,I-829,I-829
Fiscal Year,Receipts,Approvals, Denials,Approval Percentage, Receipts, Approvals, Denials,Approval Percentage
2005,332,179,156,53%,37,184,112,62%
2006,486,336,124,73%,89,106,108,50%
2007,776,473,148,76%,194,111,49,69%
2008,"1,257",640,120,84%,390,159,68,70%
2009,"1,028","1,262",207,86%,437,347,56,86%
2010,"1,955","1,369",165,89%,768,274,56,83%
2011,"3,805","1,563",371,81%,"2,345","1,067",46,96%
2012,"6,041","3,677",957,79%,712,736,60,92%
Grand Total,"15,680","9,499","2,248",81%,"4,972","2,984",555,84%
,,,,,,,,
Data: Based on September Preliminary 2012 Data,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,
"Report Date: April 23rd, 2012; updated October 25th, 2012",,,,,,,,
Report Frequency: Quarterly,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - DL & MR",,,,,,,,
Parameters:,,,,,,,,
Date: Fiscal Years 2005-2012 ,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials",,,,,,,,
"Form Type(s): I-526, I-829",,,,,,,,
USCIS Domestic Field Offices & Service Centers: Agency-wide,,,,,,,,
,,,,,,,,
,,,,,,,,
"U.S. Citizenship and Immigration Services
Form I-526, Immigrant Petition by Alien Entreneur
Service-wide Receipts, Approvals, Denials
Fiscal Year(s): 2005 - 2012",,,,,,,,
,,,,,,,,
,,,,,,,,
FY,Fiscal Quarter,Receipts,Approvals,Denials,,,,
2005,1Q,55,34,25,,,,
2005,2Q,67,30,36,,,,
2005,3Q,87,37,35,,,,
2005,4Q,123,78,60,,,,
2006,1Q,110,89,48,,,,
2006,2Q,104,87,25,,,,
2006,3Q,128,73,32,,,,
2006,4Q,144,87,19,,,,
2007,1Q,143,73,38,,,,
2007,2Q,187,96,39,,,,
2007,3Q,185,139,38,,,,
2007,4Q,261,165,33,,,,
2008,1Q,267,139,26,,,,
2008,2Q,221,190,32,,,,
2008,3Q,219,142,51,,,,
2008,4Q,550,169,11,,,,
2009,1Q,178,221,30,,,,
2009,2Q,218,548,66,,,,
2009,3Q,205,279,55,,,,
2009,4Q,427,214,56,,,,
2010,1Q,422,276,60,,,,
2010,2Q,410,503,32,,,,
2010,3Q,437,322,42,,,,
2010,4Q,686,268,31,,,,
2011,1Q,714,191,56,,,,
2011,2Q,886,264,71,,,,
2011,3Q,992,593,128,,,,
2011,4Q,1213,515,116,,,,
2012,1Q,1293,1076,222,,,,
2012,2Q,1478,1024,162,,,,
2012,3Q,1385,902,391,,,,
2012,4Q,1885,675,182,,,,
2012,2Q,1478,1025,162,,,,
,,,,,,,,
,,,,,,,,
Data: Based on September Preliminary 2012 Data,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,
"Report Date: April 23rd, 2012 updated October 25th, 2012",,,,,,,,
Report Frequency: Quarterly,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - DL",,,,,,,,
Parameters:,,,,,,,,
Date: Fiscal Years 2005-2012 ,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials",,,,,,,,
Form Type(s): I-526,,,,,,,,
USCIS Domestic Field Offices & Service Centers: Agency-wide,,,,,,,,
,,,,,,,,
,,,,,,,,
"U.S. Citizenship and Immigration Services
Form I-829, Petition by Entrepreneur to Remove Conditions 
Service-wide Receipts, Approvals, Denials
Fiscal Year(s): 2005 - 2012 ",,,,,,,,
,,,,,,,,
FY,Fiscal Quarter,Receipts,Approvals,Denials,,,,
2005,1Q,8,41,46,,,,
2005,2Q,17,110,50,,,,
2005,3Q,8,11,14,,,,
2005,4Q,4,22,2,,,,
2006,1Q,15,2,6,,,,
2006,2Q,13,11,52,,,,
2006,3Q,22,29,7,,,,
2006,4Q,39,64,43,,,,
2007,1Q,33,27,10,,,,
2007,2Q,54,27,11,,,,
2007,3Q,44,42,17,,,,
2007,4Q,63,15,11,,,,
2008,1Q,60,24,9,,,,
2008,2Q,51,13,22,,,,
2008,3Q,136,90,32,,,,
2008,4Q,143,32,5,,,,
2009,1Q,111,43,11,,,,
2009,2Q,63,99,18,,,,
2009,3Q,132,108,11,,,,
2009,4Q,131,97,16,,,,
2010,1Q,126,34,10,,,,
2010,2Q,185,79,9,,,,
2010,3Q,236,91,21,,,,
2010,4Q,221,70,16,,,,
2011,1Q,531,39,13,,,,
2011,2Q,619,130,13,,,,
2011,3Q,603,270,8,,,,
2011,4Q,592,628,12,,,,
2012,1Q,250,144,11,,,,
2012,2Q,125,378,13,,,,
2012,3Q,171,117,18,,,,
2012,4Q,166,97,18,,,,
,,,,,,,,
Data: Based on September Preliminary 2012 Data,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,
"Report Date: April 23rd, 2012 Updated October 25th, 2012",,,,,,,,
Report Frequency: Quarterly,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - DL",,,,,,,,
Parameters:,,,,,,,,
Date(s): Fiscal Years 2005-2012 ,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials",,,,,,,,
Form Type(s): I-829,,,,,,,,
USCIS Domestic Field Offices & Service Centers: Agency-wide,,,,,,,,
,,,,,,,,
,,,,,,,,
"U.S. Citizenship and Immigration Services
Number of Approved EB5 Regional Centers 
Fiscal Year(s): 2007 - 2012 ",,,,,,,,
,,,,,,,,
FY07,11,,,,,,,
FY08,25,,,,,,,
FY09,72,,,,,,,
FY10,114,,,,,,,
FY11,174,,,,,,,
FY12,211,,,,,,,
,,,,,,,,
Source: ICLAIMS California Service Center,,,,,,,,
"Report Date: April 23rd, 2012 updated October 25th, 2012",,,,,,,,
Report Frequency: Quarterly,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - DL",,,,,,,,
Parameters:,,,,,,,,
Date: Fiscal Years 2007-2012 ,,,,,,,,
Data Type(s): Number of Regional Center approved for EB-5,,,,,,,,
"Form Type(s): I-526, I-829",,,,,,,,
USCIS Domestic Field Offices & Service Centers: Agency-wide,,,,,,,,
,,,,,,,,
,,,,,,,,
"U.S. Citizenship and Immigration Services
Form I-924, Application for Regional Center
Combined Initial and Amendment Applications
Service-wide Receipts, Approvals, Denials
Fiscal Year(s): 2010-2012",,,,,,,,
,,,,,,,,
FY,Fiscal Quarter,Receipts,Approvals,Denials,,,,
FY10,All,152,78,41,,,,
FY11,All,278,123,58,,,,
FY12,1Q,60,14,22,,,,
FY12,2Q,54,8,9,,,,
FY12,3Q,49,8,13,,,,
FY12,4Q,77,5,19,,,,
FY12,All,240,35,63,,,,
,,,,,,,,
,,,,,,,,
Source: ICLAIMS California Service Center and PAS data based on September 2012 Preliminary Report,,,,,,,,
"Report Date: April 23rd, 2012 updated October 25th, 2012",,,,,,,,
Report Frequency: Quarterly,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - DL",,,,,,,,
Parameters:,,,,,,,,
Date: Fiscal Years 2010-2012,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials for initial and amendment applications",,,,,,,,
Form Type(s): I-924,,,,,,,,
USCIS Offices/Centers: Service-wide,,,,,,,,
