U.S. Citizenship and Immigration Services,,,,,,,,,,,,
Form I-914 Application for T Nonimmigrant Status and Form I-918 Petition for U Nonimmigrant Status Visa ,,,,,,,,,,,,
"Service-wide Receipts, Completions, and Pending",,,,,,,,,,,,
Fiscal Year 2012,,,,,,,,,,,,
,,,,,,,,,,,,
Form I-914 - Application for T Nonimmigrant Status,,,,,,,,,,,,
,Form I-914 (T Visas),Form I-914 (T Visas),Form I-914 (T Visas),Form I-914 (T Visas),"FAMILY OF VICTIMS (T-2,3,4,5)","FAMILY OF VICTIMS (T-2,3,4,5)","FAMILY OF VICTIMS (T-2,3,4,5)","FAMILY OF VICTIMS (T-2,3,4,5)",I-914 TOTALS,I-914 TOTALS,I-914 TOTALS,I-914 TOTALS
3rd Qtr FY2012,Receipts,Approved,Denied,Pending,Receipts,Approved,Denied,Pending,Receipts,Approved,Denied,Pending
Totals,885,674,194,560,795,758,117,586,"1,680","1,432",311,"1,146"
,,,,,,,,,,,,
,,,,,,,,,,,,
Form I-918 Petition for U Nonimmigrant Status,,,,,,,,,,,,
,Form I-918 (U Visas),Form I-918 (U Visas),Form I-918 (U Visas),Form I-918 (U Visas),"FAMILY OF VICTIMS (U-2,3,4,5)","FAMILY OF VICTIMS (U-2,3,4,5)","FAMILY OF VICTIMS (U-2,3,4,5)","FAMILY OF VICTIMS (U-2,3,4,5)",I-918 TOTALS,I-918 TOTALS,I-918 TOTALS,I-918 TOTALS
3rd Qtr FY2012,Receipts,Approved,Denied,Pending,Receipts,Approved,Denied,Pending,Receipts,Approved,Denied,Pending
Totals,24768,10122,2866,"19,899",15126,7421,1465,"15,592","39,894","17,543","4,331","35,491"
,,,,,,,,,,,,
Data: Based on September 2012 Final Data,,,,,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,,,,,
"Report Date: November 15, 2012",,,,,,,,,,,,
Report Frequency: Quarterly,,,,,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - AC",,,,,,,,,,,,
Parameters:,,,,,,,,,,,,
Date(s): FY2012,,,,,,,,,,,,
Form Type(s):  I-914 and I-918,,,,,,,,,,,,
"Data Type(s): Receipts, Approved, Denied, Pending",,,,,,,,,,,,
USCIS Domestic Field Offices and Service Centers: Agency-wide,,,,,,,,,,,,
