USCIS,"EADs by Classification and Basis for Eligibility, Oct. 1, 2012 - June 29, 2017",,,,,,,
Classification,Purpose,Basis for eligibility (all are discretionary),Approvals FY12*,Approvals FY13*,Approvals FY14*,Approvals FY15*,Approvals FY16**,Approvals FY17***
(a)(3),Admitted as Refugee,8 CFR 274.12(a)(3),"58,280","67,092","64,167","67,859","72,238","70,942"
(a)(4),Paroled as Refugee,8 CFR 274.12(a)(4),64,81,16,76,44,37
(a)(6),K-1/K-2 Nonimmigrant Fianc‚(e) of USC/Dependent,8 CFR 274.12(a)(6),154,181,214,201,225,141
(a)(7),N-8 or N-9 Nonimmigrant,8 CFR 274.12(a)(7),20,17,14,18,28,22
(a)(9),"Nonimmigrant Spouse of USC or Dependent K-3, K-4",8 CFR 274.12(a)(9),110,88,64,99,129,57
(a)(10),Suspension of Deportation/NACARA Relief (Sec 203),8 CFR 274.12(a)(10),"13,891","13,527","14,863","15,910","15,305","10,214"
(a)(11),Granted Extended Voluntary Departure/Deferred Enforced Departure,8 CFR 274.12(a)(11),"1,606","1,090",385,"1,050",116,671
(a)(13),Granted Voluntary departure under Family Unity Program,8 CFR 274.12(a)(13),52,35,26,14,30,19
(a)(14),LIFE ACT Spouse/child of LPR,8 CFR 274a.12(a)(14),2,1,2,9,2,3
(a)(15),V NONIMM-Spouse/Child of certain LPRs,8 CFR 274a.12(a)(15),"1,233","1,033","1,283","1,267",926,687
(c)(1),A-1/A-2 Dependent****,8 CFR 274a.12(c)(1),"1,798","1,782","1,797","1,734","1,660",980
(c)(2),Spouse/Unmarried child of TECRO (Taipei Economic and Cultural Representative Office)(E-1),8 CFR 274a.12(c)(2),18,18,18,13,19,15
(c)(3)(A),F-1 Pre-completion Optional Practical Training,"8 CFR 214.2(f)(10), 8 CFR 274a.12(c)(i)(3)(A)","3,218","3,515","3,584","3,955","3,351","2,345"
(c)(3)(B),F-1 Post Optional Practical Training,"8 CFR 214.2(f)(10), 8 CFR 274a.12(c)(i)(3)(B)","95,504","100,777","109,874","132,163","154,120","112,890"
(c)(3)(C),F-1 STEM students,"8 CFR 214.2(f)(10), 8 CFR 274a.12(c)(i)(3)(C)","16,624","19,115","21,977","28,083","45,184","33,055"
(c)(3)(ii),F-1 International Org.,"8 CFR 214.2(f)(9)(iii), 8 CFR 274a.12(c)(3)(ii)",41,35,32,32,47,40
(c)(3)(iii),F-1 Severe Economic Hardship,"8 CFR 214.2(f)(9)(C), 8 CFR 274a.12(c)(3)(iii)","1,171",815,681,903,"1,033",674
(c)(4),G-1/G-3/G-4 Dependent****,8 CFR 274a.12(c)(4),"2,071","2,088","2,159","2,350","2,367","1,745"
(c)(5),(J-2) Spouse/child of J-1 Exchange Visitor ,8 CFR 274a.12(c)(5),"7,654","7,649","7,751","9,078","10,152","6,561"
(c)(6),M-1 Post Optional Practical Training for Vocational Students,8 CFR 274a.12(c)(6),211,202,192,194,165,154
(c)(7),NATO Dependent****,8 CFR 274a.12(c)(7),368,362,295,336,372,241
(c)(9),Adjustment applicants,8 CFR 274a.12(c)(9),"280,992","242,921","233,388","237,086","251,879","188,005"
(c)(9)(p),APPL FOR ADJSTMNT/SEC245/ADVANCE PAROLE,8 CFR 274a.12(c)(9)(p),"187,993","184,781","175,476","216,394","251,993","198,643"
(c)(10),Suspension of Deportation/Pending APPL NACARA (Sec 203)/Cancellation Removal,8 CFR 274a.12(c)(10),"63,687","75,279","82,962","94,733","99,086","48,884"
(c)(11),Paroled in the Public Interest,8 CFR 274a.12(c)(11),"28,403","34,690","34,478","52,423","78,713","51,362"
(c)(12),Spouse of an E-2 CNMI Investor ,8 CFR 274a.12(c)(12),11,13,9,10,16,8
(c)(14),Deferred Action Granted,8 CFR 274a.12(c)(14),"7,151","5,756","20,935","31,531","12,469","8,769"
(c)(16),APPL For Registry/SEC 249,8 CFR 274a.12(c)(16),13,15,7,13,18,9
(c)(16)(p),APPL For Registry/SEC249 & AP,8 CFR 274a.12(c)(16)(p),,,,,1,2
(c)(17)(i),B-1 Domestic Servant of Nonimmigrant Employer,8 CFR 274a.12(c)(17)(i),415,397,328,379,421,389
(c)(17)(ii),B-1 Domestic Servant of USC,8 CFR 274a.12(c)(17)(ii),299,308,328,329,366,340
(c)(17)(iii),B-1 Foreign Airline Employee,8 CFR 274a.12(c)(17)(iii),1,2,3,3,4,3
(c)(18),Final Order of Deportation/Order Supervision,8 CFR 274a.12(c)(18),"21,747","22,430","26,329","30,248","32,264","21,461"
(c)(19),TPS Pending,"INA 244(a)(4)(B), 8 CFR 274a.12(c)(19)","5,798","1,846","1,592","4,592","5,042","1,190"
(c)(20),Pending Legalization under Section 210/SAW,8 CFR 274a.12(c)(20),142,68,78,50,45,20
(c)(21),S Nonimmigrant,8 CFR 274a.12(c)(21),122,101,59,,69,24
(c)(22),Legalization Applicant (Sec. 245A),8 CFR 274a.12(c)(22),249,108,58,44,27,16
(c)(24),LIFE Legalization APPL,8 CFR 274a.12(c)(24),76,22,22,16,16,8
(c)(26),H-4 Spouse of an H-1B Nonimmigrant,8 CFR 274a.12(c)(26),NA,NA,NA,"26,858","41,526","36,366"
(c)(33),Deferred Action for Childhood Arrivals,8 CFR 274a.12(c)(14); Executive Action/Policy Memorandum: Exercising Prosecutorial Discretion with Respect to Individuals Who Came to the United States as Children ,"1,681","474,204","162,920","514,678","186,902","360,389"
(c)(35),EB1 EB2 EB3 Immigrant Workers (compelling circumstances EAD per AC21 Regulation),8 CFR 274a.12(c)(35),NA,NA,NA,NA,NA,9
(c)(36),Dependents of (c)(35),8 CFR 274a.12(c)(36),NA,NA,NA,NA,NA,8
,,Totals: ,"802,870","1,262,444","968,366","1,474,731","1,268,370","1,157,398"
*Numbers taken from FY16  USCIS Employment Authorization Documents Annual Report to Congress,,,,,,,,
** Numbers reported by USCIS Office of Performance and Quality,,,,,,,,
*** Numbers reported by USCIS Office of Performance and Quality from 10/1/16 through 6/29/17,,,,,,,,
****Bilateral agreements and treaties between DOS and individual countries can be found at: https://www.state.gov/m/dghr/flo/c24173.htm  ,,,,,,,,
