USCIS,"EADs by Classification and Statutory Eligibility, Oct. 1, 2012 - June 29, 2017",,,,,,,,
Classification,Purpose,Statutory Basis for eligibility,Discretionary/ Mandatory,Approvals FY12*,Approvals FY13*,Approvals FY14*,Approvals FY15*,Approvals FY16**,Approvals FY17***
(a)(2),Legalization Temporary Resident,INA 210(d); INA 245A(b)(3)(B); 8 CFR 274a.12(a)(2),Mandatory,249,116,90,39,31,18
(a)(5),Granted Asylum under Section 208,"INA 208(c)(1)(B), INA 208(d)(2), 8 CFR 208.7, 274.12(a)(5)",Mandatory,"43,110","40,384","36,192","41,184","32,236","21,036"
(a)(8),Micronesia/Marshall Islands or Palau,Pub. Law 108?188;  as implemented by P.L. 101-219; 8 CFR 274a.12(a)(8),Mandatory,354,322,331,215,253,297
(a)(12),TPS Granted,INA 244(a)(1)(B); 8 CFR 274.12(a)(12),Mandatory,"296,033","277,095","85,478","255,086","190,888","123,174"
(a)(16),T-1 Nonimmigrant,"INA 101(i)(2), 8 CFR 274a.12(a)(16)",Mandatory,36,32,38,63,58,42
(a)(17),Spouse of E-1/2/3 (Treaty trader/investor/Australian Specialty worker),INA 214(e)(6); 8 CFR 274a.12(a)(17) is reserved.  ,Mandatory,"5,533","5,644","6,495","7,284","8,663","6,364"
(a)(18),Spouse of L-1 ( Intracompany Transfee),INA 214(c)(2)(E); 8 CFR 274a.12(a)(18) is reserved.  ,Mandatory,"17,788","17,916","19,244","22,593","25,677","19,376"
(a)(19),U-1 Nonimmigrant,INA 214(p)(3)(B); 8 CFR 274a.12(a)(19),Mandatory,586,491,850,782,718,393
(a)(20),"U-2, U-3, U-4, U-5",INA 214(p)(3)(B); 8 CFR 274a.12(a)(20),Mandatory,"10,385","7,295","10,385","8,707","7,351","4,310"
(c)(8),Pending Asylum Applicant,INA 208(d)(2); 8 CFR 208.7; 8 CFR 274a.12(c)(8),Discretionary,"54,827","59,681","92,262","150,332","269,806","277,712"
(c)(25),"T-2, T-3, T-4 Nonimmigrant",INA 101(i)(2); 8 CFR 274a.12(c)(25),Mandatory,540,717,744,607,603,427
(c)(27),Abused spouse of A Non-Immigrant,INA 106,Discretionary,0,0,0,0, -   ,0
(c)(28),Abused spouse of E Non-immigrant,INA 106,Discretionary,0,0,0,0, -   ,1
(c)(29),Abused spouse of G Non-immigrant,INA 106,Discretionary,1,0,0,0, -   ,2
(c)(30),Abused spouse of H Non-immigrant,INA 106,Discretionary,0,0,0,0, -   ,1
(c)(31),VAWA Self-Petitioner,INA 204(a)(1)(K),Discretionary,"1,065","1,080","2,620","2,444","2,624","1,654"
,,Totals: ,,430507,410773,254729,489336,"538,908","454,807"
*Numbers taken from FY16  USCIS Employment Authorization Documents Annual Report to Congress,,,,,,,,,
** Numbers reported by USCIS Office of Performance and Quality,,,,,,,,,
*** Numbers reported by USCIS Office of Performance and Quality from 10/1/16 through 6/29/17,,,,,,,,,
