,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2013 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 1,723,648 "," 1,285,376 "," 100,649 "," 2,844,803 "," 1,495,598 "," 1,563,914 "," 114,616 "," 2,764,101 "," 1,919,703 "," 1,519,803 "," 119,929 "," 3,433,216 "," 1,759,072 "," 1,810,250 "," 133,830 "," 2,977,138 "," 6,898,021 "," 6,179,343 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-129F,Fiancée Petitions," 10,302 "," 7,140 "," 3,644 "," 29,990 "," 11,512 "," 5,312 "," 5,262 "," 33,241 "," 11,936 "," 13,724 "," 1,998 "," 27,872 "," 11,610 "," 17,628 "," 3,781 "," 18,969 "," 45,360 "," 43,804 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-130,Immediate and Preference Relatives," 169,553 "," 101,611 "," 10,472 "," 723,970 "," 191,203 "," 155,778 "," 11,443 "," 749,287 "," 234,738 "," 139,202 "," 12,661 "," 840,820 "," 217,888 "," 163,694 "," 13,064 "," 893,123 "," 813,382 "," 560,285 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Family-Based Adjustments," 64,277 "," 54,727 "," 6,382 "," 146,074 "," 64,052 "," 63,745 "," 7,364 "," 142,305 "," 74,531 "," 63,165 "," 7,423 "," 150,170 "," 74,115 "," 77,848 "," 7,945 "," 144,765 "," 276,975 "," 259,485 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-600/600A,Orphan Petitions," 1,917 "," 2,081 ", 165 , 665 ," 2,311 "," 2,459 ", 257 , 874 ," 2,473 "," 2,298 ", 210 , 780 ," 2,369 "," 2,323 ", 180 , 729 ," 9,070 "," 9,161 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-601A,Provisional Waivers, -   , -   , -   , -   ," 1,152 ", -   , -   ," 1,151 "," 8,982 ", 284 , 37 ," 9,416 "," 8,951 "," 4,198 "," 2,194 "," 12,254 "," 19,085 "," 4,482 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
