,,,,,,,,,,,,,,,,,,,
,Petitioner Location,,,Petitions by State and Company,,,,,,,,,,,,,,,
,,,,Petitions by U.S. Employer and U.S. Agent1,,,,,,,,,,,,,,,
,,,,Petitions Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,
,Total,,,"1,268","1,580",21,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Petitions by State6,,,,,,,,,,,,,,,,,,
,Alabama,,, 3 , 4 , -   , -   ,,,,,,,,,,,,
,,ANC,ALLEE AND ALLEN FARMS LLC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,BONNIE PLANTS, 2 , 2 , -   , -   ,,,,,,,,,,,,
,,,MOSELEY S INTL INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,Arizona,,, 1 , 1 , -   , -   ,,,,,,,,,,,,
, ,PHO,SILVER CANYON NURSERY DBA WHITFILL, 1 , 1 , -   , -   ,,,,,,,,,,,,
,Arkansas,FRE,, 5 , 8 , -   , -   ,,,,,,,,,,,,
,,IMP,ARKANSAS CROP TECHNOLOGIES INC, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,LOS,BATTURE CO, 2 , 4 , -   , -   ,,,,,,,,,,,,
,,LAC,LOWRY FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,SAC,RIVER VALLEY HORT INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,California,,, 13 , 17 , -   , -   ,,,,,,,,,,,,
,,WAS,ANGEL S CONTRACTING, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,BUOYE HONEY CO INC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,HIA,CF FARMING INC, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,JAC,FEDERICO BARAJAS LOPEZ DBA FL LABO, 2 , 1 , -   , -   ,,,,,,,,,,,,
,,KND,J&D HARVESTING INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,MIA,JOHN PODESTA FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,OKL,KFO INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,ORL,MD LABOR LLC, 1 , 3 , -   , -   ,,,,,,,,,,,,
,,TAM,MIXTEPEC FARMING, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,WPB,SIERRA CASCADE NURSERY INC, 2 , 2 , -   , -   ,,,,,,,,,,,,
,,,WEST COAST TOMATO GROWERS LLC, 2 , 2 , -   , -   ,,,,,,,,,,,,
,Colorado,,, 9 , 11 , 1 , -   ,,,,,,,,,,,,
,,HHW,CURTIS CHERRY RANCH, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,FLYING TRIANGLE RANCH, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,BOI,L AND M FARMS OF COLORADO LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,LAZY 3X SHEEP CO LLC, 2 , 3 , -   , -   ,,,,,,,,,,,,
,,CHI,MARC NEWMAN FARMS, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,,MILK CREEK RANCH, -   , -   , 1 , -   ,,,,,,,,,,,,
,,INP,P&M LLC, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,,STAR FARMS INC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,DSM,TWO BAR SHEEP CO LLC, 1 , -   , -   , -   ,,,,,,,,,,,,
,,,WELLSWEEP RANCHES, 1 , -   , -   , -   ,,,,,,,,,,,,
,Delaware,,, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,KAN,CANAM HARVESTING LLC, 1 , 2 , -   , -   ,,,,,,,,,,,,
,Florida,STL,, 49 , 58 , 1 , -   ,,,,,,,,,,,,
,,,B & W QUALITY GROWERS INC, 7 , 8 , -   , -   ,,,,,,,,,,,,
,,HEL,BANKER ORCHARD, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,BECERRA ENTERPRISES INC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,OMA,D/B/A BARAJAS TORRES HARVESTING, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,D/B/A RED HARVESTING, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,LVG,DEFISHER FRUIT FARM, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,REN,DESOTO FRUIT AND HARVESTING INC, 2 , 2 , -   , -   ,,,,,,,,,,,,
,,,DUNSON HARVESTING INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,MAN,EVERGLADES HARVESTING AND HAULING, 1 , 1 , 1 , -   ,,,,,,,,,,,,
,,,FANCY FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,MTL,FLORIDA PACIFIC FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,NEW,FOWLER BROS INC, 3 , 3 , -   , -   ,,,,,,,,,,,,
,,,GM HARVESTING INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,ABQ,GULF HARVESTING INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,J & P HARVEST INC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,ALB,KS DATTHYN FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,BUF,MIDWEST DETASSELING LLC, 1 , 4 , -   , -   ,,,,,,,,,,,,
,,LNY,MILLER FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,NYC,MITY MOLE INC, 1 , -   , -   , -   ,,,,,,,,,,,,
,,QNS,NATURE S GREEN INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,OASIS HARVESTING INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,CLT,OVERLOOK HARVESTING COMPANY LLC, -   , -   , -   , -   ,,,,,,,,,,,,
,,RAL,PALOMA HARVESTING, 2 , 4 , -   , -   ,,,,,,,,,,,,
,,,PETTIT FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,CIN,RED DIAMOND ENTERPRISES INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,CLE,S G HARVESTING LLC, 1 , -   , -   , -   ,,,,,,,,,,,,
,,CLM,SANDY RIDGE BERRY FARMS LLC, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,,STATEWIDE HARVESTING & HAULING INC, 3 , 2 , -   , -   ,,,,,,,,,,,,
,,OKC,T M HARVESTING INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
