,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,Applications by Case Status,,,,,,,,,,,,,,,,,,,,,,,,,
,Victims of Trafficking1,,,,Family Members1,,,,Total,,,,,,,,,,,,,,,,,
,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year - Total,,,,,,,,,,,,,,,,,,,,,,,,,,
2008, 408 , 243 , 78 , 203 , 118 , 228 , 40 , -   , 526 , 471 , 118 , 203 ,,,,,,,,,,,,,,
2009, 475 , 313 , 77 , 318 , 235 , 273 , 54 , 247 , 710 , 586 , 131 , 565 ,,,,,,,,,,,,,,
2010, 574 , 447 , 138 , 304 , 463 , 349 , 105 , 448 ," 1,037 ", 796 , 243 , 752 ,,,,,,,,,,,,,,
2011, 967 , 557 , 223 , 494 , 795 , 722 , 137 , 500 ," 1,762 "," 1,279 ", 360 , 994 ,,,,,,,,,,,,,,
2012, 885 , 674 , 194 , 560 , 795 , 758 , 117 , 586 ," 1,680 "," 1,432 ", 311 ," 1,146 ",,,,,,,,,,,,,,
2013, 799 , 848 , 104 , 421 ," 1,021 ", 975 , 91 , 546 ," 1,820 "," 1,823 ", 195 , 967 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year 2013 by Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. October - December, 175 , 264 , 20 , 454 , 269 , 272 , 29 , 557 , 444 , 536 , 49 ," 1,011 ",,,,,,,,,,,,,,
Q2. January - March, 205 , 198 , 20 , 445 , 223 , 232 , 20 , 530 , 428 , 430 , 40 , 975 ,,,,,,,,,,,,,,
Q3. April - June, 229 , 219 , 41 , 421 , 267 , 227 , 30 , 547 , 496 , 446 , 71 , 968 ,,,,,,,,,,,,,,
Q4. July - September, 190 , 167 , 23 , 421 , 262 , 244 , 12 , 546 , 452 , 411 , 35 , 967 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Refers to victims of severe forms of trafficking (T-1) and family members of victims (T-2,3,4,5).",,,,,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE:  1) Some applications approved or denied may have been received in previous reporting periods. ,,,,,,,,,,,,,,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), September 2013",,,,,,,,,,,,,,,,,,,,,,,,,,
