,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,Petitions by Case Status,,,,,,,,,,,,,,,,,,,,,,,,,
,Victims of Criminal Activities1,,,,Family Members1,,,,Total,,,,,,,,,,,,,,,,,
,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,"Approved3,7",Denied4,Pending5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year - Total6,,,,,,,,,,,,,,,,,,,,,,,,,,
2009," 6,835 "," 5,825 ", 688 ," 11,863 "," 4,102 "," 2,838 ", 158 ," 9,275 "," 10,937 "," 8,663 ", 846 ," 21,138 ",,,,,,,,,,,,,,
2010," 10,742 "," 10,073 "," 4,347 "," 7,403 "," 6,418 "," 9,315 "," 2,576 "," 6,242 "," 17,160 "," 19,388 "," 6,923 "," 13,645 ",,,,,,,,,,,,,,
2011," 16,768 "," 10,088 "," 2,929 "," 10,184 "," 10,033 "," 7,602 "," 1,645 "," 8,329 "," 26,801 "," 17,690 "," 4,574 "," 18,513 ",,,,,,,,,,,,,,
2012," 24,768 "," 10,122 "," 2,866 "," 19,899 "," 15,126 "," 7,421 "," 1,465 "," 15,592 "," 39,894 "," 17,543 "," 4,331 "," 35,491 ",,,,,,,,,,,,,,
2013," 25,432 "," 10,030 "," 1,829 "," 33,540 "," 18,263 "," 8,198 "," 1,440 "," 24,956 "," 43,695 "," 18,228 "," 3,269 "," 58,496 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year 2013 by Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. October - December," 6,565 "," 2,949 ", 461 ," 23,151 "," 4,656 "," 2,906 ", 338 ," 18,014 "," 11,221 "," 5,855 ", 799 ," 41,165 ",,,,,,,,,,,,,,
Q2. January - March," 6,454 "," 1,731 ", 518 ," 27,429 "," 4,719 ", 824 , 340 ," 21,191 "," 11,173 "," 2,555 ", 858 ," 48,620 ",,,,,,,,,,,,,,
Q3. April - June," 6,345 "," 3,271 ", 351 ," 30,053 "," 4,642 "," 2,603 ", 400 ," 22,877 "," 10,987 "," 5,874 ", 751 ," 52,930 ",,,,,,,,,,,,,,
Q4. July - September," 6,068 "," 2,079 ", 499 ," 33,540 "," 4,246 "," 1,865 ", 362 ," 24,956 "," 10,314 "," 3,944 ", 861 ," 58,496 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect petitioners' privacy.,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Refers to victims of certain criminal activities (U-1) and family members of victims (U-2,3,4,5).",,,,,,,,,,,,,,,,,,,,,,,,,,
2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
3  The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
6  Data unavailable in the reporting system for previous fiscal years.,,,,,,,,,,,,,,,,,,,,,,,,,,
"7  The U visa cap is against the principal only.  The derivatives are not counted in the annual cap of 10,000.",,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: 1) Some petitions approved or denied may have been received in previous reporting periods. ,,,,,,,,,,,,,,,,,,,,,,,,,,
            2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), September 2013",,,,,,,,,,,,,,,,,,,,,,,,,,
