"Number of I-829 Petitions by Entrepreneurs to Remove Conditions by Fiscal Year, Quarter, and Case Status  2008-2014 ",,,,
Period,Petitions by Case Status,,,
,Petition by Entrepreneur to Remove Conditions,,,
,Petitions Received1,Approved2,Denied3,Pending4
Fiscal Year - Total,,,,
2008,391,161,69,454
2009,437,350,57,735
2010,768,274,56,"1,167"
2011,"2,345","1,067",46,"2,395"
2012,712,736,60,"1,013"
2013,"1,217",844,44,"1,345"
,,,,
Fiscal Year 2014 by Quarter,,,,
Q1. October - December,370,159,43,"1,508"
Q2. January - March,,,,
Q3. April - June,,,,
Q4. July - September,,,,
,,,,
D  Data withheld to protect applicants' privacy.,,,,
'-' Represents zero.,,,,
1  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,
2  The number of petitions  approved during the reporting period.,,,,
"3  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,
4  The number of petitions awaiting a decision as of the end of the reporting period.,,,,
NOTE:  1) Some petitions approved or denied may have been received in previous reporting periods. ,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), December 2013",,,,
