"Approved L1 Petitions  by Employer    Fiscal Year 2015
",,,,,,
"Source: USCIS. Data as of Aug. 15, 2017. Notes:  All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. ""Employer Industry"" is based on the employer NAICS code, not job code. Some employer industry information is missing from our data system and thus left blank. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition. The L-1A nonimmigrant classification refers to intracompany transfers of corporate managers and executives. The L-1B nonimmigrant classification refers to intracompany transfers of employees who possess “specialized knowledge.” The LZ classification refers to “blanket” L petitions and may be used by entities involved in commercial trade or services. While the term “L-1” is used for visa issuance and admission purposes, USCIS uses the “A” and “B” distinctions internally for statistical and other purposes.",,,,,,
EMPLOYER TAX ID (Last 4 Digits),EMPLOYER NAME,EMPLOYER INDUSTRY,TOTAL APPROVED PETITIONS,EMPLOYMENT TYPE,CLASS PREFERENCE,APPROVED PETITIONS BY CLASS PREFERENCE
9806,TATA CONSULTANCY SVCS LTD,Custom Computer Programming Services,1606,Continuing,L1A,809
 , , , ,Continuing,L1B,98
 , , , ,Initial,L1A,691
 , , , ,Initial,L1B,D
4155,COGNIZANT TECH SOLNS US CORP,Computer Systems Design Services,1079,Continuing,L1A,268
 , , , ,Continuing,L1B,67
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,678
 , , , ,Initial,L1B,65
1430,IBM INDIA PRIVATE LIMITED,Custom Computer Programming Services Related,267,Continuing,L1A,148
 , , , ,Continuing,L1B,19
 , , , ,Initial,L1A,77
 , , , ,Initial,L1B,23
2661,SCHLUMBERGER TECHNOLOGY CORP,Support Activities for Oil and Gas Operations,224,Continuing,L1A,105
 , , , ,Continuing,L1B,84
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,34
1985,IBM CORPORATION,Custom Computer Programming Services Related,203,Continuing,L1A,70
 , , , ,Continuing,L1B,59
 , , , ,Initial,L1A,29
 , , , ,Initial,L1B,45
0235,INFOSYS LTD,Custom Computer Programming Services,165,Continuing,L1A,130
 , , , ,Continuing,L1B,26
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,D
4513,DELOITTE CONSULTING LLP, ,151,Continuing,L1A,42
 , , , ,Continuing,L1B,29
 , , , ,Initial,L1A,11
 , , , ,Initial,L1B,69
4401,WIPRO LIMITED,Custom Computer Programming Services,138,Continuing,L1A,104
 , , , ,Continuing,L1B,22
 , , , ,Initial,L1A,12
2696,TECH MAHINDRA AMERICAS INC,Custom Computer Programming Services,134,Continuing,L1A,64
 , , , ,Continuing,L1B,37
 , , , ,Initial,L1A,28
 , , , ,Initial,L1B,D
3454,OPTUM SERVICES INC,Computer Systems Design Services,116,Continuing,L1A,D
 , , , ,Continuing,L1B,50
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,62
3581,GOOGLE INC,Computer Systems Design Services,114,Continuing,L1A,88
 , , , ,Continuing,L1B,D
 , , , ,Initial,L1A,14
 , , , ,Initial,L1B,D
9005,EXXON MOBIL CORPORATION,Crude petroleum and natural gas extraction,103,Continuing,L1A,61
 , , , ,Continuing,L1B,10
 , , , ,Initial,L1A,10
 , , , ,Initial,L1B,22
5035,HCL AMERICA INC,Custom Computer Programming Services,103,Continuing,L1A,22
 , , , ,Continuing,L1B,65
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,11
8324,PRICEWATERHOUSECOOPERS LLP,Administrative Management and General Management Consulting Services,102,Continuing,L1A,72
 , , , ,Continuing,L1B,D
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,15
 , , , ,Initial,L1B,D
2883,VIRTUSA CORPORATION,Custom Computer Programming Services,98,Continuing,L1A,66
 , , , ,Continuing,L1B,15
 , , , ,Initial,L1A,14
 , , , ,Initial,L1B,D
3126,COMPUTER SCIENCES CORPORATION,Custom Computer Programming Services,94,Continuing,L1A,26
 , , , ,Continuing,L1B,18
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,20
 , , , ,Initial,L1B,29
7089,CAE SIMUFLITE INC,Medical Equipment and Supplies Manufacturing,91,Continuing,L1A,D
 , , , ,Continuing,L1B,D
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,78
0924,EBAY INC, ,91,Continuing,L1A,D
 , , , ,Continuing,L1B,D
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,25
 , , , ,Initial,L1B,49
7166,NTT DATA INC,Custom Computer Programming Services,90,Continuing,L1A,66
 , , , ,Continuing,L1B,19
 , , , ,Initial,L1A,D
