"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
8309,FAITH FORESTRY SERVICES INC,774,-,774
4313,BRIGHTVIEW LANDSCAPES LLC ,721,-,721
2136,SUPERIOR FORESTRY SERVICE INC,514,-,514
7045,TRIPLE H SERVICES LLC,511,-,511
2463,TRIDENT SEAFOODS INC,206,250,456
4879,ALPHA SERVICES LLC,437,-,437
7036,PROGRESSIVE SOLUTIONS LLC,47,385,432
2025,SILVER BAY SEAFOODS LLC,-,400,400
2506,DENISON LANDSCAPING,390,-,390
9872,NATIONWIDE STRUCTURAL LLC,360,-,360
4772,IGLOO PRODUCTS CORP,350,-,350
243,YELLOWSTONE LANDSCAPE-CENTRAL INC,348,-,348
7653,BRIGHTVIEW LANDSCAPE SVCS INC-DENV,335,-,335
7655,PAUL JOHNSON DRYWALL INC,323,-,323
5520,ROTOLO CONSULTANTS INC,244,65,309
3318,LANDCARE-NAPLES DBA LANDCARE USA,308,-,308
7108,AMERICAN POOL ENTERPRISE INC,155,150,305
2979,RAY CAMMACK SHOWS INC,300,-,300
454,BMC WEST LLC,292,-,292
2234,CHALLENGER SPORTS CORP,249,40,289
4796,BUTLER AMUSEMENTS INC,285,-,285
6122,BOCA WEST COUNTRY CLUB INC,280,-,280
2180,ICICLE SEAFOODS INC,170,103,273
3146,PRITCHETT FORESTRY SERVICES INC,272,-,272
8235,SIX FLAGS GREAT ADVENTURE LLC,264,-,264
6297,ABC PROFESSIONAL TREE SERVICES INC,263,-,263
5150,THE BROADMOOR HOTEL INC,255,-,255
3503,YELLOWSTONE LANDSCAPE-SE LLC ATLAN,250,-,250
7610,METCO LANDSCAPE INC,250,-,250
6487,PERSONAL TOUCH INC,249,-,249
7197,ACRES MAINTENANCE INC,242,-,242
5706,INTERNATIONAL PLANT SERVICES LLC,238,-,238
5957,OMNI HOTELS MGT CORP FOR GPI RESOR,147,75,222
274,GRAND HOTEL LLC,217,-,217
1461,VAIL CORP,216,-,216
2871,LANDSCAPES UNLIMITED LLC,212,-,212
4297,PRECISION LANDSCAPE MANAGEMENT LP,212,-,212
6351,NORTHWOODS FORESTRY INC,210,-,210
7617,STAN SWEENEY LLC,210,-,210
6049,REFORESTATION SPECIALISTS INC,205,-,205
8905,CAPT CHARLIES SEAFOOD INC,200,-,200
8580,WADE SHOWS INC,190,-,190
6112,LANDSCAPE WORKSHOP LLC,185,-,185
1224,MISHOS OYSTER COMPANY,184,-,184
8176,HILTON WORLDWIDE DBA KINGSTON PLAN,183,-,183
4708,VIN WOODS LLC,182,-,182
7382,EXTERIOR MAINTANENCE RESOURCES INC,180,-,180
2483,KEESEN LANDSCAPE MGMT INC,180,-,180
2784,ENVIRONMENTAL DESIGNS INC,180,-,180
3093,WESTBANK FISHING LLC,180,-,180
1343,EARTHWORKS INC,175,-,175
221,LANDTECH CONTRACTORS INC,175,-,175
3097,GE FORESTRY INC,175,-,175
8400,NORTH AMERICAN MIDWAY ENTERTAINMEN,-,171,171
4105,ERICKSON FRAMING AZ LLC,170,-,170
4607,SEA ISLAND ACQUISITION LLC,169,-,169
8749,FINE LINE CONCRETE LLC,169,-,169
3662,BRIGHTVIEW LANDSCAPE SVCS INC - NE,167,-,167
9439,LOFTCO INC,167,-,167
8902,STONE FORESTRY SERVICES INC,165,-,165
2068,KIEWIT OFFSHORE SERVICES LTD,165,-,165
6236,COCAL LANDSCAPE SVCS INC,-,160,160
1589,ERICKSON FRAMING CA LLC,159,-,159
7344,JOHNS ISLAND CLUB INC,156,-,156
8307,COBRA STONE INC,150,-,150
7449,SHEARON ENVIRONMENTAL DESIGN CO IN,150,-,150
2430,TAMPA HOSPITALITY MANGEMENT INC,50,100,150
1880,CAPT NEILLS SEAFOOD INC,150,-,150
7257,GREEN MOUNTAIN FORESTRY LLC,147,-,147
3871,MALDONADO NURSERY & LANDSCAPING IN,147,-,147
4490,BARTLETT TREE EXPERTS,144,-,144
8071,BH CONTRACTORS LLC,66,75,141
6374,RICHMOND & ASSOCS LANDSCAPING LTD,140,-,140
151,CLEAN SCAPES LP - AUSTIN,140,-,140
8395,GENUINE BUILDERS INC,76,62,138
6320,THE BREAKERS PALM BEACH INC,136,-,136
2650,RUPPERT NURSERIES,103,32,135
94,REITHOFFER SHOWS INC,135,-,135
2493,KOTTS KRETE LLC,135,-,135
7138,COLORADO DESIGNSCAPES INC,135,-,135
1541,BRIGHTVIEW LANDSCAPE SVCS INC-DULL,135,-,135
8785,THE MUNIE CO MD,132,-,132
8477,JAMES RIVER GROUNDS MANAGEMENT INC,130,-,130
7198,CONTINENTAL FLORAL LLC DBA CONTINE,130,-,130
1851,COASTAL EMPLOYMENT AGENCY INC-DICK,130,-,130
5794,FORESTALL COMPANY INC,129,-,129
9139,HILLENMEYER NURSERIES INC DBA STEP,125,-,125
1413,CAPTAIN J SEAFOOD INC,125,-,125
6410,REALTY LANDSCAPING CORPORATION,123,-,123
3342,GREENSCAPE SERVICES INC,123,-,123
6076,GREEN FORESTRY LLC,123,-,123
542,LOYET LANDSCAPE MAINTENANCE INC,121,-,121
77,SLI LANDSCAPE INC,75,45,120
9782,NATIONWIDE STRUCTURAL LLC,120,-,120
3733,HILTON INC DBA PARADISE FOUND RESO,120,-,120
1313,GREAT LAKES SVCS LLC GREAT WOLF LO,119,-,119
3462,LANDSCAPE CONCEPTS MGMT INC,119,-,119
9538,MID AMERICA SHOWS DELAWARE INC,-,118,118
5279,MARRIOTT RESORTS HOSPITALITY CORP,112,-,112
3712,LUSA AUSTIN LLC DBA LANDSCAPES USA,110,-,110
1934,D&S NORTH LLC DBA MISSION POINT RE,110,-,110
1915,BILTMORE COMPANY,110,-,110
7219,GREY OAKS COUNTRY CLUB,110,-,110
1809,IMPERIAL FORESTRY INC,109,-,109
9096,WELDING WORKS INTERNATIONAL,75,31,106
8697,WEST COAST LANDSCAPE & LAWNS INC,105,-,105
4082,S&D DRYWALL AND CONSTRUCTION INC,105,-,105
1450,GLOBAL HOUSEKEEPING SERVICES INC,105,-,105
6642,HERMES LANDSCAPING INC,105,-,105
6734,BEVANS OYSTER COMPANY INC,105,-,105
9421,HERITAGE LANDSCAPE SERVICES LLC,105,-,105
9976,JML LANDSCAPE MANAGEMENT,104,-,104
2617,AMIGO FORESTRY SERVICE INC,104,-,104
4413,SANDESTIN INVESTMENTS LLC,103,-,103
7970,SUMMITT FORESTS INC,102,-,102
5448,GRAHAM & ROLLINS INC,101,-,101
8545,AVC INTERNATIONAL LLC,-,100,100
6896,ASTRO AMUSEMENT CO INC,-,100,100
2550,GREAT AMERICA LLC,100,-,100
1854,UNITED LAWNSCAPE INC,100,-,100
7641,DE-VAL CONSTRUCTION DBA AD WELDING,100,-,100
4889,EMPLOYERS CONTRACT MANAGEMENT GR,100,-,100
5401,NUNEZ PINE STRAW INC,100,-,100
8561,KERRY STANLEY FORESTRY LLC,100,-,100
4277,BEAUCOUP CRAWFISH OF EUNICE DBA RI,100,-,100
9564,YARD-NIQUE INC,99,-,99
4063,OMNI HILTON HEAD OCEANFRONT RESORT,99,-,99
1462,MOON VALLEY NURSERY OF CA INC,99,-,99
6845,MARVIN WINDOWS & DOORS A DIV OF MA,49,50,99
7663,FERNHILL HOLLY FARMS INC,99,-,99
8108,SELECT EVENT GROUP INC,98,-,98
7256,WESTCO GROUNDS MAINTENANCE CO INC,98,-,98
8560,RUBY & STEVEN SWETT LLC,98,-,98
5557,TODD A PLETCHER RACING STABLES INC,97,-,97
7831,JD AG & FORESTRY LLC,96,-,96
3808,CORP GREEN LLC DBA GREENSEASONS,95,-,95
9484,CITITURF LLC,95,-,95
7005,SIGNATURE LANDSCAPE INC,95,-,95
4312,ECOSCAPE SOLUTIONS GROUP INC,95,-,95
9337,NATIVE LAND DESIGN LLC,95,-,95
8841,COMPLETE INDUSTRIES INC,94,-,94
6275,THELEN & ASSOCS INC DBA LANDMARK L,94,-,94
157,MT ST HELENS REFORESTATION INC,94,-,94
2616,MACKINAW SEASONAL RESORTS INC,93,-,93
5836,DIVERSIFIED LABOR LLC - LOXAHATCHE,93,-,93
8073,THE J M CLAYTON COMPANY INC,92,-,92
9471,GREATER TEXAS LANDSCAPES - DENTON,91,-,91
8160,THE EVERGLADES CLUB INC,91,-,91
1212,BRAKE LANDSCAPING & LAWNCARE INC,90,-,90
6133,SILVICULTURAL MGT ASSOCIATES INC,90,-,90
2336,CHESAPEAKE CONTAINMENT SYSS INC -,90,-,90
8456,HERKER BLDG & LAWN MAINTENANCE INC,90,-,90
115,LAWN GROOMERS INC,90,-,90
6074,FMWB INC,90,-,90
9690,DIVERSIFIED ROOFING CORPORATION,90,-,90
9271,BROWN S AMUSEMENTS INC,90,-,90
418,BRIGHTVIEW LANDSCAPE DEV INC-CA AU,90,-,90
7547,PELICAN BAY FOUNDATION INC,90,-,90
9112,TOUPS CRAWFISH L L C,90,-,90
714,ATSC LLC DBA ADVANCED TOTAL SOCCER,89,-,89
1848,GOLDEN LANDSCAPING & LAWN LLC,89,-,89
1242,GEOSCAPES OF TEXAS INC,89,-,89
1716,SELECT DEDICATED SOLUTIONS LLC,88,-,88
6367,EXPRESS FORESTRY SERVICE LLC,88,-,88
9238,DAVIS LANDSCAPE LTD INC,86,-,86
543,UFL INC,-,86,86
2031,HIGH SIERRA POOLS INC,86,-,86
4837,ROCKWELL AMUSEMENTS & PROMOTIONS I,85,-,85
3152,HITTLE LANDSCAPING INC,85,-,85
5271,ALL STAR AMUSEMENT CO INC,-,85,85
9739,MCFALL & BERRY LANDSCAPE MGT INC,85,-,85
6516,WHITE CASTLE ROOFING & CONTRACTING,-,85,85
7217,VARGAS PROPERTY SVCS INC,85,-,85
6024,MD PROPERTY SVCS INC,85,-,85
1090,SANDERLING RESORT,85,-,85
2315,ALLAGASH MAPLE PRODUCTS,85,-,85
7247,J & J PINE NEEDLES LLC,85,-,85
7845,GRAND TRAVERSE RESORT & SPA LLC,84,-,84
2971,ADVANCED WELDING SOLUTIONS LLC,84,-,84
6688,BASNIGHT LAND & LAWN INC,84,-,84
9851,BENCHMARK LANDSCAPES LLC,84,-,84
5750,VR CPC HOLDINGS INC DBA PARK CITY,83,-,83
3778,PONTCHARTRAIN BLUE CRAB INC,-,83,83
1797,PITZERS LAWN MANAGEMENT INC,83,-,83
6545,CLIPPERS INC -MD,82,-,82
748,RESORT GRP LLC,82,-,82
2679,THE CLUB AT ADMIRALS COVE INC,82,-,82
4648,MILLER SEAFOOD COMPANY INC,82,-,82
8695,FORRESTER AND ASSOCIATES LLC,-,81,81
4648,BONUMS OYSTER COMPANY INC,81,-,81
6124,MORINS LANDSCAPING INC,80,-,80
4452,LAUBERGE CASINO RESORT LAKE CHARLE,-,80,80
6375,H&M LANDSCAPING INC,80,-,80
8647,ELS MAINTENANCE INC,80,-,80
3191,KISSEL ENTERTAINMENT LLC,80,-,80
1731,PROVIDENCE LANDSCAPE GROUP,80,-,80
7083,BIEBER FARMS CRAWFISH INC,80,-,80
8997,HIGHLANDERS FOREST LLC,60,20,80
7110,R C O REFORESTING INC,80,-,80
6915,ENGLEDOW INC,80,-,80
5143,GLD CONCRETE LLC,80,-,80
8560,RSG LANDSCAPING & LAWN CARE INC,80,-,80
7867,LOVIN CONTRACTING CO INC,80,-,80
7670,AQUA FARMS CRAWFISH INC,80,-,80
9437,PERFECT CUTS OF AUSTIN LLC,80,-,80
6808,TALLEY AMUSEMENTS INC,80,-,80
8672,MOON VALLEY NURSERY INC,80,-,80
4569,GOTHIC GROUNDS MANAGEMENT INC,80,-,80
2166,DIXIE LAWN SERVICE INC,79,-,79
9800,SMITH LABOR MANAGEMENT LLC,79,-,79
4525,WORMAN FOREST MANAGEMENT LLC,78,-,78
9169,MATTAMUSKEET CRAB COMPANY INC,78,-,78
