,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 170,039 "," 104,723 "," 8,713 "," 393,474 "," 89,754 "," 29,661 "," 4,917 "," 670,262 "," 259,793 "," 134,384 "," 13,630 "," 1,063,736 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,
,Anchorage ,ANC, 67 , 71 , D , 191 , - , D , - , D , 67 , 72 , D , 197 ,
Arizona,,,,,,,,,,,,,,,
 ,Phoenix ,PHO," 1,043 ", 946 , 26 ," 2,255 ", - , 35 , D , 15 ," 1,043 ", 981 , 27 ," 2,270 ",
,Tucson,TUC, 356 , 439 , 14 , 976 , - , D , D , D , 356 , 440 , 15 , 977 ,
Arkansas,,,,,,,,,,,,,,,
,Fort Smith ,FSA, 135 , 113 , D , 296 , D , - , - , D , 137 , 113 , D , 302 ,
California,,,,,,,,,,,,,,,
,Chula Vista,CVC, - , - , - , - , - , - , - , - , - , - , - , - ,
,Fresno ,FRE, 667 , 312 , 25 ," 1,416 ", D , 11 , D , 30 , 668 , 323 , 29 ," 1,446 ",
,Imperial,IMP, 86 , 187 , D , 176 , - , D , - , D , 86 , 188 , D , 177 ,
,Los Angeles ,LOS," 1,625 "," 1,171 ", 72 ," 3,939 ", - , 45 , 11 , D ," 1,625 "," 1,216 ", 83 ," 3,948 ",
,Los Angeles County ,LAC," 2,047 "," 1,203 ", 107 ," 4,168 ", D , 18 , D , 33 ," 2,055 "," 1,221 ", 109 ," 4,201 ",
,Sacramento ,SAC, 707 , 791 , 34 ," 1,535 ", - , D , D , D , 707 , 800 , 36 ," 1,539 ",
,San Bernardino,SBD," 1,599 "," 1,227 ", 109 ," 2,863 ", D , 26 , D , 13 ," 1,602 "," 1,253 ", 113 ," 2,876 ",
,San Diego ,SND," 1,283 "," 1,137 ", 49 ," 2,778 ", D , D , D , D ," 1,284 "," 1,139 ", 50 ," 2,784 ",
,San Fernando Valley,SFV," 1,247 ", 519 , 29 ," 3,112 ", - , D , D , D ," 1,247 ", 528 , 31 ," 3,116 ",
,San Francisco,SFR," 1,789 "," 1,851 ", 51 ," 4,794 ", D , 33 , D , 32 ," 1,792 "," 1,884 ", 56 ," 4,826 ",
,San Jose ,SNJ, 936 , 651 , 28 ," 2,727 ", - , 11 , D , 43 , 936 , 662 , 29 ," 2,770 ",
,Santa Ana,SAA," 1,470 "," 1,159 ", 89 ," 3,780 ", D , 18 , 20 , D ," 1,473 "," 1,177 ", 109 ," 3,786 ",
Colorado,,,,,,,,,,,,,,,
,Denver ,DEN," 1,030 ", 535 , 32 ," 3,049 ", D , 36 , D , 77 ," 1,032 ", 571 , 37 ," 3,126 ",
Connecticut,,,,,,,,,,,,,,,
,Hartford ,HAR, 763 , 561 , 79 ," 2,253 ", D , 11 , D , 129 , 764 , 572 , 80 ," 2,382 ",
   Delaware,,,,,,,,,,,,,,,
,Dover,DVD, - , 35 , - , 24 , - , - , - , - , - , 35 , - , 24 ,
District of Columbia,,,,,,,,,,,,,,,
