,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Source: USCIS, data as of October 22, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D.  While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different on the petition.  The L-1A nonimmigrant classification refers to intracompany transfers of corporate managers and executives. The L-1B nonimmigrant classification refers to intracompany transfers of employees who possess “specialized knowledge.” The LZ classification refers to “blanket” L petitions and may be used by entities involved in commercial trade or services. While the term “L-1” is used for visa issuance and admission purposes, USCIS uses the “A” and “B” distinctions internally for statistical and other purposes. ",,,,,,,,,,
Employer Tax ID (Last 4 Digits) ,Employer name,Employer Industry,Total Approved Petitions,Employment Type,Class Preference,Approved Petitions by Class Preference,,,,
9806,TATA CONSULTANCY SVCS LTD,Custom Computer Programming Services,1802,Continuing,L1A,1328,,,,980429806
 , , , ,Continuing,L1B,50,,,, 
 , , , ,Initial,L1A,H,,,, 
 , , , ,Initial,L1B,D,,,, 
4155,COGNIZANT TECH SOLNS US CORP,Computer Systems Design Services,1416,Continuing,L1A,581,,,,133924155
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,720,,,, 
 , , , ,Initial,L1B,33,,,, 
0235,INFOSYS LTD,Custom Computer Programming Services,288,Continuing,L1A,217,,,,581760235
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,10,,,, 
 , , , ,Initial,L1B,12,,,, 
2661,SCHLUMBERGER TECHNOLOGY CORP,Support Activities for Oil and Gas Operations,282,Continuing,L1A,108,,,,221692661
 , , , ,Continuing,L1B,H,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,71,,,, 
2696,TECH MAHINDRA AMERICAS INC,Custom Computer Programming Services,270,Continuing,L1A,169,,,,223282696
 , , , ,Continuing,L1B,25,,,, 
 , , , ,Initial,L1A,63,,,, 
 , , , ,Initial,L1B,13,,,, 
1985,IBM CORPORATION,Computer Systems Design and Related Services,214,Continuing,L1A,100,,,,130871985
 , , , ,Continuing,L1B,62,,,, 
 , , , ,Initial,L1A,21,,,, 
 , , , ,Initial,L1B,31,,,, 
8221,HP ENTERPRISE SVCS LLC A HEWLETT,Custom Computer Programming Services,205,Continuing,L1A,54,,,,752548221
 , , , ,Continuing,L1B,115,,,, 
 , , , ,Initial,L1A,12,,,, 
 , , , ,Initial,L1B,H,,,, 
 , , , ,Initial,LZ,D,,,, 
4513,DELOITTE CONSULTING LLP,,194,Continuing,L1A,83,,,,61454513
 , , , ,Continuing,L1B,42,,,, 
 , , , ,Initial,L1A,18,,,, 
 , , , ,Initial,L1B,51,,,, 
4401,WIPRO LIMITED,Custom Computer Programming Services,185,Continuing,L1A,161,,,,980154401
 , , , ,Continuing,L1B,17,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
2904,ACCENTURE LLP,"Management, Scientific, and Technical Consulting Services",183,Continuing,L1A,95,,,,720542904
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
