,,,,,,,,
,,,,,,,,
,Period,Petitions Received1,Approved2,Denied3,Pending4,,,
,Fiscal Year - Total,,,,,,,
,2015," 13,626 "," 10,368 "," 3,446 "," 3,081 ",,,
,2016," 13,418 "," 10,167 "," 3,242 "," 3,640 ",,,
,2017," 13,474 "," 10,626 "," 3,915 "," 2,533 ",,,
,,,,,,,,
,Fiscal Year 2018 by Quarter,,,,,,,
,Q1. October - December," 3,165 "," 2,121 ", 931 ," 2,773 ",,,
,Q2. January - March," 3,408 "," 2,357 ", 974 ," 2,783 ",,,
,Q3. April - June,,,,,,,
,Q4. July - September,,,,,,,
,Total," 6,573 "," 4,478 "," 1,905 "," 2,783 ",,,
,,,,,,,,
,D  Data withheld to protect individuals privacy.,,,,,,,
,- Represents zero.,,,,,,,
,n/a Historic pending data is not available,,,,,,,
,1  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,
,2 The number of petitions approved during the reporting period.,,,,,,,
,"3  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,
,4  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,
,NOTE:  1) Some petitions approved or denied may have been received in previous reporting periods. ,,,,,,,
,             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,
,"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, C3 Consolidated via Standard Management Analysis and Reporting Tool (SMART), March 2018.",,,,,,,
