,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Period,Applications by Case Status,,,,,,,,,,,,,,,,,
,,Victims of Trafficking1,,,,Family Members1,,,,Total,,,,,,,,,
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,
,,,,,,,,,,,,,,,,,,,
,Fiscal Year - Total,,,,,,,,,,,,,,,,,,
,2008, 408 , 243 , 78 , 203 , 118 , 228 , 40 , -   , 526 , 471 , 118 , 203 ,,,,,,
,2009, 475 , 313 , 77 , 318 , 235 , 273 , 54 , 247 , 710 , 586 , 131 , 565 ,,,,,,
,2010, 574 , 447 , 138 , 304 , 463 , 349 , 105 , 448 ," 1,037 ", 796 , 243 , 752 ,,,,,,
,2011, 967 , 557 , 223 , 494 , 795 , 722 , 137 , 500 ," 1,762 "," 1,279 ", 360 , 994 ,,,,,,
,2012, 885 , 674 , 194 , 560 , 795 , 758 , 117 , 586 ," 1,680 "," 1,432 ", 311 ," 1,146 ",,,,,,
,2013, 799 , 848 , 104 , 421 ," 1,021 ", 975 , 91 , 546 ," 1,820 "," 1,823 ", 195 , 967 ,,,,,,
,2014, 944 , 613 , 153 , 613 , 925 , 788 , 105 , 583 ," 1,869 "," 1,401 ", 258 ," 1,196 ",,,,,,
,2015," 1,062 ", 610 , 294 , 808 ," 1,162 ", 694 , 192 , 858 ," 2,224 "," 1,304 ", 486 ," 1,666 ",,,,,,
,2016, 953 , 750 , 194 , 866 , 895 , 986 , 163 , 715 ," 1,848 "," 1,736 ", 357 ," 1,581 ",,,,,,
,2017," 1,141 ", 672 , 226 ," 1,175 "," 1,118 ", 690 , 122 ," 1,101 "," 2,259 "," 1,362 ", 348 ," 2,276 ",,,,,,
,,,,,,,,,,,,,,,,,,,
,Fiscal Year 2018 by Quarter,,,,,,,,,,,,,,,,,,
,Q1. October - December, 323 ,141, 76 ," 1,291 ", 306 , 175 , 54 ," 1,191 ", 629 , 316 , 130 ," 2,482 ",,,,,,
,Q2. January - March,,,,,,,,,,,,,,,,,,
,Q3. April - June,,,,,,,,,,,,,,,,,,
,Q4. July - September,,,,,,,,,,,,,,,,,,
,Total, 323 , 141 , 76 ," 1,291 ", 306 , 175 , 54 ," 1,191 ", 629 , 316 , 130 ," 2,482 ",,,,,,
,,,,,,,,,,,,,,,,,,,
,D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,
,- Represents zero.,,,,,,,,,,,,,,,,,,
,"1 Refers to victims of severe forms of trafficking (T-1) and family members of victims (T-2,3,4,5).",,,,,,,,,,,,,,,,,,
,2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,
,3 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,
,"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,
,5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,
,NOTE:  1) Some applications approved or denied may have been received in previous reporting periods. ,,,,,,,,,,,,,,,,,,
,             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,
,"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool, December 2017.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
