                                                                                                                                                                                                                                                          ,,,,,,,,,,
"Source: USCIS, data as of October 5, 2018. Notes:  All data are based on petitions received during the fiscal year for both initial employment and continuing employment. Initial employment includes both cap-subject and cap-exempt petitions. Percentages may not add due to rounding.  ",,,,,,,,,,
,Female,,Male,,Missing/Other,,Grand Total,,,
Country of Birth,Number,Percent of Total,Number,Percent of Total,Number,Percent of Total,Number,Percent,,
TOTAL,"106,096",25.3%,"311,997",74.3%,"1,544",0.4%,"419,637",100.0%,,
INDIA,"63,220",20.4%,"245,517",79.2%,"1,249",0.4%,"309,986",73.9%,,
"CHINA, PEOPLE'S REPUBLIC","21,342",45.2%,"25,718",54.5%,112,0.2%,"47,172",11.2%,,
CANADA,"1,534",33.2%,"3,077",66.5%,14,0.3%,"4,625",1.1%,,
"KOREA, SOUTH","1,869",41.9%,"2,588",58.0%,8,0.2%,"4,465",1.1%,,
PHILIPPINES,"1,712",52.7%,"1,519",46.7%,19,0.6%,"3,250",0.8%,,
MEXICO,739,24.8%,"2,234",74.9%,9,0.3%,"2,982",0.7%,,
TAIWAN,"1,160",44.5%,"1,441",55.3%,7,0.3%,"2,608",0.6%,,
UNITED KINGDOM,609,27.9%,"1,554",71.3%,18,0.8%,"2,181",0.5%,,
BRAZIL,599,31.8%,"1,282",68.0%,5,0.3%,"1,886",0.4%,,
PAKISTAN,353,18.9%,"1,515",81.0%,3,0.2%,"1,871",0.4%,,
FRANCE,525,31.5%,"1,140",68.3%,3,0.2%,"1,668",0.4%,,
IRAN,565,36.2%,992,63.5%,4,0.3%,"1,561",0.4%,,
NEPAL,330,21.7%,"1,187",77.9%,6,0.4%,"1,523",0.4%,,
TURKEY,422,31.0%,931,68.4%,9,0.7%,"1,362",0.3%,,
GERMANY,396,29.9%,922,69.7%,5,0.4%,"1,323",0.3%,,
RUSSIA,338,27.4%,892,72.4%,2,0.2%,"1,232",0.3%,,
JAPAN,486,40.0%,725,59.7%,3,0.2%,"1,214",0.3%,,
ITALY,433,36.8%,744,63.2%,1,0.1%,"1,178",0.3%,,
COLOMBIA,454,41.9%,629,58.0%,1,0.1%,"1,084",0.3%,,
SPAIN,434,41.1%,621,58.9%,,,"1,055",0.3%,,
VENEZUELA,396,37.9%,646,61.8%,3,0.3%,"1,045",0.2%,,
VIETNAM,390,39.0%,608,60.8%,2,0.2%,"1,000",0.2%,,
NIGERIA,379,39.4%,580,60.4%,2,0.2%,961,0.2%,,
BANGLADESH,180,19.4%,748,80.5%,1,0.1%,929,0.2%,,
UKRAINE,164,22.8%,553,76.8%,3,0.4%,720,0.2%,,
MALAYSIA,271,40.3%,401,59.6%,1,0.1%,673,0.2%,,
IRELAND,208,31.7%,447,68.1%,1,0.2%,656,0.2%,,
HONG KONG,267,42.8%,353,56.6%,4,0.6%,624,0.1%,,
ISRAEL,165,26.6%,454,73.1%,2,0.3%,621,0.1%,,
SINGAPORE,251,40.4%,368,59.3%,2,0.3%,621,0.1%,,
EGYPT,78,14.4%,462,85.4%,1,0.2%,541,0.1%,,
SAUDI ARABIA,144,27.1%,387,72.9%,,,531,0.1%,,
SRI LANKA,138,28.9%,339,71.1%,,,477,0.1%,,
INDONESIA,181,38.5%,286,60.9%,3,0.6%,470,0.1%,,
ARGENTINA,147,31.8%,315,68.2%,,,462,0.1%,,
POLAND,170,36.9%,290,62.9%,1,0.2%,461,0.1%,,
GREECE,151,33.0%,303,66.3%,3,0.7%,457,0.1%,,
SOUTH AFRICA,133,29.7%,313,69.9%,2,0.4%,448,0.1%,,
CHILE,83,18.6%,362,81.0%,2,0.4%,447,0.1%,,
AUSTRALIA,149,34.3%,285,65.5%,1,0.2%,435,0.1%,,
PERU,161,39.2%,247,60.1%,3,0.7%,411,0.1%,,
THAILAND,178,46.2%,204,53.0%,3,0.8%,385,0.1%,,
LEBANON,98,26.3%,274,73.7%,,,372,0.1%,,
UNITED ARAB EMIRATES,112,32.7%,231,67.3%,,,343,0.1%,,
ROMANIA,144,42.6%,193,57.1%,1,0.3%,338,0.1%,,
GHANA,103,33.1%,204,65.6%,4,1.3%,311,0.1%,,
JAMAICA,196,63.6%,112,36.4%,,,308,0.1%,,
KENYA,122,40.9%,176,59.1%,,,298,0.1%,,
NETHERLANDS,81,27.8%,210,72.2%,,,291,0.1%,,
JORDAN,48,17.3%,229,82.4%,1,0.4%,278,0.1%,,
ECUADOR,94,34.7%,177,65.3%,,,271,0.1%,,
SWEDEN,83,31.8%,177,67.8%,1,0.4%,261,0.1%,,
SWITZERLAND,63,29.7%,147,69.3%,2,0.9%,212,0.1%,,
BULGARIA,93,44.3%,115,54.8%,2,1.0%,210,0.1%,,
BELGIUM,67,32.8%,137,67.2%,,,204,0.0%,,
KUWAIT,61,29.9%,142,69.6%,1,0.5%,204,0.0%,,
DOMINICAN REPUBLIC,75,37.9%,123,62.1%,,,198,0.0%,,
TRINIDAD AND TOBAGO,102,53.7%,88,46.3%,,,190,0.0%,,
ZIMBABWE,81,42.6%,108,56.8%,1,0.5%,190,0.0%,,
HONDURAS,78,45.1%,95,54.9%,,,173,0.0%,,
PORTUGAL,61,37.2%,103,62.8%,,,164,0.0%,,
