,,,,,,,,,,,,,,,
"Count of Active DACA Recipients
",,,,,,,,,,,,,,,
By Country of Birth,,,,,,,,,,,,,,,
"As of September 30, 2021",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Country of Birth,"Count
(rounded)",Country of Birth,"Count
(rounded)",,,,,,,,,,,,
Grand Total,"611,030",Paraguay,160,,,,,,,,,,,,
Mexico,"493,680",Zambia,160,,,,,,,,,,,,
El Salvador,"23,590",Thailand,150,,,,,,,,,,,,
Guatemala,"16,050",South Africa,150,,,,,,,,,,,,
Honduras,"14,620",Saudi Arabia,150,,,,,,,,,,,,
Peru,"5,760",Armenia,140,,,,,,,,,,,,
"Korea, South","5,750",Egypt,140,,,,,,,,,,,,
Brazil,"4,680",Haiti,140,,,,,,,,,,,,
Ecuador,"4,350",Hong Kong,140,,,,,,,,,,,,
Colombia,"3,850",Malaysia,140,,,,,,,,,,,,
Argentina,"3,080",United Arab Emirates,140,,,,,,,,,,,,
Philippines,"3,030",France,120,,,,,,,,,,,,
Jamaica,"2,040",Lithuania,120,,,,,,,,,,,,
India,"2,030",Ukraine,120,,,,,,,,,,,,
Venezuela,"1,960",Senegal,120,,,,,,,,,,,,
Dominican Republic,"1,810",Russia,110,,,,,,,,,,,,
Uruguay,"1,570",Sri Lanka,110,,,,,,,,,,,,
Trinidad and Tobago,"1,330",Cameroon,110,,,,,,,,,,,,
Bolivia,"1,290",Zimbabwe,110,,,,,,,,,,,,
Costa Rica,"1,230",Guinea,100,,,,,,,,,,,,
Nicaragua,"1,210",Japan,100,,,,,,,,,,,,
Chile,"1,090",Côte D'Ivoire,100,,,,,,,,,,,,
Poland,"1,040",Morocco,90,,,,,,,,,,,,
Pakistan,"1,030",Grenada,90,,,,,,,,,,,,
Nigeria,830,Greece,90,,,,,,,,,,,,
Guyana,760,Romania,90,,,,,,,,,,,,
Belize,630,"Gambia, The",90,,,,,,,,,,,,
Indonesia,600,Saint Vincent and the Grenadines,90,,,,,,,,,,,,
Canada,590,Spain,80,,,,,,,,,,,,
Kenya,550,Suriname,80,,,,,,,,,,,,
China,540,Lebanon,80,,,,,,,,,,,,
Bangladesh,410,Sierra Leone,80,,,,,,,,,,,,
United Kingdom,410,Fiji,80,,,,,,,,,,,,
Portugal,400,Barbados,70,,,,,,,,,,,,
Ghana,380,Dominica,70,,,,,,,,,,,,
Mongolia,380,Tanzania,70,,,,,,,,,,,,
Panama,330,Malawi,70,,,,,,,,,,,,
Italy,290,Czech Republic,70,,,,,,,,,,,,
Israel,270,Hungary,60,,,,,,,,,,,,
"Bahamas, The",250,Macedonia,60,,,,,,,,,,,,
Albania,220,Uganda,60,,,,,,,,,,,,
Saint Lucia,190,Liberia,60,,,,,,,,,,,,
Taiwan,190,New Zealand,60,,,,,,,,,,,,
Jordan,190,Bulgaria,50,,,,,,,,,,,,
Turkey,170,Vietnam,50,,,,,,,,,,,,
Germany,170,Nepal,50,,,,,,,,,,,,
