"Form I-140, I-360, I-526",,,,,,,
Approved Employment-Based Petitions Awaiting Visa Availability,,,,,,,
By Preference Category and Country of Birth,,,,,,,
As of September 2021,,,,,,,
,,,,,,,
,Employment-Based Preference Category,,,,,,Grand Total
,"1st
(Priority)","2nd
(Professional)","3rd
(Professional and Skilled)","3rd
(Other)","4th
(Special)","5th
(Investor)",
,,,,,,,
Total,249,"319,584","68,350","1,011","33,389","15,794","438,377"
,,,,,,,
China,79,"23,648","6,542",863, -   ,"15,794","46,926"
El Salvador, -   , -   , -   , -   ,"9,921", -   ,"9,921"
Guatemala, -   , -   , -   , -   ,"13,359", -   ,"13,359"
Honduras, -   , -   , -   , -   ,"8,466", -   ,"8,466"
India,65,"295,933","61,576",146, -   , -   ,"357,720"
Mexico,3, -   , -   , -   ,"1,643", -   ,"1,646"
Philippines, -   , -   ,132, -   , -   , -   ,132
Rest of the World,102,3,100,2, -   , -   ,207
,,,,,,,
Table Key:,,,,,,,
(-) Zeros,,,,,,,
,,,,,,,
Note(s):,,,,,,,
1) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,
2) Counts may differ from those reported in previous periods due to system updates and post-adjudicative outcomes.,,,,,,,
3) The counts of approved petitions represent only primary beneficiaries. Dependents are not included.,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit uscis.gov/forms.",,,,,,,
5) For details on Green Card Eligibility Categories see https://www.uscis.gov/greencard/eligibility-categories.,,,,,,,
"6) The priority date is based on September 2021 Visa Bulletin Final Action Dates chart
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin.html.",,,,,,,
,,,,,,,
Source(s):,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,
"CLAIMS 3, queried 11/2021, TRK 8249.",,,,,,,
