"Form I-821, Application for Temporary Protected Status",,,,,,,,,,,,,,,,,,,,
"Receipts, Approvals, Denials, and Pending by Country of Designation",,,,,,,,,,,,,,,,,,,,
Fiscal Year 2021 Q1 - Q4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country of Designation,1st Quarter,,,,2nd Quarter,,,,3rd Quarter,,,,4th Quarter,,,,Fiscal Year Total,,,
,Receipts,Approvals,Denials,Pending,Receipts,Approvals,Denials,Pending,Receipts,Approvals,Denials,Pending,Receipts,Approvals,Denials,Pending,Receipts,Approvals,Denials,Pending
,,,,,,,,,,,,,,,,,,,,
TOTAL,"1,844",605,163,"2,778","19,045","1,501",157,"4,602","124,620","4,084",210,"124,483","161,831","15,941",187,"280,728","307,340","22,131",717,"280,728"
,,,,,,,,,,,,,,,,,,,,
Burma, - , - , - , - , D , - , - , - ,350, - , - ,248,465,40, - ,774, H ,40, - ,774
El Salvador,583,144,62,549,"1,025",474,58,"1,166",314,697,54,963,841,389,61,"1,242","2,763","1,704",235,"1,242"
Haiti,314,80,23,326,665,221,30,797,907,616,30,562,"73,402",471,42,"68,759","75,288","1,388",125,"68,759"
Honduras,732,72,49,708,892,555,38,"1,138",227,"1,001",36,461,725,268,55,760,"2,576","1,896",178,760
Nepal,83,147,16,132,522,57,11,503,203,30,17,761,129, D , D ,890,937, H , H ,890
Nicaragua,37,14, D ,39,30,37, D ,40,18, D , D ,56,45,46, D ,51,130, H , D ,51
Somalia, D ,38, D ,124, D ,24, D ,102, D ,15,11,87,169, D , D ,241,187, H ,22,241
South Sudan,46, - , - ,54,13,24, D ,47, - , D , D ,44, D , D , - ,38, H ,35, D ,38
Sudan, D , - , D ,19, D , D , - ,21, D , D ,13,18, D , - , - ,22,13, D , H ,22
Syria,12,18, D ,511,666,32, D ,543,"1,875",309,13,"2,557",338,265, D ,"2,730","2,891",624,27,"2,730"
Yemen,26,92, D ,314,18,76, D ,245,21,15, D ,243,928,49, D ,"1,080",993,232,19,"1,080"
Venezuela, - , - , - , - ,"15,199", - , - , - ,"120,693","1,392", D ,"118,477","84,781","14,386", D ,"204,132","220,673","15,778",10,"204,132"
Unknown, - , - , - , D , - , - , - , - , D , - ,26, D , D , - , - , D , D , - ,26, D 
,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,
– Represents zero or rounds to 0.0.,,,,,,,,,,,,,,,,,,,,
D Disclosure standards not met.,,,,,,,,,,,,,,,,,,,,
H Replaces the value from which one could deduce the value of D.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,,,
1) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,
2) Counts may differ from those reported in previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,
"3) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,
4) Country of Designation is based on Country of Citizenship or Country of Birth at the time the application was filed.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Source(s):,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality, ",,,,,,,,,,,,,,,,,,,,
"C3, ELIS, NPD, queried 11/2021, TRK 8666",,,,,,,,,,,,,,,,,,,,
