"Number of Form I-129, Petition for a Nonimmigrant Worker",,,,,,,,,,
Intracompany Transferee - Specialized Knowledge (L1B),,,,,,,,,,
"By Fiscal Year, Quarter, and Case Status",,,,,,,,,,
Fiscal Years 2016 - 2021,,,,,,,,,,
,,,,,,,,,,
Period,Petitions Received1,Approved2,Denied3,Pending4,,,,,,
,,,,,,,,,,
Fiscal Year - Total,,,,,,,,,,
2016,"13,418","10,167","3,242","2,937",,,,,,
2017,"13,474","10,626","3,915","2,344",,,,,,
2018,"13,629","9,218","3,585","3,530",,,,,,
2019,"14,715","9,822","5,141","3,751",,,,,,
2020,"13,197","7,959","3,926","5,776",,,,,,
,,,,,,,,,,
Fiscal Year 2021 by Quarter,,,,,,,,,,
Q1. October - December,"2,772","2,142","1,040","5,416",,,,,,
Q2. January - March,"3,083","2,029","1,012","5,554",,,,,,
Q3. April - June,"3,781","2,771",751,"5,899",,,,,,
Q4. July - September,"3,687","3,527",922,"5,313",,,,,,
Total,"13,323","10,469","3,725","5,313",,,,,,
,,,,,,,,,,
References:,,,,,,,,,,
1  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,
2 The number of petitions approved during the reporting period.,,,,,,,,,,
"3  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,
4  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,                                                        
1) Some petitions/applications/requests approved or denied may have been received in a previous reporting period. ,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,
3) Counts may differ from previous quarters due to system updates and post adjudicative outcomes.  ,,,,,,,,,,
,,,,,,,,,,
Source:,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,
"C3 Consolidated via Statistical Analysis System (SAS) queried October 2021, TRK 8234.",,,,,,,,,,
