"Number of Form I-130, Petition for Alien Relative",,,,,,,,,,,,,,
"by Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,
"July 1 - September 30, 2021",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Grand Total,,,"154,479","119,139","10,570","504,822","61,762","34,045","5,875","1,015,084","216,241","153,184","16,445","1,519,906"
,,,,,,,,,,,,,,
Field Office by State6,,Field Office Code,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,
,Montgomery,MGA,340,377,39,"2,224",15,22, D ,178,355,399,42,"2,402"
Alaska,,, , , , , , , , , , , , 
,Anchorage ,ANC,37,50, D ,166, D , D , D ,12,38,51, D ,178
Arizona,,, , , , , , , , , , , , 
 ,Phoenix ,PHO,"1,062",681,48,"3,039",28,23,11,128,"1,090",704,59,"3,167"
,Tucson,TUC,360,583,15,997, D , D , -   ,38,364,590,15,"1,035"
Arkansas,,, , , , , , , , , , , , 
,Fort Smith ,FSA,112,230,17,411, D ,12, D ,16,113,242,18,427
California,,, , , , , , , , , , , , 
,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,Fresno ,FRE,592,"1,099",61,"3,555", D ,34, D ,162,600,"1,133",66,"3,717"
,Imperial,IMP,108,50,12,391, D , D , D ,49,114,54,16,440
,Los Angeles ,LOS,"1,267","1,583",85,"4,418",52,59,15,289,"1,319","1,642",100,"4,707"
,Los Angeles County ,LAC,"1,147","1,571",97,"3,592",23,60, D ,220,"1,170","1,631",105,"3,812"
,Sacramento ,SAC,544,312,43,"4,826",10,16, D ,334,554,328,49,"5,160"
,San Bernardino,SBD,"1,173",686,69,"4,283",40,41,11,230,"1,213",727,80,"4,513"
,San Diego ,SND,803,694,51,"3,061",28,44, D ,181,831,738,55,"3,242"
,San Fernando Valley,SFV,857,940,76,"2,866",28,37, D ,165,885,977,85,"3,031"
,San Francisco,SFR,"1,120",452,62,"4,460",74,38, D ,427,"1,194",490,71,"4,887"
,San Jose ,SNJ,643,"1,809",31,"3,692",46,230, D ,399,689,"2,039",37,"4,091"
,Santa Ana,SAA,879,"1,092",64,"3,212",41,81, D ,204,920,"1,173",70,"3,416"
Colorado,,, , , , , , , , , , , , 
,Denver ,DEN,931,724,66,"3,553",19,25, D ,224,950,749,71,"3,777"
Connecticut,,, , , , , , , , , , , , 
,Hartford ,HAR,622,527,60,"2,295",13,23, D ,166,635,550,65,"2,461"
Delaware,,, , , , , , , , , , , , 
,Dover,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,, , , , , , , , , , , , 
,Washington ,WAS,910,"1,067",89,"4,303",40,75,17,466,950,"1,142",106,"4,769"
Florida,,, , , , , , , , , , , , 
,Hialeah,HIA,599,820,61,"1,526",28,62, D ,100,627,882,68,"1,626"
,Jacksonville,JAC,348,245,26,"1,768", D ,11, D ,81,356,256,28,"1,849"
,Kendall,KND,494,623,54,"1,828",14,49,14,114,508,672,68,"1,942"
,Miami ,MIA,922,834,122,"3,405",75,82,10,336,997,916,132,"3,741"
