"Number of Form I-360, Petition for Amerasian, Widow(er), or Special Immigrant, With a Classification of VAWA Self-Petitioner",,,,,,,,,,,,,,,,
"By Fiscal Year, Quarter, and Case Status ",,,,,,,,,,,,,,,,
Fiscal Years 2010-2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period,Petitions by Case Status,,,,,,,,,,,,,,,
,Self-Petitioning Spouse of Abusive U.S.C. or LPR1,,,,Self-Petitioning Child of Abusive U.S.C. or LPR1,,,,Self-Petitioning Parent of a U.S.C. Son or Daughter1,,,,Fiscal Year Total,,,
,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
,,,,,,,,,,,,,,,,
Fiscal Year - Total,,,,,,,,,,,,,,,,
2010,"7,868","9,453","3,080","5,017",380,432,338,268, NA , NA , NA , NA ,"8,248","9,885","3,418","5,285"
2011,"8,667","4,018","1,500","8,322",483,159,142,469, NA , NA , NA , NA ,"9,150","4,177","1,642","8,791"
2012,"9,006","3,093","1,410","12,847",455,129,122,679, NA , NA , NA , NA ,"9,461","3,222","1,532","13,526"
2013,"6,815","9,583","2,585","7,182",265,348,221,350, NA , NA , NA , NA ,"7,080","9,931","2,806","7,532"
2014,"7,130","7,207","3,322","3,776",229,239,208,137, NA , NA , NA , NA ,"7,359","7,446","3,530","3,913"
2015,"7,865","4,890","2,021","4,756",300,124,125,201, NA , NA , NA , NA ,"8,165","5,014","2,146","4,957"
2016,"8,906","5,065","2,063","6,680",483,129,262,292, D , NA , NA , D ,"9,394","5,194","2,325","6,976"
2017,"10,485","3,506","1,589","12,150",462,77,240,439,498, D ,131,356,"11,445","3,585","1,960","12,945"
2018,"11,216","4,622","1,419","17,215",581,82,158,765,"1,007",49,133,"1,168","12,804","4,753","1,710","19,148"
2019,"11,838","6,476","1,849","21,358",525,161,245,920,"1,581",94,293,"2,180","13,944","6,731","2,387","24,458"
2020,"12,344","7,962","2,135","24,883",412,202,275,896,"2,121",213,393,"3,409","14,877","8,377","2,803","29,188"
Fiscal Year 2021 by Quarter,,,,,,,,,,,,,,,,
Q1. October - December,"3,904","1,621",773,"26,570",122,32,78,906,948,38,121,"4,128","4,974","1,691",972,"31,604"
Q2. January - March,"3,796","1,529",676,"28,373",105,43,45,938,927,60,137,"4,788","4,828","1,632",858,"34,099"
Q3. April - June,"5,156","1,513",684,"31,562",150,29,49,"1,018","1,299",38,138,"5,860","6,605","1,580",871,"38,440"
Q4. July - September,"5,180","1,768",779,"34,467",155,43,41,"1,093","1,489",52,238,"6,955","6,824","1,863","1,058","42,515"
Total,"18,036","6,431","2,912","34,467",532,147,213,"1,093","4,663",188,634,"6,955","23,231","6,766","3,759","42,515"
,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,
D  Data withheld to protect petitioners' privacy.,,,,,,,,,,,,,,,,
NA Represents data not available. This number cannot be accurately provided since this category was not a selection on the I-360 form until FY 2016.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reference(s):,,,,,,,,,,,,,,,,
1 Refers to self-petitioning spouse of abusive U.S.C. or lawful permanent resident and self-petitioning child of abusive U.S.C. or lawful permanent resident and self-petitioning parent of a U.S.C. son or daughter.,,,,,,,,,,,,,,,,
2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,
3  The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,,
"4 The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,
5  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,
1) Some applications or petitions approved or denied may have been received in previous reporting periods.,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,
3) Counts may differ from those reported in previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services",,,,,,,,,,,,,,,,
"CLAIMS3 Consolidated via SAS, queried 10/2021, TRK 8236.",,,,,,,,,,,,,,,,
