"Form I-485, Application to Register Permanent Residence or Adjust Status
",,,,,,,,,,
"Liberian Refugee Immigration Fairness (LRIF) Applications Adjudicated, Pending, Request for Evidence (RFE), Notice of Intent to Deny (NOID), and Processing Time",,,,,,,,,,
Including Percent Adjudicated and Percent Pending,,,,,,,,,,
By Fiscal Year and Quarter ,,,,,,,,,,
Fiscal Years 2020-2021,,,,,,,,,,
,,,,,,,,,,
Period,Received1,Approved2,Approved %3,Denied4,Denied %5,Pending6,Pending %7,RFE8,NOID9,Processing Time (in months)10
,,,,,,,,,,
Grand Total,"3,660","1,316",84%,244,16%, N/A , N/A ,"1,029",75, N/A 
,,,,,,,,,,
Fiscal Year 2020 ,"2,434",91,99%,1,1%, N/A , N/A ,40, -   , N/A 
Q1. October - December,3, -   ,0%, -   ,0%,3,100%, -   , -   , N/A 
Q2. January - March,"1,108", -   ,0%, -   ,0%,"1,111",100%, -   , -   , N/A 
Q3. April - June,713, -   ,0%,1,100%,"1,817",100%, -   , -   , N/A 
Q4. July - September,610,91,100%, -   ,0%,"2,338",96%,40, -   , N/A 
,,,,,,,,,,
Fiscal Year 2021 ,"1,226","1,225",83%,243,17%, N/A , N/A ,989,75, N/A 
Q1. October - December,938,271,85%,46,15%,"2,953",88%,190,7,8.5
Q2. January - March,99,286,85%,50,15%,"2,707",78%,238,16,10.7
Q3. April - June,96,302,84%,57,16%,"2,457",69%,251,23,12
Q4. July - September,93,366,80%,90,20%,"2,095",57%,310,29,13.1
,,,,,,,,,,
Table Key:,,,,,,,,,,
N/A Not Available or Not Calculated,,,,,,,,,,
(-) Zero,,,,,,,,,,
,,,,,,,,,,
References:,,,,,,,,,,
1  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,
2 The number of applications approved during the reporting period.,,,,,,,,,,
3  The number of applications approved divided by the total number of applications approved and denied in the given reporting period.,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,
5  The number of applications denied divided by the total number of applications approved and denied in the given reporting period.,,,,,,,,,,
"6  The number of applications awaiting a decision as of the end of the reporting period, including reopened applications.",,,,,,,,,,
7  The number of applications pending in the given reporting period divided by the number of cumulative applications received through the given reporting period.,,,,,,,,,,
8  The number of approved or denied applications in the given reporting period with a Request for Evidence (RFE).,,,,,,,,,,
9  The number of approved or denied applications in the given reporting period with a Notice of Intent to Deny (NOID).,,,,,,,,,,
10  The median number of months it took for an application to be processed from receipt to completion in a given time frame.,,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
1) Some petitions/applications/requests approved or denied may have been received in a previous reporting period. ,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,
"3) Counts may differ from previous quarters due to system updates and post adjudicative outcomes, such as revocations and reopens.",,,,,,,,,,
4) The report does not include rejected LRIF applications at the Lockbox.,,,,,,,,,,
5) RFE and NOID counts reflect the number of adjudicated applications that had at least one RFE or NOID action.,,,,,,,,,,
6) RFE and NOID counts were placed in the quarter of the adjudicative action of each application.,,,,,,,,,,
7) Processing times are defined as the number of months it took for an application to be processed from receipt to completion in a given time period. The number of months presented is the median which is the time it took to complete 50% of all the cases processed in the quarter.,,,,,,,,,,
8) Forms where a processing time is unavailable are shown with an N/A. Processing times may be unavailable for a variety of reasons such as forms pending a processing times calculation or forms where times cannot be calculated. ,,,,,,,,,,
,,,,,,,,,,
Source:,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,
"CLAIMS 3, queried 10/2021, TRK 8247.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Form I-485, Application to Register Permanent Residence or Adjust Status
",,,,,,,,,,
Counts of Liberian Refugee Immigration Fairness (LRIF) Applications,,,,,,,,,,
By Applicant Sex and Age Group,,,,,,,,,,
"December 20, 2019 through September 30, 2021",,,,,,,,,,
,,,,,,,,,,
Age Group,Female,Male,Unknown,Total,,,,,,
,,,,,,,,,,
Grand Total,"2,064","1,593",3,"3,660",,,,,,
,,,,,,,,,,
0-19 years old,134,120, -   ,254,,,,,,
20-29 years old,201,159, -   ,360,,,,,,
30-39 years old,398,285,1,684,,,,,,
40-49 years old,473,373, -   ,846,,,,,,
50-59 years old,441,364,2,807,,,,,,
60+ years old,417,292, -   ,709,,,,,,
,,,,,,,,,,
Table Key:,,,,,,,,,,
D Disclosure standards not met.,,,,,,,,,,
H Replaces the value from which one could deduce the value of D.,,,,,,,,,,
(-) Zero,,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
1) Some petitions/applications/requests approved or denied may have been received in a previous reporting period. ,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,
"3) Counts may differ from previous quarters due to system updates and post adjudicative outcomes, such as revocations and reopens.",,,,,,,,,,
4) The report does not include rejected LRIF applications at the Lockbox.,,,,,,,,,,
,,,,,,,,,,
Source:,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,
"CLAIMS 3, queried 10/2021, TRK 8247.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Form I-485, Application to Register Permanent Residence or Adjust Status
",,,,,,,,,,
Counts of Liberian Refugee Immigration Fairness (LRIF) Applications Received,,,,,,,,,,
By Applicant State,,,,,,,,,,
"December 20, 2019 through September 30, 2021",,,,,,,,,,
,,,,,,,,,,
Beneficiary State,Number of Applications Received,,,,,,,,,
,,,,,,,,,,
Grand Total,"3,660",,,,,,,,,
,,,,,,,,,,
Alabama, D ,,,,,,,,,
Alaska, -   ,,,,,,,,,
Arizona,16,,,,,,,,,
Arkansas, D ,,,,,,,,,
California,61,,,,,,,,,
Colorado,11,,,,,,,,,
Connecticut,18,,,,,,,,,
Delaware,59,,,,,,,,,
District of Columbia,13,,,,,,,,,
Florida,36,,,,,,,,,
Georgia,209,,,,,,,,,
Hawaii, D ,,,,,,,,,
Idaho, D ,,,,,,,,,
Illinois,30,,,,,,,,,
Indiana,35,,,,,,,,,
Iowa,36,,,,,,,,,
Kansas, D ,,,,,,,,,
Kentucky,25,,,,,,,,,
Louisiana, D ,,,,,,,,,
Maine, D ,,,,,,,,,
Maryland,363,,,,,,,,,
"Massachusett
s",124,,,,,,,,,
Michigan,36,,,,,,,,,
Minnesota,577,,,,,,,,,
Mississippi, D ,,,,,,,,,
Missouri,12,,,,,,,,,
Montana, -   ,,,,,,,,,
Nebraska, D ,,,,,,,,,
Nevada, D ,,,,,,,,,
New Hampshire, D ,,,,,,,,,
New Jersey,277,,,,,,,,,
New Mexico, D ,,,,,,,,,
New York,237,,,,,,,,,
North Carolina,185,,,,,,,,,
North Dakota,68,,,,,,,,,
Ohio,73,,,,,,,,,
Oklahoma,10,,,,,,,,,
Oregon, D ,,,,,,,,,
Pennsylvania,660,,,,,,,,,
Rhode Island,147,,,,,,,,,
South Carolina,14,,,,,,,,,
South Dakota, D ,,,,,,,,,
Tennessee,17,,,,,,,,,
Texas,156,,,,,,,,,
Utah, D ,,,,,,,,,
Vermont, -   ,,,,,,,,,
Virginia,70,,,,,,,,,
Washington,17,,,,,,,,,
West Virginia, -   ,,,,,,,,,
Wisconsin, D ,,,,,,,,,
Wyoming, -   ,,,,,,,,,
,,,,,,,,,,
Table Key:,,,,,,,,,,
D Disclosure standards not met.,,,,,,,,,,
(-) Zero,,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
1) Some applications received may be approved or denied in subsequent reporting periods.,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,
"3) Counts may differ from previous quarters due to system updates and post adjudicative outcomes, such as revocations and reopens.",,,,,,,,,,
4) The report does not include rejected LRIF applications at the Lockbox.,,,,,,,,,,
,,,,,,,,,,
Source:,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,
"CLAIMS 3, queried 10/2021, TRK 8247.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Form I-485, Application to Register Permanent Residence or Adjust Status
",,,,,,,,,,
Counts of Liberian Refugee Immigration Fairness (LRIF),,,,,,,,,,
"Fee Waiver by Fiscal Year
",,,,,,,,,,
"December 20, 2019 through September 30, 2021",,,,,,,,,,
,,,,,,,,,,
Fiscal Year,Fee Waivers Requested,Fee Waivers Granted,Fee Waivers Denied1,,,,,,,
,,,,,,,,,,
Grand Total,114,141,38,,,,,,,
,,,,,,,,,,
Fiscal Year 2020 , N/A ,65, N/A ,,,,,,,
Fiscal Year 2021,114,76,38,,,,,,,
,,,,,,,,,,
Table Key:,,,,,,,,,,
N/A Not Available,,,,,,,,,,
,,,,,,,,,,
References:,,,,,,,,,,
1  The number of denied fee waivers were not tracked in FY 2020.  Grand Total of the Fee Waivers Denied and Requested is the total since FY 2021.,,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
1) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,
"2) If an application has another error that causes an automatic rejections, such as missing signature, the fee waiver request would not be adjudicated and thus would not be included in the Denied Fee Waiver count.",,,,,,,,,,
,,,,,,,,,,
Source:,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,
"OIDP and CLAIMS 3, queried 08/2021, TRK 8247.",,,,,,,,,,
