"Number of Form N-400, Application for Naturalization",,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,
"July 1 - September 30, 2021",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 USCIS Field Office Location ,,, Applications by Category and Case Status ,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Grand Total ,,,"191,005","237,421","25,342","833,738","2,117","3,549",204,"5,897","193,122","240,970","25,546","839,635"
,,,,,,,,,,,,,,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
, Montgomery , MGA ,917,"1,489",65,"4,452",80,58, D ,131,997,"1,547",66,"4,583"
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Anchorage  , ANC ,171,186,25,971,21,41, D ,55,192,227,30,"1,026"
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Phoenix  , PHO ,"2,755","3,349",375,"8,562",19, D , D ,40,"2,774","3,358",376,"8,602"
, Tucson , TUC ,587,555,48,"1,927", D ,20, -   ,23,592,575,48,"1,950"
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Fort Smith  , FSA ,320,451,38,"1,129", D ,13, -   , D ,322,464,38,"1,135"
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, Fresno  , FRE ,"2,103","1,965",257,"12,233",29,35, D ,60,"2,132","2,000",261,"12,293"
, Imperial , IMP ,360,418,114,"1,432", D ,10, D , D ,363,428,117,"1,440"
, Los Angeles  , LOS ,"3,840","7,103",754,"11,460", D ,19, -   ,38,"3,847","7,122",754,"11,498"
, Los Angeles County  , LAC ,"3,617","6,250","1,165","12,056",24,30, D ,46,"3,641","6,280","1,170","12,102"
, Sacramento  , SAC ,"3,523","3,786",455,"20,033",26,21, D ,74,"3,549","3,807",460,"20,107"
, San Bernardino , SBD ,"3,674","7,604",713,"14,551",31,63, D ,86,"3,705","7,667",716,"14,637"
, San Diego  , SND ,"3,302","5,216",383,"13,708",88,250,13,235,"3,390","5,466",396,"13,943"
, San Fernando Valley , SFV ,"3,103","4,093",581,"10,597",21,26, D ,48,"3,124","4,119",582,"10,645"
, San Francisco , SFR ,"5,509","7,793",315,"31,991",24,24, D ,64,"5,533","7,817",316,"32,055"
, San Jose  , SNJ ,"3,077","3,624",227,"15,915",10,28, D ,36,"3,087","3,652",228,"15,951"
, Santa Ana , SAA ,"3,705","4,479",588,"17,169",13,22, D ,30,"3,718","4,501",589,"17,199"
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Denver  , DEN ,"2,352","2,320",344,"7,666",46,98, D ,131,"2,398","2,418",349,"7,797"
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Hartford  , HAR ,"2,381","3,054",298,"8,575",14,26, D ,49,"2,395","3,080",301,"8,624"
 Delaware ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Dover AFB , DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Washington  , WAS ,"4,443","5,900",405,"19,700",36,84, D ,78,"4,479","5,984",406,"19,778"
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Fort Meyers , OFM ,"1,484","1,397",203,"4,809", D , D , -   ,10,"1,487","1,404",203,"4,819"
, Hialeah , HIA ,"3,435","4,869",686,"8,830", D , D , D ,11,"3,439","4,872",687,"8,841"
, Jacksonville , JAC ,"1,138",788,90,"5,386",29,63, D ,80,"1,167",851,93,"5,466"
, Kendall , KND ,"3,559","3,830",615,"10,631", D , D , D ,12,"3,563","3,836",618,"10,643"
, Miami  , MIA ,"3,048","3,427",740,"11,583", D ,19, -   , D ,"3,050","3,446",740,"11,592"
, Oakland Park , OKL ,"2,874","3,448",421,"8,669",20,21, D ,34,"2,894","3,469",425,"8,703"
, Orlando  , ORL ,"2,795","3,337",330,"11,713",15,32, D ,26,"2,810","3,369",331,"11,739"
, Tampa  , TAM ,"3,408","5,157",369,"11,417",12,22, -   ,27,"3,420","5,179",369,"11,444"
, West Palm Beach , WPB ,"2,348","2,898",426,"7,234",10,11, D ,24,"2,358","2,909",427,"7,258"
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Atlanta  , ATL ,"4,486","5,022",302,"22,765",24,35, D ,75,"4,510","5,057",303,"22,840"
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Honolulu  , HHW ,721,507,96,"3,170",63,31,13,282,784,538,109,"3,452"
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boise  , BOI ,429,275,34,"1,841", D , D , -   ,11,433,281,34,"1,852"
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chicago  , CHI ,"5,602","7,269",828,"30,237",42,35, -   ,133,"5,644","7,304",828,"30,370"
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Indianapolis  , INP ,"1,603","1,707",157,"5,998",11,14, D ,40,"1,614","1,721",158,"6,038"
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Des Moines , DSM ,889,994,176,"3,389",12,23, D ,26,901,"1,017",177,"3,415"
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Wichita , WIC ,321,324,48,"1,134", D , D , -   ,10,324,328,48,"1,144"
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Louisville  , LOU ,"1,254","1,401",166,"3,911",25,64, D ,83,"1,279","1,465",172,"3,994"
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, New Orleans  , NOL ,801,456,68,"4,212",32,45, -   ,88,833,501,68,"4,300"
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POM ,335,222,14,893, D , D , -   , D ,336,224,14,900
