Number of Credible Fear and Reasonable Fear Screening Referrals,,,,,,,,,
"By Office, Month",,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,
,,,,,,,,,
,Credible Fear Receipts1,,,Reasonable Fear Receipts1,,,Credible Fear Receipts1,Reasonable Fear Receipts1,Total Receipts
Office,April,May,June,April,May,June,,Quarter Total,
,,,,,,,,,
Total,"3,961","7,407","6,222",675,719,642,"17,590","2,036","19,626"
Arlington,531,502,311,92,98,99,"1,344",289,"1,633"
Boston,81,133,85,6,8,5,299,19,318
Chicago,184,204,107,47,44,44,495,135,630
Houston,"1,967","4,351","3,827",381,381,284,"10,145","1,046","11,191"
Los Angeles,186,330,512,15,35,38,"1,028",88,"1,116"
Miami,175,376,206,22,14,20,757,56,813
New Orleans,289,413,380,44,60,78,"1,082",182,"1,264"
New York,130,302,252,13,17,24,684,54,738
Newark,189,490,347,18,20,14,"1,026",52,"1,078"
San Francisco,209,256,168,33,38,33,633,104,737
Tampa,20,50,27,4,4,3,97,11,108
Table Key:,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,
References:,,,,,,,,,
1 The number of screening referrals received and entered into the GLOBAL case-tracking system during the reporting period. ,,,,,,,,,
Notes:,,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 09/12/2022.",,,,,,,,,
