"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,
"By TOP 10 Countries, Office",,,,,,,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Arlington,,,Boston,,,Chicago,,,Houston,,,Los Angeles,,,Miami,
,,,,,,,,,,,,,,,,,
Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2
1,VENEZUELA,640,1,GUATEMALA,263,1,VENEZUELA,"1,196",1,VENEZUELA,"1,386",1,CHINA,719,1,CUBA,"6,770"
2,EL SALVADOR,456,2,BRAZIL,237,2,HAITI,575,2,CUBA,554,2,GUATEMALA,549,2,VENEZUELA,"3,105"
3,HONDURAS,416,3,HAITI,222,3,GUATEMALA,536,3,HONDURAS,306,3,ARMENIA,363,3,HAITI,"1,476"
4,GUATEMALA,354,4,AFGHANISTAN,82,4,CUBA,447,4,AFGHANISTAN,190,4,RUSSIA,362,4,COLOMBIA,533
5,AFGHANISTAN,194,5,EL SALVADOR,76,5,HONDURAS,350,5,EL SALVADOR,178,5,CUBA,309,5,GUATEMALA,441
6,COLOMBIA,127,6,HONDURAS,73,6,AFGHANISTAN,331,6,GUATEMALA,170,6,AFGHANISTAN,287,6,NICARAGUA,359
7,HAITI,90,7,VENEZUELA,64,7,NICARAGUA,257,7,MEXICO,143,7,EL SALVADOR,284,7,HONDURAS,262
8,CUBA,79,8,ECUADOR,54,8,COLOMBIA,202,8,COLOMBIA,122,8,MEXICO,258,8,RUSSIA,92
9,MEXICO,76,9,ANGOLA,52,9,MEXICO,171,9,NIGERIA,66,9,VENEZUELA,156,9,BRAZIL,89
10,NICARAGUA,61,10,COLOMBIA,45,10,RUSSIA,145,10,NICARAGUA,53,10,COLOMBIA,100,10,EL SALVADOR,72
,,,,,,,,,,,,,,,,,
 ,New Orleans,,,New York,,,Newark,,,San Francisco,,,Tampa,,,,
,,,,,,,,,,,,,,,,,
Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,,,
1,VENEZUELA,292,1,ECUADOR,354,1,HAITI,548,1,INDIA,741,1,CUBA,"1,488",,,
2,HONDURAS,193,2,CHINA,307,2,VENEZUELA,420,2,MEXICO,435,2,VENEZUELA,361,,,
3,GUATEMALA,127,3,RUSSIA,286,3,GUATEMALA,323,3,GUATEMALA,369,3,HAITI,116,,,
4,CUBA,50,4,INDIA,266,4,HONDURAS,291,4,EL SALVADOR,301,4,HONDURAS,77,,,
5,EL SALVADOR,43,5,VENEZUELA,229,5,ECUADOR,262,5,COLOMBIA,266,5,COLOMBIA,64,,,
6,NICARAGUA,38,6,BANGLADESH,222,6,COLOMBIA,217,6,AFGHANISTAN,239,6,GUATEMALA,43,,,
7,AFGHANISTAN,36,7,GUATEMALA,200,7,EL SALVADOR,153,7,KENYA,173,7,MEXICO,32,,,
8,MEXICO,27,8,HAITI,199,8,MEXICO,139,8,RUSSIA,163,8,EL SALVADOR,23,,,
9,COLOMBIA,19,9,EL SALVADOR,198,9,TURKEY,119,9,HONDURAS,163,9,RUSSIA,16,,,
10,INDIA,15,10,HONDURAS,170,10,AFGHANISTAN,102,10,VENEZUELA,121,10,BRAZIL,16,,,
References:,,,,,,,,,,,,,,,,,
1 Citizenship Designation is based on Country of Citizenship or Country of Birth at the time the application was filed.,,,,,,,,,,,,,,,,,
2 The number of new applications received and entered into a case-tracking system during the reporting period. This report extracted data in June 2022 and the data may not match ,,,,,,,,,,,,,,,,,
other USCIS public reports. Differences between reports may be attributable to data entry delays and when the data were extracted from USCIS data systems.,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 09/12/2022.",,,,,,,,,,,,,,,,,
