"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Case Completion Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,April,, ,Completion1,Outcomes,,,May,, ,Completion1,Outcomes,,,June,, ,Completion1,Outcomes,,,Quarterly,, ,Completion1,Outcomes,,
,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7
Office,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9
,,,,,,,,,,s,,,,,,,,,,,,,,,,,,
Total,"4,088",913,11,"2,019", -   ,291,854,"3,608","1,079",23,"1,629", -   ,196,681,"3,036",952,23,913, -   ,343,805,"10,732","2,944",57,"4,561", -   ,830,"2,340"
Arlington,335,110,1,91, - ,29,104,332,176,8,66, - ,14,68,349,200,5,75, - ,19,50,"1,016",486,14,232, - ,62,222
Boston,154,28,,74, - ,8,44,94,21,1,31, - ,14,27,44,24,,10, - ,3,7,292,73,1,115, - ,25,78
Chicago,632,184,4,319, - ,20,105,592,186,7,289, - ,29,81,550,188,8,249, - ,10,95,"1,774",558,19,857, - ,59,281
Houston,360,52,2,114, - ,90,102,478,92,3,287, - ,39,57,263,102,,104, - ,19,38,"1,101",246,5,505, - ,148,197
Los Angeles,534,149,,192, - ,10,183,502,219,,143, - ,8,132,341,131,,75, - ,4,131,"1,377",499, - ,410, - ,22,446
Miami,552,78,,283, - ,66,125,444,64,,232, - ,34,114,303,23,,54, - ,51,175,"1,299",165, - ,569, - ,151,414
New Orleans,149,51,,41, - ,17,40,153,46,,42, - ,18,47,78,31,,6, - ,15,26,380,128, - ,89, - ,50,113
New York,611,27,3,507, - ,33,41,343,14,2,264, - ,33,30,218,21,6,162, - ,11,18,"1,172",62,11,933, - ,77,89
Newark,327,108,1,151, - ,2,65,303,78,,130, - ,,95,216,58,,71, - ,2,85,846,244,1,352, - ,4,245
San Francisco,208,99,,103, - ,,6,252,149,1,86, - ,2,14,263,134,3,72, - ,4,50,723,382,4,261, - ,6,70
Tampa,226,27,,144, - ,16,39,115,34,1,59, - ,5,16,411,40,1,35, - ,205,130,752,101,2,238, - ,226,185
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 The number of applications decided or administratively closed during the reporting period (including decisions not yet been served).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 The number of applications decided based on merits (including based on the one-year filling deadline) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of applications USCIS interviewed and approved for asylum status during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 The number of applications USCIS interviewed and found ineligible for asylum status while the applicant was in lawful immigration status during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of applications USCIS interviewed and found ineligible for asylum status and referred to the Immigration Judge because the applicant was not in lawful immigration status during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 The number of applications USCIS terminated asylum status during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 The number of applications USCIS administratively closed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8The number of applications USCIS administratively closed  for lack of jurisdiction during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9 The number of applications USCIS administratively closed for withdrawn/the applicant was a Legal Permanent Resident, ineligible/the applicant was a United States Citizen, outside the United States/abandoned, or because the applicant failed to appear for the interview and was not in lawful immigration status during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 09/12/2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
