"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,
"By Status, Office, Month",,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,
,,,,,,,,,,,,
,,Application Received1,,,Application Completed2,,,End of Month Pending3,,Receipts1,Completions2,End of Quarter Pending3
Office,April,May ,June,April,May ,June,April,May ,June,,Quarterly,
,,,,,,,,,,,,
Total,"21,567","12,362","11,648","4,088","3,608","3,036","490,993","499,747","508,359","45,577","10,732","508,359"
Arlington,"1,936",560,384,335,332,349,"57,377","57,605","57,640","2,880","1,016","57,640"
Boston,519,500,472,154,94,44,"22,298","22,704","23,132","1,491",292,"23,132"
Chicago,"1,651","1,760","2,039",632,592,550,"33,306","34,474","35,963","5,450","1,774","35,963"
Houston,"2,120",757,557,360,478,263,"44,221","44,500","44,794","3,434","1,101","44,794"
Los Angeles,"1,355","1,406","1,582",534,502,341,"49,257","50,161","51,402","4,343","1,377","51,402"
Miami,"8,050","3,010","2,367",552,444,303,"138,348","140,914","142,978","13,427","1,299","142,978"
New Orleans,577,201,143,149,153,78,"8,416","8,464","8,529",921,380,"8,529"
New York,"1,259","1,204","1,124",611,343,218,"47,652","48,513","49,419","3,587","1,172","49,419"
Newark,"1,323","1,248","1,201",327,303,216,"28,881","29,826","30,811","3,772",846,"30,811"
San Francisco,"1,256","1,233","1,453",208,252,263,"43,244","44,225","45,415","3,942",723,"45,415"
Tampa,"1,521",483,326,226,115,411,"17,993","18,361","18,276","2,330",752,"18,276"
References:,,,,,,,,,,,,
"1 The number of new applications received and entered into the GLOBAL case-tracking system during the reporting period. This report extracted data on September 12, 2022 and the data may not match ",,,,,,,,,,,,
other USCIS public reports. Differences between reports may be attributable to data entry delays and when the data were extracted from USCIS data systems.,,,,,,,,,,,,
2 The number of applications decided or administratively closed during the reporting period (including decisions not yet been served).,,,,,,,,,,,,
3 The number of applications awaiting a decision as of the end of month during the reporting period.,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 09/12/2022.",,,,,,,,,,,,
