"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Scheduled Interview Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,April,,,Interview Outcomes, ,,,May,,,Interview Outcomes, ,,,June,,,Interview Outcomes, ,,,Quarter Total,,,Interview Outcomes, ,,
Office,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"5,235","3,246","1,063",441,402,64,19,"5,527","2,823","1,972",337,304,79,12,"3,237","1,760","1,038",185,202,42,10,"13,999","7,829","4,073",963,908,185,41
Arlington,167,115,13,27,12, - , - ,299,180,34,36,48, - ,1,304,171,48,32,52, - ,1,770,466,95,95,112, - ,2
Boston,129,92,10,25,2, - , - ,54,34,11,6,3, - , - ,44,32,3,7,1, - ,1,227,158,24,38,6, - ,1
Chicago,"1,013",745,69,69,100,30, - ,"1,002",766,61,70,59,44,2,792,589,89,43,43,27,1,"2,807","2,100",219,182,202,101,3
Houston,333,236,51,19,26,1, - ,"1,085",502,478,38,44,22,1,486,243,198,13,22,10, - ,"1,904",981,727,70,92,33,1
Los Angeles,723,323,279,68,37,6,10,742,205,446,60,24,4,3,391,149,207,18,12,1,4,"1,856",677,932,146,73,11,17
Miami,448,330,43,29,39,6,1,412,229,134,31,15,3, - ,225,62,147,8,6,2, - ,"1,085",621,324,68,60,11,1
New Orleans,148,104,17,17,9, - ,1,87,56,18,9,4, - , - ,54,27,23,1,3, - , - ,289,187,58,27,16, - ,1
New York,"1,044",598,235,92,98,20,1,669,330,249,28,60, - ,2,310,184,71,17,38, - , - ,"2,023","1,112",555,137,196,20,3
Newark,472,281,101,38,47,1,4,401,135,245,13,8, - , - ,240,94,125,10,8,1,2,"1,113",510,471,61,63,2,6
San Francisco,555,278,208,43,24, - ,2,626,301,262,36,20,4,3,331,167,122,30,11,1, - ,"1,512",746,592,109,55,5,5
Tampa,203,144,37,14,8, - , - ,150,85,34,10,19,2, - ,60,42,5,6,6, - ,1,413,271,76,30,33,2,1
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 The number of applications in which the applicant appeared for their interview at the Asylum O?ce, and the Asylum O?cer conducted an asylum interview during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 The number of applications in which the asylum interview is cancelled at the fault of USCIS, due to o?ce closures, unavailability of USCIS interpreters/officers, and COVID-illness related requests by applicants, etc. during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of applications in which the applicant submitted a request to reschedule their asylum interview and the Asylum O?ce honored the request during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 The number of applications in which the applicant failed to appear for their scheduled asylum interview during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of applications without an interview outcome entry during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 The number of applications in which the Asylum Officer conducted an interview with the applicant during the reporting period and a subsequent interview is needed. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 09/12/2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
