"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,
"By TOP 20 Countries, Month",,,,,
"April 1, 2022 - June 30, 2022",,,,,
,,,,,
,,,Application Received2,,
,,April,May ,June,Quarterly 
,,,,,
Top 20,Citizenship1,"12,459","13,650","13,650","39,759"
1,CUBA,"5,513","2,225","2,068","9,806"
2,VENEZUELA,"4,469","2,016","1,485","7,970"
3,GUATEMALA,"1,467","1,010",898,"3,375"
4,HAITI,"1,551",882,885,"3,318"
5,HONDURAS,"1,336",613,498,"2,447"
6,EL SALVADOR,969,529,428,"1,926"
7,COLOMBIA,870,460,480,"1,810"
8,AFGHANISTAN,361,473,655,"1,489"
9,MEXICO,575,429,420,"1,424"
10,INDIA,429,445,519,"1,393"
11,CHINA,382,425,470,"1,277"
12,RUSSIA,417,353,436,"1,206"
13,NICARAGUA,495,265,277,"1,037"
14,ECUADOR,313,268,193,774
15,BRAZIL,262,140,90,492
16,ARMENIA,117,124,137,378
17,UKRAINE,147,126,100,373
18,NIGERIA,174,82,76,332
19,TURKEY,102,99,109,310
20,BANGLADESH,78,119,92,289
,OTHER,"1,215","1,325","1,227","3,767"
References:,,,,,
1 Citizenship Designation is based on Country of Citizenship or Country of Birth at the time the application was filed.,,,,,
2 The number of new applications received and entered into a case-tracking system during the reporting period. This report extracted data in June 2022 and the data may not match ,,,,,
other USCIS public reports. Differences between reports may be attributable to data entry delays and when the data were extracted from USCIS data systems.,,,,,
Notes:,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,
Source:,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 09/12/2022.",,,,,
