Number of Completed Reasonable Fear Screenings,,,,,,,,,,,,,,,,,,,,,,,,
"By Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,April,, ,RF Screening,Outcomes,,May,, ,RF Screening,Outcomes,,June,, ,RF Screening,Outcomes,,Quarter,, ,RF Screening,Outcomes,
,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4
Office,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8
,,,,,,,,,,,,,,,,,,,,,,,,
Total,537,103,58,297,77,2,617,93,77,344,95,8,625,127,77,313,105,3,"1,779",323,211,953,277,13
Arlington,91,18,19,38,16, - ,86,13,15,39,18,1,96,18,17,39,22, - ,273,49,51,116,56,1
Boston,1, - , - ,1, - , - ,3, - ,2, - ,1, - , - , - , - , - , - , - ,4, - ,2,1,1, - 
Chicago,33,2,2,19,9,1,33,1,2,22,8,,44,1,7,18,16,2,110,4,11,59,33,3
Houston,322,61,27,199,35,,361,47,36,230,44,4,308,64,22,180,42,,991,172,85,609,121,4
Los Angeles,4,1,1,2,,,15,4,3,6,1,1,33,13,5,14,1,,52,18,9,22,2,1
Miami,9,5,,3,1,,14,6,5,1,2, - ,11,5,6,,,,34,16,11,4,3, - 
New Orleans,29,6,4,14,5,,46,9,2,23,10,2,84,25,8,41,9,1,159,40,14,78,24,3
New York,25,4,3,13,5,,24,3,5,9,7, - ,19,,1,13,5,,68,7,9,35,17, - 
Newark,6,1,,3,2,,13,1,3,8,1, - ,8,,,6,2,,27,2,3,17,5, - 
San Francisco,15,5,2,4,3,1,18,8,4,3,3, - ,20,1,10,1,8,,53,14,16,8,14,1
Tampa,2, - , - ,1,1, - ,4,1, - ,3, - , - ,2, - ,1,1, - , - ,8,1, - ,4,1, - 
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,
1 The number of Reasonable Fear Screenings completed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
2 The number of Reasonable Fear Screenings with a positive determination (Fear Established) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of Reasonable Fear Screenings with a negative determination (Fear Not Established) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
4 The number of Reasonable Fear Screenings USCIS administratively closed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of Reasonable Screenings with a positive determination based on persecution during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
6 The number of Reasonable Screenings with a positive determination based on torture during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
7The number of Reasonable Fear Screenings USCIS administratively closed because the individual withdrew his/her fear claim.,,,,,,,,,,,,,,,,,,,,,,,,
"8 The number of Reasonable Fear Screenings USCIS administratively closed for various reasons such as non-citizen in State or Federal custody, unable to effectively communicate, ineligible, etc.",,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,,,,,,,,,,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 09/12/2022.",,,,,,,,,,,,,,,,,,,,,,,,
