Number of Completed Credible Fear and Reasonable Fear Screenings,,,,,,,,
"By Outcome, Month",,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,
,,,,,,,,
,,,,,,,,
Credible Fear Screening Outcomes,April,,May,,June,,Quarter ,
,,,,,,,,
Total1,"1,630",100%,"1,514",100%,"5,001",100%,"8,145",100%
Positive2,928,57%,835,55%,"2,326",47%,"4,089",50%
Negative3,569,35%,571,38%,"1,509",30%,"2,649",33%
Admin. Close4,133,8%,108,7%,"1,166",23%,"1,407",17%
,,,,,,,,
,,,,,,,,
Reasonable Fear Screening Outcomes,April,,May,,June,,Quarter ,
,,,,,,,,
Total1,427,100%,453,100%,474,100%,"1,354",100%
Positive2,124,29%,114,25%,145,31%,383,28%
Negative3,242,57%,263,58%,246,52%,751,55%
Admin. Close4,61,14%,76,17%,83,18%,220,16%
References:,,,,,,,,
1 The number of Screenings completed during the reporting period.,,,,,,,,
2 The number of Screenings with a positive determination (Fear Established) during the reporting period.,,,,,,,,
3 The number of Screenings with a negative determination (Fear Not Established) during the reporting period.,,,,,,,,
4 The number of Screenings USCIS administratively closed during the reporting period.,,,,,,,,
Notes:,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,
Source:,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 09/21/2022.",,,,,,,,
