Number of Credible Fear and Reasonable Fear Screening Referrals,,,,,,,,,
"By Office, Month",,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,
,Credible Fear Receipts1,,,Reasonable Fear Receipts1,,,Credible Fear Receipts1,Reasonable Fear Receipts1,Total Receipts
Office,July,August,September,July,August,September,,Quarter Total,
,,,,,,,,,
Total,"5,629","7,531","7,235",595,746,797,"20,395","2,138","22,533"
Arlington,206,430,326,104,140,117,962,361,"1,323"
Boston,41,65,51,2,7,7,157,16,173
Chicago,159,91,87,50,54,63,337,167,504
Houston,"3,489","4,850","5,048",260,303,389,"13,387",952,"14,339"
Los Angeles,688,513,379,58,46,25,"1,580",129,"1,709"
Miami,169,217,173,22,31,28,559,81,640
New Orleans,358,742,564,57,74,74,"1,664",205,"1,869"
New York,109,90,73,11,18,24,272,53,325
Newark,242,291,250,12,18,28,783,58,841
San Francisco,145,223,247,16,46,37,615,99,714
Tampa,23,19,37,3,9,5,79,17,96
Table Key:,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,
References:,,,,,,,,,
1 The number of screening referrals received and entered into the GLOBAL case-tracking system during the reporting period. ,,,,,,,,,
Notes:,,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,
Source:,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,
"GLOBAL Master APSO, queried 1/9/2023.",,,,,,,,,
