Number of Completed Credible Fear and Reasonable Fear Screenings,,,,,,,,
"By Outcome, Month",,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,
Credible Fear Screening Outcomes,July,,August,,September,,Quarter ,
Total1,"5,718",100%,"5,517",100%,"6,307",100%,"17,542",100%
Positive2,"2,967",52%,"2,898",53%,"3,288",52%,"9,153",52%
Negative3,"2,023",35%,"2,401",44%,"2,733",43%,"7,157",41%
Admin. Close4,728,13%,218,4%,286,5%,"1,232",7%
Reasonable Fear Screening Outcomes,July,,August,,September,,Quarter ,
Total1,491,100%,587,100%,690,100%,"1,768",100%
Positive2,177,36%,174,30%,227,33%,578,33%
Negative3,227,46%,292,50%,324,47%,843,48%
Admin. Close4,87,18%,121,21%,139,20%,347,20%
References:,,,,,,,,
1 The number of Screenings completed during the reporting period.,,,,,,,,
2 The number of Screenings with a positive determination (Fear Established) during the reporting period.,,,,,,,,
3 The number of Screenings with a negative determination (Fear Not Established) during the reporting period.,,,,,,,,
4 The number of Screenings USCIS administratively closed during the reporting period.,,,,,,,,
Notes:,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,
Source:,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,
"GLOBAL Master APSO, queried 1/9/2023.",,,,,,,,
