"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Case Completion Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,July,, ,Completion1,Outcomes,,,August,, ,Completion1,Outcomes,,,September,, ,Completion1,Outcomes,,,Quarterly,, ,Completion1,Outcomes,,
,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7
Office,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"2,843",795,16,898, -   ,256,878,"3,363",882,28,"1,179", -   ,297,977,"4,028",927,16,891,2,769,"1,423","10,234","2,604",60,"2,968",2,"1,322","3,278"
Arlington,291,164,4,73, - ,12,38,433,211,6,92, - ,15,109,396,226,2,68, - ,4,96,"1,120",601,12,233, - ,31,243
Boston,63,19,,12, - ,2,30,105,27,1,21, - ,13,43,104,30,,15, - ,4,55,272,76,1,48, - ,19,128
Chicago,458,150,4,172, - ,32,100,487,126,8,188, - ,10,155,286,120,1,62,1,23,79,"1,231",396,13,422,1,65,334
Houston,306,65,2,138, - ,29,72,330,79, - ,92, - ,77,82,855,91,3,46, - ,574,141,"1,491",235,5,276, - ,680,295
Los Angeles,296,102,,61, - ,43,90,227,87, - ,46, - ,17,77,214,110,,23, - ,5,76,737,299, - ,130, - ,65,243
Miami,402,19,3,69, - ,25,286,516,62,3,181, - ,56,214,743,59,4,186, - ,92,402,"1,661",140,10,436, - ,173,902
New Orleans,58,20,,13, - ,7,18,151,27, - ,17, - ,46,61,40,26,,10, - ,,4,249,73, - ,40, - ,53,83
New York,212,34,1,107, - ,12,58,320,21,2,188, - ,23,86,298,33,2,184,1,32,46,830,88,5,479,1,67,190
Newark,304,63,,145, - ,3,93,399,84,2,207, - ,2,104,468,117,1,212, - ,12,126,"1,171",264,3,564, - ,17,323
San Francisco,205,116,1,80, - , - ,8,246,117,2,102, - ,5,20,151,88,1,49, - ,,13,602,321,4,231, - ,5,41
Tampa,248,43,1,28, - ,91,85,149,41,4,45, - ,33,26,473,27,2,36, - ,23,385,870,111,7,109, - ,147,496
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 The number of applications decided or administratively closed during the reporting period (including decisions not yet been served).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 The number of applications decided based on merits (including based on the one-year filling deadline) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of applications USCIS interviewed and approved for asylum status during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 The number of applications USCIS interviewed and found ineligible for asylum status while the applicant was in lawful immigration status during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of applications USCIS interviewed and found ineligible for asylum status and referred to the Immigration Judge because the applicant was not in lawful immigration status during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 The number of applications USCIS terminated asylum status during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 The number of applications USCIS administratively closed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8The number of applications USCIS administratively closed  for lack of jurisdiction during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9 The number of applications USCIS administratively closed for withdrawn/the applicant was a Legal Permanent Resident, ineligible/the applicant was a United States Citizen, outside the United States/abandoned, or because the applicant failed to appear for the interview and was not in lawful immigration status during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL Master Affirmative queried 1/18/2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
