"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,
"By TOP 10 Countries, Office",,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,
,Arlington,,,Boston,,,Chicago,,,Houston,,,Los Angeles,,,Miami,
Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2
1,AFGHANISTAN,"1,619",1,HAITI,316,1,VENEZUELA,"1,479",1,VENEZUELA,"2,243",1,CHINA,977,1,CUBA,"18,924"
2,VENEZUELA,"1,122",2,AFGHANISTAN,252,2,AFGHANISTAN,"1,471",2,CUBA,"1,749",2,AFGHANISTAN,729,2,VENEZUELA,"4,617"
3,HONDURAS,348,3,GUATEMALA,244,3,CUBA,969,3,AFGHANISTAN,"1,241",3,GUATEMALA,652,3,HAITI,"2,258"
4,EL SALVADOR,345,4,BRAZIL,197,4,HAITI,696,4,HONDURAS,360,4,RUSSIA,517,4,NICARAGUA,"1,109"
5,CUBA,345,5,EL SALVADOR,93,5,GUATEMALA,554,5,GUATEMALA,224,5,CUBA,481,5,COLOMBIA,967
6,GUATEMALA,303,6,ANGOLA,76,6,NICARAGUA,390,6,EL SALVADOR,214,6,ARMENIA,392,6,GUATEMALA,534
7,COLOMBIA,192,7,VENEZUELA,63,7,RUSSIA,314,7,MEXICO,172,7,EL SALVADOR,331,7,HONDURAS,264
8,HAITI,165,8,COLOMBIA,60,8,COLOMBIA,256,8,COLOMBIA,159,8,MEXICO,266,8,RUSSIA,160
9,ETHIOPIA,154,9,ECUADOR,38,9,HONDURAS,238,9,NICARAGUA,106,9,NICARAGUA,154,9,BRAZIL,93
10,NICARAGUA,150,10,DEMOCRATIC REPUBLIC OF THE CONGO,37,10,MEXICO,194,10,NIGERIA,45,10,INDIA,150,10,AFGHANISTAN,47
 ,New Orleans,,,New York,,,Newark,,,San Francisco,,,Tampa,,,,
Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,Top 10,Citizenship1,Receipts2,,,
1,VENEZUELA,437,1,CHINA,416,1,HAITI,646,1,INDIA,960,1,CUBA,"3,990",,,
2,HONDURAS,163,2,INDIA,391,2,VENEZUELA,495,2,AFGHANISTAN,917,2,VENEZUELA,598,,,
3,CUBA,138,3,RUSSIA,364,3,AFGHANISTAN,463,3,MEXICO,500,3,COLOMBIA,168,,,
4,AFGHANISTAN,128,4,VENEZUELA,295,4,COLOMBIA,274,4,GUATEMALA,385,4,HAITI,164,,,
5,GUATEMALA,119,5,ECUADOR,284,5,ECUADOR,246,5,EL SALVADOR,268,5,AFGHANISTAN,120,,,
6,NICARAGUA,71,6,BANGLADESH,268,6,GUATEMALA,242,6,COLOMBIA,238,6,HONDURAS,89,,,
7,EL SALVADOR,49,7,HAITI,252,7,CUBA,229,7,RUSSIA,188,7,NICARAGUA,64,,,
8,COLOMBIA,35,8,GEORGIA,206,8,HONDURAS,205,8,KENYA,171,8,GUATEMALA,36,,,
9,HAITI,31,9,UZBEKISTAN,204,9,TURKEY,150,9,HONDURAS,147,9,BRAZIL,34,,,
10,MEXICO,26,10,COLOMBIA,166,10,RUSSIA,126,10,UKRAINE,93,10,RUSSIA,31,,,
References:,,,,,,,,,,,,,,,,,
1 Citizenship Designation is based on Country of Citizenship or Country of Birth at the time the application was filed.,,,,,,,,,,,,,,,,,
2 The number of new applications received and entered into a case-tracking system during the reporting period. This report extracted data in January 2023 and the data may not match ,,,,,,,,,,,,,,,,,
other USCIS public reports. Differences between reports may be attributable to data entry delays and when the data were extracted from USCIS data systems.,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, queried 1/18/2023.",,,,,,,,,,,,,,,,,
