"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,
"By TOP 20 Countries, Month",,,,,
"July 1, 2022 - September 30, 2022",,,,,
,,,Application Received2,,
,,July,August,September,Quarterly 
Top 20,Citizenship1,"12,459","13,650","13,650","39,759"
1,CUBA,"7,983","9,687","9,277","26,947"
2,VENEZUELA,"4,256","3,855","3,527","11,638"
3,AFGHANISTAN,"1,222","3,617","2,201","7,040"
4,HAITI,"2,138","1,498",972,"4,608"
5,GUATEMALA,"1,221","1,187","1,030","3,438"
6,COLOMBIA,964,925,731,"2,620"
7,NICARAGUA,936,733,701,"2,370"
8,HONDURAS,805,764,551,"2,120"
9,INDIA,521,707,627,"1,855"
10,RUSSIA,526,666,629,"1,821"
11,EL SALVADOR,626,670,496,"1,792"
12,CHINA,507,585,595,"1,687"
13,MEXICO,551,557,408,"1,516"
14,ECUADOR,268,282,176,726
15,TURKEY,149,173,186,508
16,BRAZIL,167,151,160,478
17,ARMENIA,128,134,155,417
18,BANGLADESH,138,146,120,404
19,ETHIOPIA,92,126,98,316
20,UZBEKISTAN,116,106,81,303
,OTHER,"1,215","1,325","1,227","3,767"
References:,,,,,
1 Citizenship Designation is based on Country of Citizenship or Country of Birth at the time the application was filed.,,,,,
2 The number of new applications received and entered into a case-tracking system during the reporting period. This report extracted data in January 2023 and the data may not match ,,,,,
other USCIS public reports. Differences between reports may be attributable to data entry delays and when the data were extracted from USCIS data systems.,,,,,
Notes:,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,
Source:,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,
"GLOBAL Master Affirmative, queried 1/18/2023.",,,,,
