"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Scheduled Interview Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,July,,,Interview Outcomes, ,,,August,,,Interview Outcomes, ,,,September,,,Interview Outcomes, ,,,Quarter Total,,,Interview Outcomes, ,,
Office,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6
Total,"2,782","1,752",608,184,172,28,38,"3,830","2,702",507,282,252,39,48,"4,229","2,759",868,233,278,27,64,"10,841","7,213","1,983",699,702,94,150
Arlington,340,199,89,29,18, - ,5,556,396,63,47,42, - ,8,731,549,51,69,44,6,12,"1,627","1,144",203,145,104,6,25
Boston,41,31,5,3, - , - ,2,86,71,8,4,1, - ,2,71,55,6,7,1, - ,2,198,157,19,14,2, - ,6
Chicago,629,453,48,52,53,19,4,828,627,48,77,46,25,5,575,450,60,31,18,10,6,"2,032","1,530",156,160,117,54,15
Houston,279,206,39,13,16,4,1,411,308,51,19,30,3, - ,409,321,47,9,26,4,2,"1,099",835,137,41,72,11,3
Los Angeles,374,216,104,24,18,1,11,285,169,76,20,8, - ,12,779,365,344,30,19,1,20,"1,438",750,524,74,45,2,43
Miami,145,94,33,12,6, - , - ,271,212,20,25,11,2,1,334,183,111,21,18,1, - ,750,489,164,58,35,3,1
New Orleans,52,41,9, - , - , - ,2,50,30,10,5,1, - ,4,36,25,1,6, - , - ,4,138,96,20,11,1, - ,10
New York,236,108,96,7,25, - , - ,361,264,19,18,53,7, - ,280,182,25,18,53,1,1,877,554,140,43,131,8,1
Newark,243,166,42,14,15,1,5,357,244,54,26,22, - ,11,499,309,90,32,62,1,5,"1,099",719,186,72,99,2,21
San Francisco,334,169,132,18,6,1,8,380,238,96,22,18,1,5,344,224,77,3,27,2,11,"1,058",631,305,43,51,4,24
Tampa,109,69,11,12,15,2, - ,245,143,62,19,20,1, - ,171,96,56,7,10,1,1,525,308,129,38,45,4,1
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 The number of applications in which the applicant appeared for their interview at the Asylum Office, and the Asylum Officer conducted an asylum interview during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 The number of applications in which the asylum interview is cancelled at the fault of USCIS, due to office closures, unavailability of USCIS interpreters/officers, and COVID-illness related requests by applicants, etc. during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of applications in which the applicant submitted a request to reschedule their asylum interview and the Asylum Office honored the request during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 The number of applications in which the applicant failed to appear for their scheduled asylum interview during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of applications without an interview outcome entry during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 The number of applications in which the Asylum Officer conducted an interview with the applicant during the reporting period and a subsequent interview is needed. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, queried 1/18/2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
