Number of Completed Reasonable Fear Screenings,,,,,,,,,,,,,,,,,,,,,,,,
"By Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,
,July,, ,RF Screening,Outcomes,,August,, ,RF Screening,Outcomes,,September,, ,RF Screening,Outcomes,,Quarter,, ,RF Screening,Outcomes,
,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4
Office,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8
Total,491,98,79,227,84,3,587,100,74,292,108,13,690,126,101,324,128,11,"1,768",323,253,841,319,27
Arlington,90,14,15,38,21,2,129,28,14,57,23,7,116,23,17,47,23,6,335,65,46,142,67,15
Boston,2,1, - ,1, - , - ,3, - , - ,2,1, - ,3,1, - ,1,1, - ,8,2, - ,4,2, - 
Chicago,35,1,4,13,17, - ,47,2,2,24,19, - ,47,4,5,29,9, - ,129,7,11,66,45, - 
Houston,234,53,42,118,21, - ,259,37,33,143,43,3,357,69,45,180,60,3,850,159,120,441,124,6
Los Angeles,40,9,5,25,1, - ,31,5,8,18, - , - ,17,5,3,7,2, - ,88,19,16,50,3, - 
Miami,9,2,2, - ,5, - ,20,8,3,5,2,2,16,5,7,2,2, - ,45,15,12,7,9,2
New Orleans,52,12,4,27,9, - ,66,17,10,31,8, - ,58,10,8,27,13, - ,176,39,22,85,30, - 
New York,11,2, - ,2,6,1,15,1,1,5,8, - ,29,4,2,14,8,1,55,7,3,21,22,2
Newark,4,1,2,1, - , - ,5, - ,1,3, - ,1,22,4,7,8,3, - ,31,5,10,12,3,1
San Francisco,13,2,5,2,4, - ,9,1,2,2,4, - ,20, - ,6,7,6,1,42,3,13,11,14,1
Tampa,1,1, - , - , - , - ,3,1, - ,2, - , - ,5,1,1,2,1, - ,9,2, - ,2, - , - 
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,
1 The number of Reasonable Fear Screenings completed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
2 The number of Reasonable Fear Screenings with a positive determination (Fear Established) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of Reasonable Fear Screenings with a negative determination (Fear Not Established) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
4 The number of Reasonable Fear Screenings USCIS administratively closed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of Reasonable Screenings with a positive determination based on persecution during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
6 The number of Reasonable Screenings with a positive determination based on torture during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
7The number of Reasonable Fear Screenings USCIS administratively closed because the individual withdrew his/her fear claim.,,,,,,,,,,,,,,,,,,,,,,,,
"8 The number of Reasonable Fear Screenings USCIS administratively closed for various reasons such as non-citizen in State or Federal custody, unable to effectively communicate, ineligible, etc.",,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,,,,,,,,,,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Refugee, Asylum and International Operations Directorate (RAIO)",,,,,,,,,,,,,,,,,,,,,,,,
"GLOBAL Master APSO, queried 1/9/2023.",,,,,,,,,,,,,,,,,,,,,,,,
