,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Completed Credible Fear Screenings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,, ,CF Screening,Outcomes,,,February,, ,CF Screening,Outcomes,,,March,, ,CF Screening,Outcomes,,,Quarter,, ,CF Screening,Outcomes,,,,
,,Positive2, ,Negative3,Admin.,Close4,,,Positive2, ,Negative3,Admin.,Close4,,,Positive2, ,Negative3,Admin.,Close4,,,Positive2, ,Negative3,Admin.,Close4,,,
Office,Total1,Persecution5,Torture6,Negative,Dissolve7,Other8,Language Access9,Total1,Persecution5,Torture6,Negative,Dissolve7,Other8,Language Access9,Total1,Persecution5,Torture6,Negative,Dissolve7,Other8,Language Access9,Total1,Persecution5,Torture6,Negative,Dissolve7,Other8,Language Access9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 3,404 "," 1,831 ", 492 , 916 , 34 , 37 , 94 ," 3,092 "," 1,623 ", 416 , 960 , 30 , 14 , 49 ," 3,030 "," 1,434 ", 459 , 931 , 62 , 91 , 53 ," 9,526 "," 4,888 "," 1,367 "," 2,807 ", 126 , 142 , 196 ,,
Arlington, 901 , 542 , 148 , 191 , 6 , 2 , 12 , 778 , 480 , 124 , 155 , 2 , 1 , 16 , 616 , 334 , 119 , 76 , 13 , 71 , 3 ," 2,295 "," 1,356 ", 391 , 422 , 21 , 74 , 31 ,,
Boston, 3 , - , - , 3 , - , - , - , 5 , 4 , - , 1 , - , - , - , 2 , 2 , - , - , - , - , - , 10 , 6 , - , 4 , - , - , - ,,
Chicago, 18 , 3 , 1 , 7 , 7 , - , - , 23 , 7 , - , 5 , 11 , - , - , 22 , 5 , 2 , - , 13 , 2 , - , 63 , 15 , 3 , 12 , 31 , 2 , - ,,
Houston," 1,901 ", 888 , 258 , 627 , 13 , 33 , 82 ," 1,769 ", 799 , 200 , 718 , 13 , 8 , 31 ," 1,811 ", 709 , 249 , 773 , 25 , 9 , 46 ," 5,481 "," 2,396 ", 707 ," 2,118 ", 51 , 50 , 159 ,,
Los Angeles, 79 , 60 , 5 , 13 , 1 , - , - , 83 , 72 , 3 , 8 , - , - , - , 127 , 110 , 5 , 8 , - , 4 , - , 289 , 242 , 13 , 29 , 1 , 4 , - ,,
Miami, 95 , 58 , 36 , 1 , - , - , - , 86 , 38 , 37 , 10 , 1 , - , - , 97 , 44 , 31 , 16 , 5 , 1 , - , 278 , 140 , 104 , 27 , 6 , 1 , - ,,
New Orleans, 132 , 95 , 8 , 23 , 5 , 1 , - , 115 , 63 , 11 , 36 , - , 5 , - , 113 , 72 , 13 , 22 , 3 , 1 , 2 , 360 , 230 , 32 , 81 , 8 , 7 , 2 ,,
New York, 185 , 127 , 25 , 32 , 1 , - , - , 108 , 83 , 13 , 10 , 1 , - , 1 , 185 , 123 , 31 , 28 , 1 , - , 2 , 478 , 333 , 69 , 70 , 3 , - , 3 ,,
Newark, 30 , 14 , 3 , 12 , - , 1 , - , 54 , 30 , 15 , 9 , - , - , - , 34 , 20 , 4 , 7 , - , 3 , - , 118 , 64 , 22 , 28 , - , 4 , - ,,
San Francisco, 60 , 44 , 8 , 7 , 1 , - , - , 50 , 34 , 9 , 4 , 2 , - , 1 , 22 , 14 , 5 , 1 , 2 , - , - , 132 , 92 , 22 , 12 , 5 , - , 1 ,,
Tampa, - , - , - , - , - , - , - , 21 , 13 , 4 , 4 , - , - , - , 1 , 1 , - , - , - , - , - , 22 , 14 , 4 , 4 , - , - , - ,,
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 The number of Credible Fear Screenings completed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 The number of Credible Fear Screenings with a positive determination (Fear Established) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of Credible Fear Screenings with a negative determination (Fear Not Established) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 The number of Credible Fear Screenings USCIS administratively closed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of Credible Fear Screenings with a positive fear determination based on persecution during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 The number of Credible Fear Screenings with a positive fear determination based on torture during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 The number of Credible Fear Screenings USCIS administratively closed because the individual withdrew his/her fear claim.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8The number of of Credible Fear Screenings USCIS administratively closed for various reasons such as non-citizen in State or Federal custody, unable to effectively communicate, ineligible, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 The number of Credible Fear screenings USCIS administratively closed because USCIS was unable to provide an interpreter speaking the individual's preferred language.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 06/21/2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
