,,,,,,,,,,,
Number of Credible Fear and Reasonable Fear Screening Referrals,,,,,,,,,,,
"By Office, Month",,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,
,,,,,,,,,,,
,Credible Fear Receipts1,,,Reasonable Fear Receipts1,,,Credible Fear Receipts1,Reasonable Fear Receipts1,Total Receipts,,
Office,January,February,March,January,February,March,,Quarter Total,,,
,,,,,,,,,,,
Total," 4,118 "," 2,698 "," 3,938 ", 470 , 467 , 540 ," 10,754 "," 1,477 "," 12,231 ",,
Arlington, 597 , 517 , 429 , 86 , 85 , 109 ," 1,543 ", 280 ," 1,823 ",,
Boston, 81 , 72 , 72 , 11 , - , 9 , 225 , 20 , 245 ,,
Chicago, 70 , 54 , 148 , 32 , 35 , 36 , 272 , 103 , 375 ,,
Houston," 2,347 "," 1,353 "," 2,074 ", 237 , 201 , 272 ," 5,774 ", 710 ," 6,484 ",,
Los Angeles, 127 , 79 , 129 , 20 , 9 , 8 , 335 , 37 , 372 ,,
Miami, 226 , 185 , 416 , 14 , 26 , 11 , 827 , 51 , 878 ,,
New Orleans, 139 , 107 , 147 , 21 , 28 , 30 , 393 , 79 , 472 ,,
New York, 210 , 99 , 112 , 18 , 51 , 26 , 421 , 95 , 516 ,,
Newark, 181 , 92 , 194 , 5 , 19 , 15 , 467 , 39 , 506 ,,
San Francisco, 127 , 118 , 188 , 24 , 10 , 24 , 433 , 58 , 491 ,,
Tampa, 13 , 22 , 29 , 2 , 3 , - , 64 , 5 , 69 ,,
Table Key:,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,
References:,,,,,,,,,,,
1 The number of screening referrals received and entered into the GLOBAL case-tracking system during the reporting period. ,,,,,,,,,,,
Notes:,,,,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,
Source:,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 06/21/2022.",,,,,,,,,,,
