,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"By Case Completion Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,January,, ,Completion1,Outcomes,,,February,, ,Completion1,Outcomes,,,March,, ,Completion1,Outcomes,,,Quarterly,, ,Completion1,Outcomes,,,,
,,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7,,,Decisions2,,,Admin.,Close7,,
,Office,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,Total,Grants3,Denials4,Referrals5 ,Terminations6,No Jurisdiction8,Other Reason9,,
,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,
,Total," 3,341 ", 772 , 11 ," 1,418 ", 1 , 178 , 961 ," 3,502 ", 863 , 17 ," 1,583 ", -   , 203 , 836 ," 4,447 "," 1,226 ", 14 ," 1,974 ", 1 , 260 , 972 ," 11,290 "," 2,861 ", 42 ," 4,975 ", 2 , 641 ," 2,769 ",,
,Arlington, 205 , 82 , 3 , 76 , 1 , 5 , 38 , 261 , 98 , 5 , 103 , - , 16 , 39 , 425 , 211 , 6 , 145 , - , 17 , 46 , 891 , 391 , 14 , 324 , 1 , 38 , 123 ,,
,Boston, 105 , 20 , - , 63 , - , 3 , 19 , 84 , 21 , - , 44 , - , 2 , 17 , 133 , 37 , - , 66 , - , 4 , 26 , 322 , 78 , - , 173 , - , 9 , 62 ,,
,Chicago, 415 , 125 , 3 , 147 , - , 28 , 112 , 520 , 138 , 6 , 233 , - , 12 , 131 , 607 , 163 , 3 , 258 , - , 18 , 165 ," 1,542 ", 426 , 12 , 638 , - , 58 , 408 ,,
,Houston, 203 , 17 , - , 88 , - , 25 , 73 , 205 , 31 , 1 , 87 , - , 38 , 48 , 275 , 61 , - , 115 , - , 44 , 55 , 683 , 109 , 1 , 290 , - , 107 , 176 ,,
,Los Angeles, 562 , 172 ,, 183 , - , 23 , 184 , 433 , 128 , - , 165 , - , 15 , 125 , 518 , 182 , - , 182 , - , 12 , 142 ," 1,513 ", 482 , - , 530 , - , 50 , 451 ,,
,Miami, 403 , 81 , 1 , 194 , - , 26 , 101 , 438 , 81 , 2 , 200 , - , 50 , 105 , 590 , 106 , 3 , 270 , - , 81 , 130 ," 1,431 ", 268 , 6 , 664 , - , 157 , 336 ,,
,New Orleans, 218 , 43 , - , 53 , - , 31 , 91 , 142 , 35 , - , 43 , - , 25 , 39 , 212 , 47 , - , 68 , - , 31 , 66 , 572 , 125 , - , 164 , - , 87 , 196 ,,
,New York, 380 , 19 , 3 , 210 , - , 25 , 123 , 423 , 40 , - , 254 , - , 29 , 100 , 474 , 27 , - , 322 , 1 , 34 , 90 ," 1,277 ", 86 , 3 , 786 , 1 , 88 , 313 ,,
,Newark, 462 , 81 , 1 , 194 , - , 5 , 181 , 523 , 118 , - , 192 , - , 9 , 204 , 637 , 179 , - , 239 , - , 13 , 206 ," 1,622 ", 378 , 1 , 625 , - , 27 , 591 ,,
,San Francisco, 289 , 118 , - , 135 , - , 2 , 34 , 318 , 142 , 3 , 150 , - ,, 23 , 355 , 192 , 1 , 125 , - , 2 , 35 , 962 , 452 , 4 , 410 , - , 4 , 92 ,,
