,,,,,,,,,,,,,,
"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,
"By Status, Office, Month",,,,,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Application Received1,,,Application Completed2,,,End of Month Pending3,,Receipts1,Completions2,End of Quarter Pending3,,
Office,January,February,March,January,February,March,January,February,March,,Quarterly,,,
,,,,,,,,,,,,,,
Total," 12,459 "," 13,650 "," 17,180 "," 3,342 "," 3,502 "," 4,447 "," 447,900 "," 458,053 "," 470,786 "," 43,289 "," 11,291 "," 470,786 ",,
Arlington," 1,136 "," 1,235 "," 1,603 ", 205 , 261 , 425 ," 53,319 "," 54,293 "," 55,471 "," 3,974 ", 891 ," 55,471 ",,
Boston, 355 , 393 , 328 , 105 , 84 , 133 ," 21,163 "," 21,472 "," 21,667 "," 1,076 ", 322 ," 21,667 ",,
Chicago," 1,095 "," 1,128 "," 1,411 ", 415 , 520 , 607 ," 30,590 "," 31,199 "," 32,003 "," 3,634 "," 1,542 "," 32,003 ",,
Houston," 1,181 "," 1,219 "," 1,863 ", 204 , 205 , 275 ," 39,870 "," 40,884 "," 42,472 "," 4,263 ", 684 ," 42,472 ",,
Los Angeles, 824 , 967 , 844 , 562 , 433 , 518 ," 47,162 "," 47,696 "," 48,022 "," 2,635 "," 1,513 "," 48,022 ",,
Miami," 4,550 "," 5,142 "," 7,101 ", 403 , 438 , 590 ," 119,601 "," 124,309 "," 130,820 "," 16,793 "," 1,431 "," 130,820 ",,
New Orleans, 276 , 313 , 458 , 218 , 142 , 212 ," 7,533 "," 7,704 "," 7,950 "," 1,047 ", 572 ," 7,950 ",,
New York, 754 , 839 , 619 , 380 , 423 , 474 ," 45,979 "," 46,395 "," 46,540 "," 2,212 "," 1,277 "," 46,540 ",,
Newark, 684 , 721 , 711 , 462 , 523 , 637 ," 26,913 "," 27,111 "," 27,185 "," 2,116 "," 1,622 "," 27,185 ",,
San Francisco, 817 , 842 ," 1,042 ", 289 , 318 , 355 ," 40,754 "," 41,278 "," 41,965 "," 2,701 ", 962 ," 41,965 ",,
Tampa, 787 , 851 ," 1,200 ", 99 , 155 , 221 ," 15,016 "," 15,712 "," 16,691 "," 2,838 ", 475 ," 16,691 ",,
References:,,,,,,,,,,,,,,
1 The number of new applications received and entered into the GLOBAL case-tracking system during the reporting period. This report extracted data in June 2022 and the data may not match ,,,,,,,,,,,,,,
other USCIS public reports. Differences between reports may be attributable to data entry delays and when the data were extracted from USCIS data systems.,,,,,,,,,,,,,,
2 The number of applications decided or administratively closed during the reporting period (including decisions not yet been served).,,,,,,,,,,,,,,
3 The number of applications awaiting a decision as of the end of month during the reporting period.,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 06/21/2022.",,,,,,,,,,,,,,
