,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Scheduled Interview Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,Interview Outcomes, ,,,February,,,Interview Outcomes, ,,,March,,,Interview Outcomes, ,,,Quarter Total,,,Interview Outcomes, ,,,,
Office,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,Scheduled Interviews,Completed1,Canceled by USCIS2,Canceled by Applicant3,No Shows4,Outcome Unknown5,Interview Completed-Subsequent Interview Needed6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 4,743 "," 2,312 "," 1,680 ", 300 , 410 , 41 , -   ," 3,550 "," 2,280 ", 721 , 241 , 273 , 34 , 1 ," 4,508 "," 3,032 ", 775 , 295 , 337 , 64 , 5 ," 12,801 "," 7,624 "," 3,176 ", 836 ," 1,020 ", 139 , 6 ,,
Arlington, 277 , 111 , 96 , 22 , 48 , - , - , 247 , 131 , 52 , 38 , 24 , 1 , 1 , 171 , 121 , 32 , 13 , 5 , - , - , 695 , 363 , 180 , 73 , 77 , 1 , 1 ,,
Boston, 143 , 86 , 35 , 18 , 3 , 1 , - , 87 , 54 , 19 , 6 , 7 , 1 , - , 155 , 116 , 13 , 16 , 7 , 3 , - , 385 , 256 , 67 , 40 , 17 , 5 , - ,,
Chicago, 524 , 336 , 102 , 27 , 37 , 22 , - , 530 , 392 , 50 , 33 , 42 , 13 , - , 783 , 594 , 54 , 53 , 57 , 25 , - ," 1,837 "," 1,322 ", 206 , 113 , 136 , 60 , - ,,
Houston, 208 , 143 , 48 , 12 , 3 , 2 , - , 197 , 123 , 51 , 9 , 11 , 3 , - , 392 , 256 , 85 , 15 , 25 , 11 , - , 797 , 522 , 184 , 36 , 39 , 16 , - ,,
Los Angeles," 1,031 ", 306 , 495 , 54 , 168 , 8 , - , 534 , 231 , 203 , 25 , 69 , 6 , - , 465 , 281 , 104 , 28 , 46 , 5 , 1 ," 2,030 ", 818 , 802 , 107 , 283 , 19 , 1 ,,
Miami, 363 , 245 , 48 , 25 , 41 , 4 , - , 348 , 260 , 31 , 23 , 30 , 4 , - , 427 , 312 , 22 , 35 , 51 , 7 , - ," 1,138 ", 817 , 101 , 83 , 122 , 15 , - ,,
New Orleans, 146 , 91 , 42 , 7 , 6 , - , - , 127 , 97 , 13 , 10 , 7 , - , - , 187 , 124 , 33 , 12 , 17 , - , 1 , 460 , 312 , 88 , 29 , 30 , - , 1 ,,
New York, 821 , 224 , 524 , 24 , 47 , 2 , - , 329 , 224 , 48 , 15 , 42 , - , - , 656 , 368 , 162 , 43 , 75 , 8 , - ," 1,806 ", 816 , 734 , 82 , 164 , 10 , - ,,
Newark, 512 , 310 , 132 , 43 , 27 , - , - , 487 , 310 , 120 , 36 , 19 , 2 , - , 438 , 270 , 103 , 41 , 20 , 3 , 1 ," 1,437 ", 890 , 355 , 120 , 66 , 5 , 1 ,,
San Francisco, 552 , 332 , 136 , 59 , 23 , 2 , - , 439 , 282 , 105 , 37 , 14 , 1 , - , 555 , 359 , 149 , 25 , 21 , - , 1 ," 1,546 ", 973 , 390 , 121 , 58 , 3 , 1 ,,
Tampa, 166 , 128 , 22 , 9 , 7 , - , - , 225 , 176 , 29 , 9 , 8 , 3 , - , 279 , 231 , 18 , 14 , 13 , 2 , 1 , 670 , 535 , 69 , 32 , 28 , 5 , 1 ,,
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 The number of applications in which the applicant appeared for their interview at the Asylum O?ce, and the Asylum O?cer conducted an asylum interview during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
