,,,,,,,,,,,,,,,,,,,,
"Number of Form I-589, Application for Asylum and for Withholding of Removal",,,,,,,,,,,,,,,,,,,,
"By TOP 20 Countries, Month",,,,,,,,,,,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Application Received2,,,,,,,,,,,,,,,,,
,,January,February,March,Quarterly ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Top 20,Citizenship1," 12,459 "," 13,650 "," 13,650 "," 39,759 ",,,,,,,,,,,,,,,
1,VENEZUELA," 2,923 "," 3,277 "," 4,329 "," 10,529 ",,,,,,,,,,,,,,,
2,CUBA," 2,123 "," 2,486 "," 3,926 "," 8,535 ",,,,,,,,,,,,,,,
3,HAITI," 1,204 "," 1,167 "," 1,501 "," 3,872 ",,,,,,,,,,,,,,,
4,GUATEMALA, 845 , 952 ," 1,169 "," 2,966 ",,,,,,,,,,,,,,,
5,COLOMBIA, 755 , 718 , 792 ," 2,265 ",,,,,,,,,,,,,,,
6,HONDURAS, 545 , 701 , 844 ," 2,090 ",,,,,,,,,,,,,,,
7,EL SALVADOR, 468 , 529 , 576 ," 1,573 ",,,,,,,,,,,,,,,
8,MEXICO, 349 , 430 , 410 ," 1,189 ",,,,,,,,,,,,,,,
9,INDIA, 346 , 313 , 390 ," 1,049 ",,,,,,,,,,,,,,,
10,RUSSIA, 264 , 271 , 338 , 873 ,,,,,,,,,,,,,,,
11,CHINA, 308 , 301 , 236 , 845 ,,,,,,,,,,,,,,,
12,NICARAGUA, 210 , 241 , 366 , 817 ,,,,,,,,,,,,,,,
13,ECUADOR, 174 , 190 , 146 , 510 ,,,,,,,,,,,,,,,
16,ETHIOPIA, 168 , 129 , 131 , 428 ,,,,,,,,,,,,,,,
17,BRAZIL, 151 , 149 , 125 , 425 ,,,,,,,,,,,,,,,
18,TURKEY, 87 , 104 , 86 , 277 ,,,,,,,,,,,,,,,
19,KENYA, 87 , 64 , 85 , 236 ,,,,,,,,,,,,,,,
20,UKRAINE, 34 , 46 , 143 , 223 ,,,,,,,,,,,,,,,
,OTHER," 1,215 "," 1,325 "," 1,227 "," 3,767 ",,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,
1 Citizenship Designation is based on Country of Citizenship or Country of Birth at the time the application was filed.,,,,,,,,,,,,,,,,,,,,
2 The number of new applications received and entered into a case-tracking system during the reporting period. This report extracted data in June 2022 and the data may not match ,,,,,,,,,,,,,,,,,,,,
other USCIS public reports. Differences between reports may be attributable to data entry delays and when the data were extracted from USCIS data systems.,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,
"1) Applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,,,,
"2) Applications may include more than one individual (i.e., a principal applicant and a spouse and/or child(ren) included on the application as dependents).",,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 06/21/2022.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
