,,,,,,,,,,,,,,,,,,,,,,,,
Number of Completed Reasonable Fear Screenings,,,,,,,,,,,,,,,,,,,,,,,,
"By Outcome, Office, Month",,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,January,, ,RF Screening,Outcomes,,February,, ,RF Screening,Outcomes,,March,, ,RF Screening,Outcomes,,Quarter,, ,RF Screening,Outcomes,
,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4,,Positive2, ,Negative3,Admin.,Close4
Office,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8,Total1,Persecution5,Torture6,Negative ,Dissolve7,Other8
,,,,,,,,,,,,,,,,,,,,,,,,
Total, 389 , 83 , 27 , 198 , 80 , 1 , 388 , 81 , 45 , 185 , 72 , 5 , 506 , 86 , 65 , 253 , 93 , 9 ," 1,283 ", 250 , 137 , 636 , 245 , 15 
Arlington, 72 , 23 , 2 , 28 , 19 , - , 85 , 27 , 9 , 27 , 22 , - , 105 , 18 , 19 , 41 , 25 , 2 , 262 , 68 , 30 , 96 , 66 , 2 
Boston, 6 , - , - , 2 , 4 , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , 7 , - , - , 2 , 5 , - 
Chicago, 22 , 3 , 2 , 10 , 7 , - , 29 , - , 4 , 14 , 11 , - , 37 , 2 , - , 25 , 7 , 3 , 88 , 5 , 6 , 49 , 25 , 3 
Houston, 206 , 41 , 13 , 114 , 38 , - , 180 , 36 , 16 , 105 , 23 , - , 259 , 48 , 24 , 144 , 43 , - , 645 , 125 , 53 , 363 , 104 , - 
Los Angeles, 7 , 3 , - , 4 , - , - , 10 , 5 , 1 , 2 , - , 2 , 17 , 5 , 4 , 7 , - , 1 , 34 , 13 , 5 , 13 , - , 3 
Miami, 10 , 4 , 2 , 2 , 2 , - , 11 , 1 , 4 , 3 , 2 , 1 , 13 , 4 , 5 , 4 , - , - , 34 , 9 , 11 , 9 , 4 , 1 
New Orleans, 11 , 1 , 1 , 5 , 4 , - , 27 , 3 , 1 , 19 , 3 , 1 , 24 , 3 , 1 , 12 , 7 , 1 , 62 , 7 , 3 , 36 , 14 , 2 
New York, 32 , 5 , 1 , 23 , 3 , - , 21 , 3 , 2 , 9 , 7 , - , 11 , 2 , 2 , 2 , 5 , - , 64 , 10 , 5 , 34 , 15 , - 
Newark, 3 , - , 2 , - , - , 1 , 15 , 5 , 5 , 4 , - , 1 , 27 , 3 , 5 , 14 , 3 , 2 , 45 , 8 , 12 , 18 , 3 , 4 
San Francisco, 20 , 3 , 4 , 10 , 3 , - , 8 , 1 , 2 , 2 , 3 , - , 13 , 1 , 5 , 4 , 3 , - , 41 , 5 , 11 , 16 , 9 , - 
Tampa, - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - 
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,
1 The number of Reasonable Fear Screenings completed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
2 The number of Reasonable Fear Screenings with a positive determination (Fear Established) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of Reasonable Fear Screenings with a negative determination (Fear Not Established) during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
4 The number of Reasonable Fear Screenings USCIS administratively closed during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of Reasonable Screenings with a positive determination based on persecution during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
6 The number of Reasonable Screenings with a positive determination based on torture during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,
7The number of Reasonable Fear Screenings USCIS administratively closed because the individual withdrew his/her fear claim.,,,,,,,,,,,,,,,,,,,,,,,,
"8 The number of Reasonable Fear Screenings USCIS administratively closed for various reasons such as non-citizen in State or Federal custody, unable to effectively communicate, ineligible, etc.",,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,,,,,,,,,,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,,,,,,,,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 06/21/2022.",,,,,,,,,,,,,,,,,,,,,,,,
