,,,,,,,,,,
Number of Completed Credible Fear and Reasonable Fear Screenings,,,,,,,,,,
"By Outcome, Month",,,,,,,,,,
"January 1, 2022 - March 31, 2022",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Credible Fear Screening Outcomes,January ,,February ,,March ,,Quarter ,,,
,,,,,,,,,,
Total1," 3,404 ",100%," 3,092 ",100%," 3,030 ",100%," 9,526 ",100%,,
Positive2," 2,323 ",68%," 2,039 ",66%," 1,893 ",62%," 6,255 ",66%,,
Negative3, 916 ,27%, 960 ,31%, 931 ,31%," 2,807 ",29%,,
Admin. Close4, 165 ,5%, 93 ,3%, 206 ,7%, 464 ,5%,,
,,,,,,,,,,
,,,,,,,,,,
Reasonable Fear Screening Outcomes,January ,,February ,,March ,,Quarter ,,,
,,,,,,,,,,
Total1, 389 ,100%, 388 ,100%, 506 ,100%," 1,283 ",100%,,
Positive2, 110 ,28%, 126 ,32%, 151 ,30%, 387 ,30%,,
Negative3, 198 ,51%, 185 ,48%, 253 ,50%, 636 ,50%,,
Admin. Close4, 81 ,21%, 77 ,20%, 102 ,20%, 260 ,20%,,
References:,,,,,,,,,,
1 The number of Screenings completed during the reporting period.,,,,,,,,,,
2 The number of Screenings with a positive determination (Fear Established) during the reporting period.,,,,,,,,,,
3 The number of Screenings with a negative determination (Fear Not Established) during the reporting period.,,,,,,,,,,
4 The number of Screenings USCIS administratively closed during the reporting period.,,,,,,,,,,
Notes:,,,,,,,,,,
1) Screenings completed or pending a decision may have been received in previous reporting periods.,,,,,,,,,,
2) Screening receipts and outcomes include one individual. ,,,,,,,,,,
3) The report reflects the most up-to-date summary statistics available at the time the database is queried.,,,,,,,,,,
4) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,
"5) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,
Source:,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,
"GLOBAL Master Affirmative, Affirmative Backlog History, and Master APSO, queried 06/21/2022.",,,,,,,,,,
