Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of February 2023,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"72,617","70,406","4,469","1,975,432","1,527,237",15.2
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","7,663","4,284",513,"102,871","63,735",12.8
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"2,531","2,583",240,"55,102","41,797",24.5
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"5,643","2,130","1,071","36,471","12,672",6.2
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"8,343","10,761","1,207","213,796","141,801",12.3
I-485,Application to Register Permanent Residence or Adjust Status (Family),"29,391","31,452","2,269","495,096","320,799",13.5
I-485,Application to Register Permanent Residence or Adjust Status (Other),"2,683","2,411",241,"59,123","44,993",17.7
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"1,390",904,89,"24,188","16,912",25.5
I-751,Petition to Remove Conditions on Residence,"11,351","9,891",414,"241,431","179,706",22.5
I-765,Application for Employment Authorization,"270,120","224,179","31,326","1,448,698","673,595",5.9
N-400,Application for Naturalization,"67,536","68,616","7,487","463,204","143,082",7.9
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried March 2023",,,,,,,
