Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of December 2022,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"78,847","49,144","3,003","1,965,088","1,512,124",23.3
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","8,075","4,176",513,"94,853","60,288",13.1
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"2,382","2,568",182,"55,731","43,358",24.6
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"5,907","1,822",812,"31,685","11,444",6.4
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"16,602","10,741","1,030","213,085","141,624",13.7
I-485,Application to Register Permanent Residence or Adjust Status (Family),"34,296","17,975","2,026","494,093","315,109",15.6
I-485,Application to Register Permanent Residence or Adjust Status (Other),"2,535","1,594",154,"57,887","45,136",18
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"1,294",477,58,"23,208","16,880",20.8
I-751,Petition to Remove Conditions on Residence,"10,281","9,605",388,"238,546","184,900",23.2
I-765,Application for Employment Authorization,"223,760","180,297","19,277","1,395,282","709,364",5.7
N-400,Application for Naturalization,"59,253","75,119","7,649","479,331","170,578",8
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried January 2023",,,,,,,
