Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of January 2023,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"72,013","63,966","4,389","1,973,920","1,525,389",21.8
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","9,726","4,280",602,"99,936","61,723",13.9
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"2,143","2,466",173,"55,338","42,661",25.8
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"6,355","3,237","1,067","34,001","11,871",6.3
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"14,162","9,863","1,421","217,157","141,413",14
I-485,Application to Register Permanent Residence or Adjust Status (Family),"29,459","25,979","2,242","498,616","321,382",15.1
I-485,Application to Register Permanent Residence or Adjust Status (Other),"3,761","2,248",214,"59,523","45,380",18.3
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"1,085",512,80,"23,746","17,071",22.2
I-751,Petition to Remove Conditions on Residence,"12,038","10,229",384,"240,393","181,649",22.8
I-765,Application for Employment Authorization,"250,598","202,399","20,872","1,418,124","695,758",6.1
N-400,Application for Naturalization,"75,022","76,054","8,123","474,549","157,768",8.2
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried February 2023",,,,,,,
