Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of May 2023,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"81,145","77,005","5,585","1,968,487","1,514,014",14.5
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","9,712","5,958",520,"110,372","67,872",10.2
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"4,971","4,100",196,"58,681","38,093",22.7
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"20,988","2,884",237,"68,219","16,298",6.7
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"9,479","10,723","1,361","205,465","148,148",12.9
I-485,Application to Register Permanent Residence or Adjust Status (Family),"35,506","33,894","4,260","483,073","302,871",13.2
I-485,Application to Register Permanent Residence or Adjust Status (Other),"3,436","3,224",245,"58,786","43,142",15.9
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"1,683","1,940",78,"24,811","16,193",19.7
I-751,Petition to Remove Conditions on Residence,"9,950","10,545",502,"241,867","175,605",24
I-765,Application for Employment Authorization,"320,289","286,196","31,853","1,570,006","681,223",4.1
N-400,Application for Naturalization,"68,364","62,585","6,565","462,758","115,374",7.4
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried June 2023",,,,,,,
