All Employment-Based I-485 Inventory pending at the Service Centers and the Field Offices as of April 2016,,,,,,,,,,,,,,,,,,,,,,,,
1st Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,0,0,0,0,1,0,2,4,0,0,2,0,10,7,14,12,64,60,618,"2,147","2,941",,,
February,0,0,0,0,0,2,0,2,0,3,3,1,0,11,4,16,46,91,764,"2,052","2,995",,,
March,0,0,0,0,2,2,0,7,0,7,7,5,3,7,9,37,28,129,906,"1,184","2,333",,,
April,0,0,1,0,1,0,3,2,0,4,15,1,5,3,17,28,59,130,"1,008",18,"1,295",,,
May,1,0,0,0,1,1,2,0,4,0,1,7,0,7,23,28,41,151,"1,440",0,"1,707",,,
June,0,3,0,0,4,0,1,3,1,2,0,0,8,15,5,24,46,151,"1,932",0,"2,195",,,
July,0,0,0,0,0,2,0,4,3,4,1,0,5,16,24,25,39,196,"1,926",0,"2,245",,,
August,0,0,0,0,1,0,2,2,0,0,2,2,2,15,35,39,51,233,"2,011",0,"2,395",,,
September,1,1,0,0,3,1,1,0,1,1,4,9,3,7,21,49,39,296,"2,233",0,"2,670",,,
October,1,0,0,1,1,1,0,0,0,0,1,3,1,3,18,22,111,352,"2,629",0,"3,144",,,
November,2,1,3,0,0,3,2,2,3,5,1,4,7,8,14,25,72,454,"2,504",0,"3,110",,,
December,0,0,0,0,0,1,0,0,2,4,5,2,11,4,21,21,77,562,"2,717",0,"3,427",,,
Grand Total,5,5,4,1,14,13,13,26,14,30,42,34,55,103,205,326,673,"2,805","20,688","5,401","30,457",,,
,,,,,,,,,,,,,,,,,,,,,,,,
2nd Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,0,1,0,0,1,1,1,1,16,30,24,55,531,"1,117",34,207,317,265,"1,103",286,"3,990",,,
February,0,0,0,0,0,0,0,2,11,38,33,85,493,"1,102",47,213,315,213,"1,211",318,"4,081",,,
March,0,0,0,0,2,0,0,5,43,32,25,83,508,"1,316",62,227,300,286,"1,603",183,"4,675",,,
April,0,0,0,1,0,2,1,1,7,26,9,88,522,"1,292",59,257,271,253,"1,429",0,"4,218",,,
May,0,0,3,0,0,2,2,4,96,18,27,66,"1,412",17,124,256,325,302,"1,285",0,"3,939",,,
June,0,0,0,0,0,1,1,7,70,16,36,80,"1,388",38,217,278,319,569,"1,486",0,"4,506",,,
July,0,0,0,0,0,1,2,5,15,24,60,95,"1,002",20,146,263,273,505,"1,065",0,"3,476",,,
August,1,0,0,0,0,0,4,8,25,23,37,94,852,37,160,302,475,452,682,0,"3,152",,,
September,0,0,0,1,1,0,0,14,29,28,29,137,"1,103",57,154,122,474,542,479,0,"3,170",,,
October,0,1,0,0,0,1,0,8,22,26,35,394,"1,171",39,174,263,324,678,409,0,"3,545",,,
November,0,0,0,0,1,2,0,10,28,30,55,490,"1,032",42,222,220,427,754,319,0,"3,632",,,
December,0,0,0,0,2,0,3,10,27,39,55,637,"1,188",56,179,253,407,"1,166",359,0,"4,381",,,
Total,1,2,3,2,7,10,14,75,389,330,425,"2,304","11,202","5,133","1,578","2,861","4,227","5,985","11,430",787,"46,765",,,
,,,,,,,,,,,,,,,,,,,,,,,,
3rd Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,0,7,0,2,3,8,24,42,543,480,448,69,89,48,39,59,94,178,469,17,"2,619",,,
February,1,0,1,0,16,4,18,79,503,528,373,89,84,35,37,66,248,186,514,9,"2,791",,,
March,1,0,0,5,24,19,17,86,"2,104",586,417,83,73,45,54,59,123,208,470,0,"4,374",,,
April,1,1,0,0,294,10,33,103,15,535,367,86,79,64,42,78,227,319,545,0,"2,799",,,
May,0,0,0,2,12,17,11,98,57,559,335,84,73,25,49,80,234,365,490,0,"2,491",,,
June,0,0,2,8,13,15,13,87,90,585,322,69,72,43,94,124,255,481,580,0,"2,853",,,
July,1,0,0,2,13,12,24,202,149,667,405,89,93,22,45,103,180,353,406,0,"2,766",,,
August,0,1,5,3,8,15,19,312,285,542,149,90,77,44,46,140,187,598,218,0,"2,739",,,
September,0,0,3,7,363,23,18,262,317,519,37,84,59,85,55,138,185,"1,682",102,0,"3,939",,,
October,3,0,1,9,165,9,24,444,335,601,75,53,60,40,70,183,174,352,111,0,"2,709",,,
November,2,3,1,2,18,9,20,509,399,759,67,60,62,27,84,101,216,346,91,0,"2,776",,,
December,0,0,2,4,3,55,23,831,467,698,52,51,46,55,44,109,389,470,90,0,"3,389",,,
Total,9,12,15,44,932,196,244,"3,055","5,264","7,059","3,047",907,867,533,659,"1,240","2,512","5,538","4,086",26,"36,245",,,
,,,,,,,,,,,,,,,,,,,,,,,,
4th Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,1,5,40,23,76,,,
February,2,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,6,53,47,113,,,
March,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,6,11,69,79,176,,,
April,0,0,0,0,2,0,0,1,0,1,0,0,1,0,1,0,5,13,98,1,123,,,
May,0,0,0,0,3,1,1,0,0,1,0,0,0,2,4,2,1,14,112,0,141,,,
June,0,0,0,0,1,0,0,0,3,0,0,1,0,1,4,2,1,14,70,0,97,,,
July,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,1,1,12,60,0,84,,,
August,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,4,30,45,0,86,,,
September,0,0,0,1,0,0,0,2,3,0,0,1,0,0,4,2,3,10,24,0,50,,,
October,0,0,0,0,1,0,1,1,0,0,4,0,1,3,6,0,0,16,13,0,46,,,
November,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,35,16,0,57,,,
December,0,0,0,0,0,0,0,0,1,7,0,0,0,2,0,2,1,29,38,0,80,,,
Total,2,0,1,1,10,2,3,4,7,12,9,2,10,13,25,19,26,195,638,150,"1,129",,,
,,,,,,,,,,,,,,,,,,,,,,,,
5th Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14,66,82,,,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,66,106,,,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,4,60,,,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,191,0,194,,,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,0,11,,,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,6,,,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,14,,,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,,,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,10,,,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,314,0,318,,,
November,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,545,0,549,,,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48,0,54,,,
Total,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,5,4,22,"1,234",136,"1,409",,,
,,,,,,,,,,,,,,,,,,,,,,,,
OTHER (EW),,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,0,1,0,0,0,2,4,1,1,7,9,10,1,2,2,2,1,29,42,4,118,,,
February,0,0,0,0,0,1,2,9,4,10,8,3,6,1,9,3,7,12,45,0,120,,,
March,0,1,0,0,5,5,9,1,20,13,5,13,3,2,6,7,9,19,74,0,192,,,
April,0,1,0,0,42,4,0,10,0,5,3,13,10,2,2,4,43,40,64,0,243,,,
May,1,0,0,0,1,1,0,13,0,1,7,5,6,5,0,6,9,36,43,0,134,,,
June,0,0,0,0,1,2,2,10,2,0,12,16,8,3,4,4,11,49,72,0,196,,,
July,1,0,0,0,1,1,3,14,0,6,2,5,3,1,1,9,16,22,27,0,112,,,
August,0,0,0,0,1,3,9,5,0,8,12,3,1,0,3,1,24,45,16,0,131,,,
September,0,0,0,0,3,6,8,5,2,6,9,7,5,10,1,4,6,41,12,0,125,,,
October,0,0,0,0,1,5,1,9,4,11,11,4,5,3,0,3,6,30,5,0,98,,,
November,0,0,0,0,1,4,5,2,2,10,7,8,1,5,4,0,16,26,4,0,95,,,
December,1,3,0,0,0,4,1,5,1,17,16,6,3,6,7,14,17,51,10,0,162,,,
Total,3,6,0,0,56,38,44,84,36,94,101,93,52,40,39,57,165,400,414,4,"1,726",,,
,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,"117,731",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
" Employment-Based I-485 Inventory for Individuals Born in All Other Chargeability Except China-Mainland, India, Mexico or The Philippines, as of April 2016",,,,,,,,,,,,,,,,,,,,,,,,
1st Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,,,,,,,1,1,,,,,2,2,9,5,28,43,243,1115,"1,449",,,
February,,,,,,1,,2,,1,3,1,,5,2,2,17,49,327,1032,"1,442",,,
March,,,,,,2,,2,,5,6,3,,3,4,15,13,75,376,681,"1,185",,,
April,,,1,,1,,3,1,,4,6,1,4,1,5,9,24,47,505,13,625,,,
May,,,,,1,1,2,,4,,,3,,1,7,11,26,51,671,,778,,,
June,,2,,,4,,1,2,1,1,,,1,7,2,2,19,59,1039,,"1,140",,,
July,,,,,,2,,1,3,,1,,2,8,10,14,17,90,1013,,"1,161",,,
August,,,,,1,,2,,,,1,2,2,5,11,13,21,94,1076,,"1,228",,,
September,1,,,,3,,,,1,1,3,8,1,2,6,23,14,154,1226,,"1,443",,,
October,,,,1,1,1,,,,,1,1,,,10,12,55,182,1384,,"1,648",,,
November,,1,2,,,,2,1,2,2,1,4,4,,5,14,41,228,1242,,"1,549",,,
December,,,,,,1,,,,3,4,1,5,,17,9,40,230,1342,,"1,652",,,
Total,1,3,3,1,11,8,11,10,11,17,26,24,21,34,88,129,315,"1,302","10,444","2,841","15,300",,,
,,,,,,,,,,,,,,,,,,,,,,,,
2nd Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,,,,,,,,,,2,4,5,4,13,4,15,82,240,967,242,"1,578",,,
February,,,,,,,,,,1,1,3,1,12,14,12,66,192,1071,278,"1,651",,,
March,,,,,,,,,3,2,3,4,7,9,27,21,70,250,1479,167,"2,042",,,
April,,,,,,1,,,,1,4,2,10,7,28,17,87,215,1297,,"1,669",,,
May,,,,,,,1,,3,3,,1,11,2,18,29,116,282,1180,,"1,646",,,
June,,,,,,,,,,2,2,2,7,12,24,40,112,513,1368,,"2,082",,,
July,,,,,,1,,2,,2,4,2,4,6,15,21,110,471,977,,"1,615",,,
August,,,,,,,1,2,2,,1,1,4,4,12,31,128,398,652,,"1,236",,,
September,,,,,,,,,1,2,,3,8,20,9,22,160,480,445,,"1,150",,,
October,,1,,,,,,,4,,,3,12,3,17,51,165,612,371,,"1,239",,,
November,,,,,,2,,,,,1,5,8,3,21,35,163,686,311,,"1,235",,,
December,,,,,,,,1,,5,,5,9,20,6,35,225,1044,335,,"1,685",,,
Total,0,1,0,0,0,4,2,5,13,20,20,36,85,111,195,329,"1,484","5,383","10,453",687,"18,828",,,
,,,,,,,,,,,,,,,,,,,,,,,,
3rd Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,,6,,,1,5,11,12,10,19,16,30,37,13,19,14,27,125,441,17,803,,,
February,1,,1,,10,2,7,20,5,13,14,35,37,17,12,8,55,125,474,9,845,,,
March,,,,,15,6,8,7,28,25,26,23,31,16,21,14,43,162,443,,868,,,
April,1,1,,,197,3,19,10,,23,22,32,34,19,11,3,44,237,514,,"1,170",,,
May,,,,,4,3,3,9,1,19,20,24,28,11,14,6,49,286,453,,930,,,
June,,,,,7,7,6,11,8,22,27,29,29,9,37,38,85,411,514,,"1,240",,,
July,1,,,,4,7,11,13,6,25,33,34,36,5,12,15,60,317,391,,970,,,
August,,,,,3,10,5,16,17,33,37,21,32,15,16,24,85,565,201,,"1,080",,,
September,,,,1,1,9,2,9,16,9,14,24,27,18,12,22,79,"1,646",98,,"1,987",,,
October,3,,,4,2,3,4,4,16,14,36,19,14,19,6,34,100,319,106,,703,,,
November,2,2,1,,6,3,3,8,19,10,19,17,23,2,8,30,118,270,89,,630,,,
December,,,,2,3,42,7,5,14,26,19,22,15,18,9,34,135,434,88,,873,,,
Total,8,9,2,7,253,100,86,124,140,238,283,310,343,162,177,242,880,"4,897","3,812",26,"12,099",,,
,,,,,,,,,,,,,,,,,,,,,,,,
4th Preference,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,,,
January,,,,,,,,,,1,,,,,2,,1,5,39,16,64,,,
February,,,,,,1,,,,,,,,2,,,,6,37,43,89,,,
