"Form I-130, Petition for Alien Relative",,,,,,
Approved Family-Based Petitions Awaiting Visa Availability,,,,,,
By Preference Category and Beneficiary's Country of Birth,,,,,,
As of September 2021,,,,,,
,,,,,,
,Family-Based Preference Category,,,,,Grand Total
,"F1
Unmarried
Sons and
Daughters of
USC","F2A
Spouses and
Children of
LPR","F2B
Unmarried
Sons and
Daughters
(age 21+)
of LPR","F3
Married Sons
and Daughters
of USC","F4
Brothers and
Sisters of Adult
USC",
,,,,,,
Total,"116,125", -   ,"197,708","148,796","832,626","1,295,255"
,,,,,,
China,926, -   ,"5,561","4,098","42,297","52,882"
India,636, -   ,"2,038","7,912","63,856","74,442"
Mexico,"56,275", -   ,"84,739","57,956","359,297","558,267"
Philippines,"6,017", -   ,"21,434","16,577","18,781","62,809"
Rest of the World,"52,271", -   ,"83,936","62,253","348,395","546,855"
,,,,,,
Table Key:,,,,,,
(-) Zeros,,,,,,
,,,,,,
Note(s):,,,,,,
1) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,
2) Counts may differ from those reported in previous periods due to system updates and post-adjudicative outcomes.,,,,,,
3) The counts of approved petitions represent only primary beneficiaries. Dependents are not included.,,,,,,
4) For details on Green Card Eligibility Categories see https://www.uscis.gov/greencard/eligibility-categories.,,,,,,
"5) The priority date is based on September 2021 Visa Bulletin Final Action Dates chart
https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2021/visa-bulletin-for-september-2021.html.",,,,,,
,,,,,,
Source(s):,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,
"CLAIMS 3, queried 11/2021, TRK 8252.",,,,,,
