"U.S. Citizenship and Immigration Services
Form I-360, Petition for Amerasian, Widow(er), or Special Immigrant with a Classification of Special Immigrant Juvenile (C) Performance Data for Fiscal Years 2010-2012",,,
,,,
Type,2010,2011,2012
Receipts,"1,645","2,226","3,000"
Approved,"1,590","1,865","2,731"
Denied,97,84,122
Pending,35,47,220
,,,
Source: CIS Consolidated Operational Repository (CISCOR),,,
"Report Created: March 12, 2013 (Updated March 25, 2013)",,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - NP",,,
Parameters: ,,,
"Date: Fiscal Years Oct. 1, 2009 - Sept. 30, 2012",,,
Form Types(s): I-360,,,
"Data Type(s): Receipts, Approvals, Denials and Pending",,,
,,,
Please note: ,,,
1) The report reflects the most up-to-date data available at the time the report is generated.,,,
"2) The pending and completions data represents the current status of these applications. For example, the number in the ""Pending"" column for 2010 represents cases that went into a pending ",,,
status during that fiscal year and have not yet been adjudicated. The rejections and duplicates have been removed.,,,
