All Employment-Based I-485 Inventory pending at the Service Centers and Field Offices as of May 3rd 2012,,,,,,,,,,,,,,,,,
This Employment-based pending I-485 inventory report is updated Quarterly,,,,,,,,,,,,,,,,,
1st Preference,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total
January,,,,,,5,9,2,2,2,5,2,11,43,192,1329,1602
February,2,1,,,3,4,10,1,3,6,13,8,4,49,280,1645,2029
March,,,,,1,2,2,4,1,4,47,10,23,65,379,2104,2642
April,,,,,11,2,,2,4,10,15,5,14,53,381,1115,1612
May,,1,,1,3,10,1,,4,10,9,12,16,99,467,1,634
June,,1,,,4,1,1,,1,10,3,5,16,109,445,,596
July,,,,1,1,6,2,,1,3,17,10,27,105,534,,707
August,,,,,1,3,7,1,1,6,13,15,19,156,769,,991
September,2,,,,1,2,8,4,,6,5,14,14,125,793,,974
October,1,,2,1,8,1,10,4,5,5,9,2,24,171,925,,1168
November,,,2,,1,2,11,8,1,6,5,15,21,221,1065,,1358
December,1,1,,,5,3,10,1,6,7,3,11,46,168,1144,,1406
Grand Total,6,4,4,3,39,41,71,27,29,75,144,109,235,1364,7374,6194,15719
,,,,,,,,,,,,,,,,,
2nd Preference,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total
January,,,,,3,3,13,21,11,37,82,1318,1648,1329,272,610,5347
February,,,,1,1,2,7,21,24,27,68,1275,1584,1421,310,579,5320
March,,2,1,2,2,,13,23,80,66,90,1518,1740,1612,411,896,6456
April,,1,,,9,1,10,12,2,45,156,1853,1557,1879,514,382,6421
May,1,,,,,2,10,17,1,48,284,1674,1346,59,656,1,4099
June,,,,1,6,2,9,17,3,53,395,1734,1418,122,783,,4543
July,1,,,,,,13,22,8,56,671,1553,1271,104,686,,4385
August,,,,1,4,5,7,18,9,71,640,1473,1081,120,838,,4267
September,,,,1,1,5,19,19,21,115,755,1381,1358,148,769,,4592
October,1,,,,4,8,15,22,27,67,892,1745,1412,138,745,,5076
November,,1,,,3,4,14,36,39,75,1131,1588,1231,235,493,,4850
December,,,,3,,6,9,30,39,99,1111,2030,1466,201,540,,5534
Total,3,4,1,9,33,38,139,258,264,759,6275,19142,17112,7368,7017,2468,60890
,,,,,,,,,,,,,,,,,
