Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of August 2023,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"85,845","75,155","6,728","1,986,078","1,523,807",14
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","12,545","7,248",581,"122,120","76,190",7.7
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"5,861","4,532",245,"60,612","32,000",23.2
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"21,090","7,096",370,"110,995","23,581",4.5
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"7,377","10,300","1,630","192,673","154,716",13.3
I-485,Application to Register Permanent Residence or Adjust Status (Family),"42,583","31,818","4,876","497,868","304,968",12.3
I-485,Application to Register Permanent Residence or Adjust Status (Other),"3,670","4,022",348,"59,229","42,042",15.1
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"2,382","1,812",165,"25,136","14,163",21.4
I-751,Petition to Remove Conditions on Residence,"12,792","11,036",579,"240,857","177,782",23.9
I-765,Application for Employment Authorization,"370,515","287,829","31,535","1,573,985","684,799",4.6
N-400,Application for Naturalization,"78,137","83,838","7,045","442,543","108,654",6.4
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried September 2023",,,,,,,
