Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of November 2023,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"78,568","54,666","8,515","2,026,146","1,580,859",13.7
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","11,159","7,214",522,"136,200","86,837",7.7
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"5,368","3,762",233,"62,564","33,707",18.6
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"22,803","8,376",684,"147,754","47,066",5.9
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"16,180","6,642",851,"199,082","151,763",13.8
I-485,Application to Register Permanent Residence or Adjust Status (Family),"36,735","26,739","3,627","517,465","324,934",12.4
I-485,Application to Register Permanent Residence or Adjust Status (Other),"3,284","2,362",316,"57,205","41,675",17.5
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"2,401","1,831",247,"27,681","15,078",16.7
I-751,Petition to Remove Conditions on Residence,"10,305","7,050",471,"246,033","184,894",24.5
I-765,Application for Employment Authorization,"376,887","352,514","28,590","1,586,735","665,623",3.9
N-400,Application for Naturalization,"66,062","63,769","6,069","415,212","98,041",6.7
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried December 2023",,,,,,,
