Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of October 2023,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"79,709","61,575","18,639","2,007,061","1,555,196",13.2
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","11,514","7,372",455,"132,663","83,387",7
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"4,678","4,340",207,"61,137","32,866",19.7
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"21,880","6,975",512,"134,684","38,106",5.7
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"14,943","6,963","1,014","191,561","154,703",16.2
I-485,Application to Register Permanent Residence or Adjust Status (Family),"36,493","29,336","3,282","509,361","316,705",11.9
I-485,Application to Register Permanent Residence or Adjust Status (Other),"2,446","2,289",325,"58,614","43,044",17
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"2,276","2,111",146,"25,477","13,506",17.1
I-751,Petition to Remove Conditions on Residence,"9,835","8,689",473,"243,780","182,536",23.5
I-765,Application for Employment Authorization,"381,527","331,629","29,957","1,574,518","685,814",4
N-400,Application for Naturalization,"69,523","63,078","6,954","417,681","99,234",6.4
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried November 2023",,,,,,,
