Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of September 2023,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"77,979","67,846","5,230","1,993,520","1,540,888",13.5
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","13,811","6,603",428,"128,894","80,209",6.8
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"4,693","4,026",259,"60,972","32,803",21.1
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"18,112","6,870",509,"120,901","30,014",4.8
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"4,181","11,380","1,768","184,021","153,570",14.1
I-485,Application to Register Permanent Residence or Adjust Status (Family),"37,706","28,145","3,642","506,812","314,942",12.2
I-485,Application to Register Permanent Residence or Adjust Status (Other),"2,373","2,280",556,"58,525","42,628",17.6
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"2,257","1,688",187,"25,453","14,178",20.5
I-751,Petition to Remove Conditions on Residence,"10,697","8,768",540,"243,043","181,282",23.7
I-765,Application for Employment Authorization,"345,711","323,318","29,840","1,610,255","705,365",4.4
N-400,Application for Naturalization,"69,644","84,213","6,923","418,559","100,851",6.5
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried October 2023",,,,,,,
